train_accuracy;train_loss;valid_accuracy;valid_loss;valid_accuracy_robust;valid_accuracy_adversarial
58,6540;2,9730;72,4800;1,7207;61,5158;20,4800
54,5120;3,1144;72,3400;1,7828;61,8053;18,3700
50,7800;3,1801;73,3700;1,6678;62,5737;23,4000
55,0480;3,0447;74,3000;1,6164;62,2211;25,8700
55,8800;3,1052;74,2900;1,6762;64,3211;21,5600
60,7460;2,9303;75,0400;1,5514;62,6263;35,2800
54,1240;3,0139;75,4600;1,5548;64,3474;32,0700
60,3580;2,8556;74,9800;1,6074;63,9737;26,4100
55,3420;2,9321;75,0700;1,5859;64,8684;27,2800
55,7660;3,0129;75,7300;1,5417;66,0053;32,9000
59,3040;2,9641;76,1600;1,5394;64,7211;32,3700
57,1560;2,9047;75,3300;1,5760;63,3263;28,9800
56,2260;2,9832;75,6300;1,5645;65,1158;30,1300
61,0020;2,9235;76,0500;1,5518;64,8263;29,2600
58,3640;2,9536;76,1300;1,5453;65,1789;29,4100
58,8840;3,0051;75,8800;1,5726;63,2684;26,8700
60,4140;2,8780;74,5300;1,6809;64,9000;20,8000
53,7760;3,0520;77,0500;1,5453;65,3053;27,5200
59,5420;2,8358;77,5200;1,5483;64,9421;25,2900
58,8280;2,9866;76,2200;1,5642;64,7421;26,1500
56,9900;3,0601;76,5000;1,5646;64,1368;25,1600
58,6620;2,9465;77,8800;1,5191;66,6632;27,3000
62,9160;2,8941;77,3000;1,5561;64,2158;24,8400
61,2140;2,9790;77,5600;1,5713;65,9474;23,7700
60,4420;2,8612;78,1600;1,4819;65,8895;32,8900
59,0900;2,9645;77,0000;1,6531;64,7947;21,2600
59,8540;2,9486;78,2300;1,5701;67,8368;24,2600
58,3900;2,8996;77,6400;1,5482;65,1737;26,6800
62,1700;2,7794;78,0600;1,5204;65,8421;26,7600
57,8880;2,8631;78,6300;1,4998;67,6053;28,4500
64,1540;2,8722;78,8300;1,5206;66,7579;26,8500
62,2900;2,9048;78,8200;1,4834;65,2579;28,7400
66,7020;2,8018;78,5400;1,5004;66,6474;28,6200
65,7700;2,8226;78,9900;1,4830;66,6842;28,3100
66,9940;2,6609;79,0200;1,4800;66,3789;28,6000
66,9800;2,7223;78,8100;1,4875;66,3737;29,2300
64,9020;2,7634;79,4500;1,5097;67,6684;26,3400
62,7860;2,8550;78,7700;1,5491;67,3368;25,6100
61,6820;2,9250;79,6000;1,4890;67,2368;28,3400
64,0520;2,8257;79,8200;1,4471;68,4000;31,1400
66,1620;2,6946;79,6400;1,4835;68,3526;29,0800
60,7320;2,8817;79,8200;1,4930;67,2474;28,1500
62,9920;2,8269;80,0800;1,4979;67,9105;27,3300
69,2560;2,6361;80,1000;1,4404;68,8632;31,5200
69,9940;2,6969;80,0300;1,4779;68,8158;28,4600
63,0120;2,7744;80,1500;1,4646;68,3947;29,8300
67,1180;2,6876;80,4800;1,4691;68,1579;28,3300
68,2460;2,7087;80,4200;1,4860;69,4263;27,5900
71,6860;2,6229;80,8400;1,4111;69,6737;33,9100
60,1020;2,8611;80,4800;1,5290;68,9895;26,0600
63,9780;2,8354;80,4000;1,5446;69,5789;25,4400
67,0420;2,7037;80,6100;1,4690;69,3211;28,1600
64,4880;2,8082;80,6700;1,5281;69,7211;25,7800
67,5600;2,7258;80,6700;1,4870;69,8579;27,5100
68,0760;2,7086;80,8000;1,4757;68,9474;27,5700
68,8260;2,7032;80,8200;1,5054;68,7684;26,1300
72,1680;2,6507;80,9800;1,4813;69,1158;26,9500
63,8960;2,6720;80,7700;1,4789;69,8316;27,4300
68,9440;2,6688;80,9700;1,4302;69,4053;31,4300
68,8260;2,6952;80,9400;1,4559;68,8632;29,1000
68,9460;2,6776;81,1200;1,4653;69,4789;28,6400
65,3800;2,7648;81,0500;1,4777;69,1421;27,6700
72,1040;2,5987;81,1000;1,4544;69,3947;29,0600
65,3300;2,7676;81,1200;1,4871;69,4105;27,1600
67,5300;2,7496;81,1700;1,4943;69,5474;27,0000
69,5440;2,6298;81,1400;1,4713;69,8105;27,2500
68,5760;2,7015;81,1100;1,4807;69,6632;27,7600
68,1880;2,6670;81,1500;1,4596;69,4526;28,2300
71,5420;2,5948;81,1800;1,4660;69,4947;28,0300
66,2240;2,7373;81,2300;1,4633;69,3947;28,0100
57,0760;2,9981;74,7600;1,5990;62,9211;29,0500
51,3460;3,0563;74,0900;1,6293;63,9684;26,7700
53,3900;3,0612;73,4100;1,6336;63,2105;29,4200
56,1180;3,0618;72,2900;1,6991;60,5211;22,1200
56,1720;2,9938;73,9100;1,6215;61,3632;29,1000
53,0380;3,0154;74,0900;1,6705;61,4053;22,3600
53,9100;3,0042;72,7500;1,7797;60,2947;19,1900
58,5080;2,9779;74,1500;1,6554;63,2947;24,0600
56,6260;2,9951;74,3500;1,6618;61,9316;23,5000
54,3280;3,0615;74,1400;1,6468;63,5316;22,5100
55,4600;3,0899;75,3800;1,6198;62,6421;23,6900
59,1240;2,9278;73,6600;1,6812;61,8737;22,0400
54,8320;3,0753;74,0900;1,6583;63,4000;22,9800
54,6840;2,9867;74,8100;1,6165;64,6000;23,4200
58,3740;2,9540;74,7800;1,5697;62,3579;32,6100
53,7220;3,0929;75,9900;1,5551;64,9053;28,9300
55,3200;2,9981;74,5700;1,6438;62,0053;24,0900
58,5640;2,9465;74,7500;1,5935;63,6053;28,2800
58,2780;2,9770;74,1000;1,6717;63,3000;23,1100
55,9700;2,9826;75,5500;1,5812;64,8632;24,7700
60,3400;2,9693;71,9000;1,8788;61,9316;17,2200
56,6900;2,9902;74,0900;1,6185;64,6526;27,7000
58,9240;2,9501;75,5100;1,5879;65,8737;28,0300
56,0020;3,0633;75,7200;1,5744;63,3895;26,4400
56,8200;3,0010;74,8100;1,6237;63,6053;24,0600
59,7660;2,9014;75,0500;1,6303;66,1421;23,8900
61,0460;2,9094;75,6400;1,5998;64,6895;24,5700
55,9100;3,0410;75,9700;1,5701;64,6526;27,0300
57,9880;2,9255;73,9900;1,6415;63,6789;24,7200
57,7980;3,0787;75,1800;1,6430;65,7316;23,8600
61,3860;2,8866;74,3400;1,6877;61,1474;20,6800
60,0020;2,9368;76,1700;1,5497;65,1789;27,7500
57,1700;3,0080;75,7200;1,5652;62,6842;29,7400
61,0020;2,8313;76,1300;1,5523;65,1579;28,4600
62,7280;2,9581;76,3700;1,6120;67,1526;24,1600
58,8080;2,9539;77,1000;1,5272;64,6158;28,6200
55,4980;3,0002;76,7200;1,6440;66,1526;21,4100
58,9160;2,9616;75,7800;1,7623;64,4789;19,5900
61,0140;2,9335;77,0600;1,5159;65,0421;30,5700
56,6960;2,9975;76,1000;1,5885;65,0474;27,3200
58,5260;2,8904;75,6800;1,6353;63,7053;23,6800
60,5100;2,8951;76,2700;1,5520;65,2684;27,5400
57,9360;2,9815;76,4500;1,6071;64,8368;24,0300
62,9920;2,7804;76,1300;1,5499;64,0158;29,5200
61,3240;2,9486;77,0100;1,5048;65,8105;34,6700
64,2180;2,7955;77,1900;1,5208;64,9211;31,7700
60,9060;2,8455;76,5000;1,5710;64,0737;26,5000
58,9600;2,8462;77,6000;1,5523;66,0105;24,7100
60,5460;2,8877;76,1900;1,6034;63,5474;25,5100
59,8860;2,9295;77,5300;1,5128;67,0053;29,7800
61,1460;2,8253;76,7800;1,6060;65,4737;23,7300
59,8160;2,8897;76,9500;1,5759;66,6842;25,7800
60,1860;2,9035;77,5700;1,5440;66,5421;25,9000
57,3000;2,9176;76,1500;1,7291;64,4684;20,8000
63,0860;2,7686;76,6000;1,6671;64,2737;21,8000
60,7420;2,8838;77,3200;1,5148;65,3000;32,3600
60,7040;2,9459;77,4300;1,4869;65,2316;32,7000
59,4600;2,9513;77,1500;1,7094;65,9053;21,9600
58,5380;2,9497;75,6700;1,6616;65,2474;22,9000
61,5940;2,8881;77,7500;1,5056;65,6368;29,8600
63,4960;2,8506;77,5100;1,5359;66,9211;27,0800
64,4020;2,8269;77,1800;1,5202;65,8579;32,0100
64,0440;2,8678;78,3900;1,4872;66,0053;30,5700
59,0120;2,8616;76,7100;1,5264;63,3895;29,9400
60,2540;2,8629;77,3000;1,5613;66,4895;24,0100
65,2440;2,8000;77,3900;1,6073;65,5105;24,9300
58,4240;2,8833;77,5100;1,5847;65,6158;25,3900
62,9800;2,8791;77,6700;1,6892;65,7053;22,3100
59,8120;2,8371;78,5800;1,4781;65,7000;31,4500
65,6960;2,6463;77,9300;1,5551;66,2684;26,4500
63,7920;2,7196;77,7000;1,4981;65,5211;34,4400
62,2800;2,8853;77,6400;1,6515;65,1895;23,2100
58,9820;2,9184;77,5100;1,5746;64,5947;24,8600
67,7360;2,7005;78,7200;1,4768;67,1474;32,6300
63,5600;2,8007;77,0300;1,5474;65,5579;27,0100
64,1960;2,7889;77,8900;1,6119;66,7263;23,6400
63,0980;2,8760;77,2200;1,5563;65,7211;26,0700
62,4620;2,8277;77,9800;1,5187;67,5211;27,3300
62,7440;2,8307;78,0700;1,6678;66,1474;22,4200
65,6920;2,7550;78,5300;1,5006;66,9158;28,7300
65,9840;2,7610;78,5000;1,5019;65,8000;29,9600
66,6000;2,7091;78,6400;1,5888;66,1526;24,4500
65,0940;2,7594;78,6900;1,4878;67,5263;30,7500
64,6880;2,7028;78,4700;1,4574;68,4316;37,1700
66,1220;2,6489;79,1300;1,4864;66,7684;28,6300
