train_accuracy;train_loss;valid_accuracy;valid_loss;valid_accuracy_robust
29,6160;1,9903;37,7600;1,9628;34,6842
44,9500;1,6994;47,9800;1,6763;41,4000
52,8500;1,5414;53,8400;1,3743;46,3632
57,9480;1,4365;57,8700;1,2155;47,5842
62,3020;1,3505;70,8200;0,8567;56,5947
65,4760;1,2823;67,8800;0,9959;51,5789
68,2320;1,2192;75,8500;0,7487;62,2684
71,1820;1,1618;78,5800;0,6405;62,9316
73,2320;1,1142;78,1800;0,6592;61,8211
74,2600;1,0870;78,8600;0,6346;63,7105
65,0720;1,2875;69,8400;0,9249;56,7579
67,9500;1,2292;69,3900;0,9654;56,1684
69,5420;1,1919;77,3500;0,6900;64,0316
70,9000;1,1610;73,8600;0,8004;57,3158
71,9900;1,1371;78,4200;0,6753;60,5684
73,5420;1,1002;79,2300;0,6504;64,9632
74,3980;1,0813;82,0500;0,5409;65,1684
75,4440;1,0570;80,0300;0,6379;65,7579
76,5680;1,0341;81,0700;0,5740;63,8211
77,3000;1,0188;82,8100;0,5179;67,2053
78,4000;0,9907;85,8100;0,4410;70,9000
79,3260;0,9717;88,1200;0,3694;74,5526
80,4320;0,9471;88,2800;0,3823;73,2579
81,3740;0,9288;85,5900;0,4816;69,9158
82,3060;0,9051;90,1700;0,3273;75,0789
82,7760;0,8936;89,4400;0,3323;74,7211
83,7980;0,8713;90,2900;0,3209;74,3368
84,3920;0,8580;91,3000;0,2762;76,8421
84,8160;0,8484;91,6600;0,2769;78,2053
85,1360;0,8430;91,5000;0,2657;77,5211
74,2260;1,0838;83,4400;0,5375;66,6421
75,5520;1,0586;83,1100;0,5524;69,2947
76,1460;1,0418;84,0300;0,5247;71,4316
76,8420;1,0260;81,5100;0,5654;63,9053
77,1080;1,0217;84,6200;0,5116;69,4316
77,6720;1,0067;82,6700;0,5533;68,6211
77,8140;1,0044;85,1400;0,4682;69,5579
77,9340;1,0020;82,3300;0,5573;66,1421
78,4340;0,9908;85,9600;0,4800;68,8000
78,4900;0,9880;86,5600;0,4544;71,2158
78,7000;0,9796;87,0000;0,4041;71,7632
79,1920;0,9725;87,6000;0,4126;71,2895
79,3960;0,9645;87,8700;0,3918;74,8158
79,7880;0,9598;85,1800;0,4766;71,0526
80,4120;0,9446;87,7900;0,3851;70,3053
80,5440;0,9421;87,8100;0,3883;72,0316
80,8080;0,9346;87,9600;0,3787;71,4579
81,6960;0,9206;87,8400;0,3925;70,5316
82,0100;0,9130;88,2900;0,3801;73,8105
81,9900;0,9089;87,5400;0,4066;70,8263
82,4200;0,8964;90,1600;0,3340;74,3105
83,4600;0,8800;90,6900;0,3050;74,5895
83,5580;0,8761;90,6600;0,3225;74,6947
83,8080;0,8689;91,4300;0,2945;76,6421
84,3940;0,8565;91,3700;0,2912;76,0526
85,0580;0,8406;91,3400;0,3089;76,9211
85,5660;0,8315;92,6100;0,2639;80,2211
85,9580;0,8250;92,8500;0,2644;78,1053
86,3740;0,8113;92,1800;0,2792;77,2684
86,9840;0,7997;93,0500;0,2406;79,4632
87,3140;0,7883;93,6200;0,2296;80,5684
87,8780;0,7779;93,8900;0,2256;80,1158
88,1680;0,7703;93,9600;0,2195;80,7158
88,8040;0,7583;94,0000;0,2314;80,9421
88,8520;0,7552;94,2400;0,2134;81,8684
89,3040;0,7449;94,3400;0,2132;81,2105
89,5680;0,7411;94,6400;0,2155;81,6368
89,8760;0,7347;94,6000;0,2128;81,0947
90,0020;0,7337;94,7000;0,2075;82,1000
89,8860;0,7331;94,6200;0,2075;81,9421
76,2240;1,0391;81,2700;0,5923;64,3105
77,5080;1,0105;79,2200;0,6444;60,5737
78,0920;0,9983;82,6600;0,5611;68,1895
78,6900;0,9868;88,5500;0,3633;73,0105
79,0120;0,9788;84,5800;0,4919;66,6842
79,4880;0,9700;83,8200;0,5158;67,7474
79,6460;0,9678;84,9900;0,5029;67,1263
79,4620;0,9674;86,7600;0,4292;71,8211
79,6800;0,9619;83,1800;0,5474;68,2895
79,8400;0,9601;86,5900;0,4349;67,8368
80,1340;0,9543;84,7000;0,4932;70,2316
80,2520;0,9499;87,5500;0,4123;70,3947
80,0220;0,9538;86,5100;0,4349;66,1158
80,6420;0,9412;86,7700;0,4306;72,5421
80,2920;0,9474;88,9800;0,3686;72,4316
80,7120;0,9415;87,5500;0,4117;69,8579
80,8180;0,9375;88,1600;0,3887;73,4737
80,9300;0,9331;86,5200;0,4507;68,7368
81,2380;0,9337;87,8900;0,4080;69,6421
81,2620;0,9277;89,1000;0,3445;72,1684
81,6760;0,9160;86,8200;0,4211;71,7000
81,5160;0,9244;86,2000;0,4332;66,1947
81,5240;0,9197;89,0500;0,3771;73,5000
81,8880;0,9114;89,6800;0,3320;74,8053
81,7520;0,9152;85,5900;0,4760;65,8947
82,4360;0,9018;88,6900;0,3805;71,3211
82,1820;0,9062;84,2700;0,5047;61,9684
82,2900;0,9019;87,4900;0,3969;68,0526
82,8400;0,8923;87,7100;0,3935;68,5000
82,5260;0,8939;90,1300;0,3422;74,4421
82,7780;0,8908;89,0100;0,3887;71,7632
83,3280;0,8778;89,5800;0,3445;72,9947
82,9680;0,8874;89,0800;0,3595;69,5158
83,3760;0,8779;89,0700;0,3707;71,2789
84,0060;0,8687;90,3900;0,3116;71,4526
83,8480;0,8663;88,5500;0,3874;70,3632
83,8820;0,8665;90,3500;0,3263;72,9000
84,0560;0,8635;89,6100;0,3535;73,3316
84,3460;0,8580;91,5000;0,2784;75,0895
84,7160;0,8512;91,0900;0,3222;74,7895
84,6780;0,8476;90,7600;0,3309;71,5105
84,7540;0,8454;91,0200;0,3151;71,6684
85,4780;0,8366;90,1200;0,3358;76,2737
85,4040;0,8383;92,2400;0,2726;75,4368
85,3820;0,8361;92,5200;0,2700;75,7000
85,9840;0,8217;91,9900;0,2804;75,9474
86,0500;0,8185;91,4400;0,3066;73,7737
86,3640;0,8113;92,3300;0,2616;77,2105
86,5760;0,8075;91,8900;0,2893;75,4316
86,8300;0,8007;92,0200;0,2822;75,0947
86,9860;0,7976;92,4900;0,2585;77,6632
87,1860;0,7947;93,7400;0,2569;78,8421
87,3680;0,7871;92,2400;0,2974;77,7474
87,7480;0,7833;93,8900;0,2328;78,6526
87,9120;0,7765;93,5100;0,2444;76,5211
88,2320;0,7709;92,6800;0,2838;76,6368
88,0460;0,7728;92,8000;0,2767;75,2526
88,7380;0,7612;93,8700;0,2209;77,5000
88,9960;0,7525;94,3500;0,2239;79,5105
89,2440;0,7473;94,6500;0,2143;79,1789
89,2740;0,7465;93,4600;0,2523;76,8316
89,6120;0,7386;94,3800;0,2128;78,0842
89,9280;0,7319;93,8600;0,2376;78,9789
90,0980;0,7283;94,6000;0,2124;78,4737
90,5080;0,7220;93,7800;0,2353;78,0737
90,6160;0,7179;94,2000;0,2324;78,6526
90,7520;0,7142;95,0000;0,2067;81,0632
90,9520;0,7095;94,6700;0,2030;79,4737
91,1960;0,7053;95,2800;0,2018;81,4368
91,2280;0,7021;94,9100;0,2047;79,4579
91,4980;0,6982;95,1700;0,1931;79,8158
91,5100;0,6935;95,4800;0,1921;80,6368
91,8160;0,6902;95,7700;0,1880;82,4895
91,9180;0,6857;95,6500;0,1834;81,3684
91,8440;0,6856;95,8000;0,1852;81,6053
91,7980;0,6882;95,6900;0,1937;81,8789
92,0560;0,6819;95,6700;0,1843;81,6632
92,0480;0,6832;95,8100;0,1927;81,7579
92,1300;0,6810;95,7700;0,1889;81,5105
92,2980;0,6800;95,7700;0,1870;81,8421
