train_accuracy;train_loss;valid_accuracy;valid_loss;valid_accuracy_swa;valid_accuracy_robust_swa;valid_accuracy_adversarial_swa
81,5820;1,1355;86,3900;0,8504;86,3900;0;0,0000
83,3160;1,1103;84,0500;0,9302;84,0500;0;0,0000
82,0140;1,1102;90,1800;0,7474;90,1800;0;0,0000
84,9960;1,0533;89,6600;0,7665;89,6600;0;0,0000
82,9360;1,1367;90,1300;0,7557;90,1300;0;0,0000
83,2100;1,1299;86,4500;0,8602;86,4500;0;0,0000
82,5420;1,1402;88,8300;0,7864;88,8300;0;0,0000
83,7680;1,0891;90,2100;0,7737;90,2100;0;0,0000
82,6820;1,1270;88,7200;0,8206;88,7200;0;0,0000
84,4220;1,0754;88,3000;0,7959;88,3000;0;0,0000
81,2220;1,1356;88,0200;0,8077;88,0200;0;0,0000
84,7960;1,0688;76,8400;1,1101;76,8400;0;0,0000
83,5860;1,1156;90,5500;0,7426;90,5500;0;0,0000
83,2860;1,1287;89,7300;0,7646;89,7300;0;0,0000
84,4660;1,0370;90,5600;0,7409;90,5600;0;0,0000
84,8880;1,1182;89,0600;0,7959;89,0600;0;0,0000
84,9560;1,0826;88,8400;0,7973;88,8400;0;0,0000
84,1160;1,1187;91,8400;0,7153;91,8400;0;0,0000
85,4660;1,0349;90,0200;0,7596;90,0200;0;0,0000
87,9680;1,0356;90,5100;0,7490;90,5100;0;0,0000
83,0740;1,0917;91,4200;0,7277;91,4200;0;0,0000
85,0240;1,1125;91,7900;0,7176;91,7900;0;0,0000
86,1180;1,0336;90,6000;0,7488;90,6000;0;0,0000
84,1100;1,0930;91,0600;0,7466;91,0600;0;0,0000
85,9340;1,0344;91,5200;0,7240;91,5200;0;0,0000
84,3280;1,1290;91,9100;0,7101;91,9100;0;0,0000
86,4120;1,0316;93,0200;0,6909;93,0200;0;0,0000
85,1140;1,0617;92,5300;0,7045;92,5300;0;0,0000
88,1760;0,9890;92,0900;0,7136;92,0900;0;0,0000
87,0460;1,0738;92,5800;0,7078;92,5800;0;0,0000
85,5360;1,0211;93,1200;0,6812;93,1200;0;0,0000
86,8280;1,0171;93,3100;0,6778;93,3100;0;0,0000
85,1560;1,0370;93,5700;0,6673;93,5700;0;0,0000
87,4700;1,0070;93,0100;0,6890;93,0100;0;0,0000
87,0020;1,0280;93,5100;0,6782;93,5100;0;0,0000
88,4560;0,9789;92,1200;0,7150;92,1200;0;0,0000
86,0420;1,0599;93,5200;0,6811;93,5200;0;0,0000
88,7300;0,9992;93,2400;0,6800;93,2400;0;0,0000
87,3260;1,0213;93,5600;0,6770;93,5600;0;0,0000
90,7160;0,9268;94,2400;0,6640;94,2400;0;0,0000
87,3540;1,0213;93,8000;0,6640;93,8000;0;0,0000
86,7160;1,0357;93,9600;0,6650;93,9600;0;0,0000
89,9280;0,9856;94,1100;0,6651;94,1100;0;0,0000
86,1580;1,0587;93,6200;0,6835;93,6200;0;0,0000
87,3400;1,0021;94,2800;0,6641;94,2800;0;0,0000
87,4900;1,0203;94,1500;0,6635;94,1500;0;0,0000
89,5880;0,9811;93,7900;0,6684;93,7900;0;0,0000
88,3800;0,9599;94,3900;0,6606;94,3900;0;0,0000
90,1720;0,9749;93,9100;0,6641;93,9100;0;0,0000
91,0240;0,9172;94,2700;0,6584;94,2700;0;0,0000
89,9560;0,9455;94,5900;0,6556;94,5900;0;0,0000
87,3680;1,0065;94,3700;0,6564;94,3700;0;0,0000
92,6780;0,8671;94,5600;0,6496;94,5600;0;0,0000
89,3260;0,9609;94,3600;0,6505;94,3600;0;0,0000
88,4100;1,0011;94,4800;0,6518;94,4800;0;0,0000
86,4040;1,0817;94,5400;0,6646;94,5400;0;0,0000
89,5260;1,0327;94,4900;0,6572;94,4900;0;0,0000
90,6960;0,9808;94,4700;0,6585;94,4700;0;0,0000
91,0340;0,9590;94,2300;0,6630;94,2300;0;0,0000
91,1940;0,9283;94,4600;0,6536;94,4600;0;0,0000
88,8300;0,9913;94,5300;0,6537;94,5300;0;0,0000
89,2980;0,9647;94,5900;0,6507;94,5900;0;0,0000
90,2380;0,9705;94,5700;0,6543;94,5700;0;0,0000
87,6240;1,0375;94,3400;0,6659;94,3400;0;0,0000
90,1780;0,9638;94,4300;0,6658;94,4300;0;0,0000
82,3980;1,1071;87,2100;0,8134;87,2100;0;0,0000
83,5900;1,1160;86,5500;0,8303;86,5500;0;0,0000
82,7280;1,0984;84,2000;0,8933;84,2000;0;0,0000
82,1000;1,1255;89,6500;0,7707;89,6500;0;0,0000
82,4340;1,1274;87,3800;0,8180;87,3800;0;0,0000
85,5220;1,0586;89,8300;0,7615;89,8300;0;0,0000
82,6620;1,1066;88,3700;0,8070;88,3700;0;0,0000
85,6180;1,0690;87,6800;0,8082;87,6800;0;0,0000
83,8920;1,0568;88,9800;0,7803;88,9800;0;0,0000
85,3400;1,0947;87,4900;0,8258;87,4900;0;0,0000
81,2660;1,1698;88,0200;0,8044;88,0200;0;0,0000
84,9920;1,0887;91,2600;0,7232;91,2600;0;0,0000
83,9240;1,1042;91,8100;0,7146;91,8100;0;0,0000
85,7060;1,0360;88,6500;0,7967;88,6500;0;0,0000
87,0320;1,0398;90,9800;0,7256;90,9800;0;0,0000
85,5180;1,1086;92,3700;0,6910;92,3700;0;0,0000
85,6660;1,0710;91,5200;0,7279;91,5200;0;0,0000
85,5660;1,0561;90,2900;0,7549;90,2900;0;0,0000
85,9500;1,0651;89,8000;0,7695;89,8000;0;0,0000
84,8060;1,0618;90,2000;0,7531;90,2000;0;0,0000
86,2040;1,0231;90,7400;0,7403;90,7400;0;0,0000
85,9800;1,0237;89,9500;0,7566;89,9500;0;0,0000
84,7260;1,0868;89,0100;0,7628;89,0100;0;0,0000
85,0020;1,0976;86,9700;0,8266;86,9700;0;0,0000
82,7180;1,0959;92,4700;0,6989;92,4700;0;0,0000
83,5520;1,0971;89,3800;0,7849;89,3800;0;0,0000
83,0620;1,1357;92,7200;0,6956;92,7200;0;0,0000
86,7140;1,0249;90,0600;0,7681;90,0600;0;0,0000
86,3340;1,0773;87,3000;0,8358;87,3000;0;0,0000
83,9200;1,1506;91,1600;0,7416;91,1600;0;0,0000
82,4540;1,1206;91,5000;0,7315;91,5000;0;0,0000
85,6240;1,0501;88,2600;0,7788;88,2600;0;0,0000
82,6720;1,1210;88,4600;0,7917;88,4600;0;0,0000
84,8960;1,0606;90,1600;0,7373;90,1600;0;0,0000
86,1840;1,0493;89,8400;0,7626;89,8400;0;0,0000
84,3700;1,0606;91,1700;0,7341;91,1700;0;0,0000
87,5240;1,0080;91,9500;0,7006;91,9500;0;0,0000
86,0700;1,0622;87,9700;0,8057;87,9700;0;0,0000
85,5160;1,0878;93,1200;0,6814;93,1200;0;0,0000
87,3360;1,0297;90,4700;0,7403;90,4700;0;0,0000
86,1560;1,0578;91,7400;0,7217;91,7400;0;0,0000
85,8160;1,0374;91,7800;0,7160;91,7800;0;0,0000
83,3760;1,1102;91,0500;0,7424;91,0500;0;0,0000
86,5540;1,0105;91,6700;0,7220;91,6700;0;0,0000
88,9880;0,9803;92,0500;0,7102;92,0500;0;0,0000
86,5780;1,0400;91,8900;0,7044;91,8900;0;0,0000
85,3780;1,1111;91,3900;0,7375;91,3900;0;0,0000
87,4180;1,0438;89,1900;0,7618;89,1900;0;0,0000
86,2120;1,0525;90,2600;0,7587;90,2600;0;0,0000
86,1200;1,0417;92,3000;0,7099;92,3000;0;0,0000
85,6220;1,0392;91,3200;0,7305;91,3200;0;0,0000
86,0520;1,0280;90,9300;0,7287;90,9300;0;0,0000
86,7860;1,0558;92,4500;0,7049;92,4500;0;0,0000
87,3140;1,0662;91,1400;0,7520;91,1400;0;0,0000
87,8260;1,0680;92,5300;0,7070;92,5300;0;0,0000
88,1360;0,9767;93,2600;0,6775;93,2600;0;0,0000
84,4760;1,0684;93,7300;0,6606;93,7300;0;0,0000
88,1620;0,9863;92,3700;0,7016;92,3700;0;0,0000
87,7080;1,0514;91,2500;0,7513;91,2500;0;0,0000
85,1920;1,0269;92,1700;0,7063;92,1700;0;0,0000
87,5980;0,9796;92,7600;0,6987;92,7600;0;0,0000
86,6760;1,0514;91,2700;0,7358;91,2700;0;0,0000
87,2980;1,0441;93,1200;0,6933;93,1200;0;0,0000
86,7200;1,0233;92,6100;0,6942;92,6100;0;0,0000
87,5080;0,9900;92,7300;0,6906;92,7300;0;0,0000
86,9080;1,0151;92,9500;0,7063;92,9500;0;0,0000
87,4460;1,0423;91,9300;0,7147;91,9300;0;0,0000
85,0280;1,0481;91,1300;0,7415;91,1300;0;0,0000
87,6580;1,0111;93,5000;0,6744;93,5000;0;0,0000
89,2520;0,9917;93,1300;0,6761;93,1300;0;0,0000
87,5980;1,0554;93,5000;0,6845;93,5000;0;0,0000
