train_accuracy;train_loss;valid_accuracy;valid_loss;valid_accuracy_robust
4,4520;4,4435;6,1100;4,1561;5,6632
7,0740;4,2938;11,5100;3,8001;10,0526
8,9660;4,2117;11,4200;3,8392;10,0789
10,9920;4,1459;15,8100;3,5543;13,9263
13,1140;4,0504;21,5400;3,1647;18,2789
14,7960;3,9573;26,1700;2,9517;21,8474
16,4600;3,9206;27,7100;2,8426;24,0684
19,2740;3,7879;29,3700;2,8043;23,5632
20,7960;3,7628;30,5000;2,7112;24,6947
22,3420;3,7200;29,5600;2,7554;23,0526
23,7280;3,6664;35,3000;2,5093;29,3368
23,6940;3,6496;36,1400;2,5022;29,6000
25,7280;3,6015;42,4000;2,1936;34,4421
27,4460;3,5263;39,8800;2,3088;32,8316
27,6380;3,5307;42,4500;2,1852;33,6526
29,1380;3,4686;42,7000;2,1852;34,1737
29,1380;3,4740;45,8700;2,0230;36,8368
27,8260;3,5225;46,8600;1,9735;38,0474
32,2300;3,3689;45,4700;2,0467;37,3737
33,2340;3,3636;50,5000;1,8335;41,1579
33,4220;3,3131;49,9900;1,9101;40,2316
32,9760;3,3624;48,2100;1,9456;38,3895
36,4940;3,2310;53,3800;1,7072;43,8421
36,2580;3,2558;53,1800;1,7322;42,8684
36,5400;3,1749;54,6600;1,6800;44,0105
36,4600;3,2535;54,3800;1,6759;44,0789
36,3940;3,2416;53,4600;1,7162;43,4105
38,1120;3,1534;54,2000;1,6945;44,0526
36,8820;3,2043;54,1500;1,6754;44,2421
35,9660;3,2742;53,2300;1,7345;43,3895
27,0140;3,5872;43,9600;2,1396;35,8368
29,7880;3,4088;46,1500;2,0331;38,0684
30,9940;3,4439;42,5700;2,2123;33,4947
30,6960;3,4332;48,7300;1,9104;39,0158
31,9780;3,3898;49,9700;1,8718;39,9053
32,5780;3,4215;52,0200;1,7708;41,4684
30,1560;3,5005;51,0800;1,8100;42,9474
34,4720;3,2951;53,8200;1,6787;43,7895
32,8600;3,3762;51,9900;1,8268;43,4684
34,7940;3,3055;55,1100;1,6735;46,0368
35,5100;3,2563;52,8700;1,7666;42,0632
36,9880;3,1939;53,7600;1,7181;44,2737
33,9200;3,3185;50,6700;1,8855;38,7632
35,4240;3,2719;57,8900;1,5064;48,2368
36,5520;3,2590;57,0400;1,5914;47,0684
35,6780;3,2209;57,5600;1,5426;48,2579
39,6280;3,0830;56,0500;1,6154;45,2316
38,9620;3,1149;60,3900;1,4451;50,2316
40,6720;3,1118;56,2000;1,6647;46,6158
39,5360;3,1179;59,1400;1,4919;47,1842
41,5400;3,0260;58,2000;1,5510;48,3474
41,4220;3,0697;62,1400;1,3680;49,9895
38,0500;3,1666;61,2100;1,4189;49,7842
39,3440;3,1418;61,0400;1,4073;50,4789
40,8560;3,0759;60,9000;1,4324;51,0316
44,9480;2,9160;62,5700;1,3371;52,1263
41,2520;3,1594;63,6600;1,3414;51,7842
40,1720;3,0995;61,5900;1,4028;50,5105
44,0820;2,9769;64,9800;1,2414;54,1684
43,8360;2,9860;64,8200;1,2985;54,3105
43,4940;3,0339;64,4000;1,2845;54,4105
44,2780;3,0444;64,6000;1,2818;54,4474
41,8820;3,0723;66,1800;1,2101;55,8684
46,4840;2,9062;66,6700;1,2002;56,6789
47,4400;2,8750;67,3700;1,1999;57,5632
47,4740;2,8417;66,6800;1,1767;57,0632
46,8900;2,8192;68,2000;1,1500;57,2895
45,8240;2,8928;68,0500;1,1387;56,8000
47,9780;2,8993;68,5100;1,1336;59,0316
45,8060;2,9852;68,4000;1,1527;57,7789
48,0620;2,8697;68,1600;1,1608;57,1263
44,4080;2,9197;69,4100;1,1145;58,3947
49,7100;2,7923;70,5100;1,0847;59,1895
46,1860;2,8859;70,2100;1,1115;58,2421
46,0360;2,9390;68,9500;1,1375;59,1158
49,1600;2,8331;70,9300;1,0649;60,7579
49,7060;2,7957;70,9300;1,0695;60,4789
50,6380;2,7627;71,6200;1,0682;60,6000
54,4300;2,6460;71,2500;1,0422;61,5684
49,9920;2,8514;71,5700;1,0618;60,7211
52,6180;2,6657;71,7000;1,0271;60,4526
49,0780;2,8545;71,8600;1,0402;60,8421
51,0020;2,7541;71,9300;1,0431;61,0789
49,2540;2,8217;71,8900;1,0266;61,2368
51,6600;2,7371;72,6600;1,0183;61,8579
47,2080;2,8763;72,2400;1,0406;61,6526
50,6660;2,8303;72,3800;1,0288;61,3474
50,3120;2,8357;72,5500;1,0441;61,7474
50,8140;2,7296;72,2200;1,0271;61,4368
50,2860;2,7901;72,5600;1,0233;61,8474
41,0580;3,1030;58,1500;1,6010;49,5421
40,2880;3,0763;62,4100;1,3750;51,8579
43,2540;2,9469;59,9400;1,4544;51,8158
42,3440;3,0117;61,6200;1,4227;50,5842
39,0660;3,1675;63,0400;1,3596;51,6737
42,4160;3,0409;61,5600;1,4318;49,9526
39,0400;3,1699;60,3600;1,4974;49,4368
40,8200;3,1115;61,3000;1,4806;51,1737
44,0720;2,9595;64,5500;1,3093;53,3947
44,1020;2,9686;65,2600;1,2506;55,3421
45,7200;2,9461;67,0600;1,1863;56,1684
44,5380;2,9352;63,2700;1,3335;51,5421
42,4940;3,0504;66,2300;1,2465;55,3789
45,4420;2,9659;66,7000;1,2482;53,9789
41,9880;3,0639;65,0200;1,3193;55,8526
45,6240;2,9853;63,7900;1,3640;51,6632
46,0320;2,9595;66,3200;1,2478;56,4789
47,3200;2,8863;67,4800;1,2089;58,2895
44,6580;3,0181;65,3300;1,2962;55,0368
42,7240;3,0137;66,0600;1,2617;54,8158
46,5100;2,8289;66,6700;1,2105;55,9842
46,3780;2,9752;67,5700;1,1899;56,4421
45,8960;2,9188;66,8300;1,2186;55,7105
48,2880;2,8096;68,3000;1,1420;57,1316
46,5600;2,8999;64,2700;1,3443;52,2579
44,7160;2,9577;67,5400;1,2236;55,5895
47,7660;2,8806;67,1900;1,2224;56,6368
49,0060;2,8262;69,2400;1,1455;58,4947
44,3440;3,0026;65,2400;1,2876;54,4211
50,2620;2,7446;67,7700;1,2010;56,7211
45,7900;2,9186;67,9900;1,1810;57,5158
47,1480;2,9176;67,1500;1,2242;55,4579
47,8380;2,8417;69,0300;1,1235;58,3263
44,4700;2,9786;67,3900;1,2322;55,4895
48,6780;2,8402;66,3900;1,2859;55,6053
50,4040;2,7196;69,7400;1,1256;58,5789
46,1060;2,9197;66,6200;1,2235;55,5895
46,7260;2,7866;68,1400;1,2126;58,2421
51,8980;2,7296;69,1100;1,1382;57,7895
51,9720;2,7382;70,5700;1,0825;59,8368
50,7260;2,7602;68,1100;1,1923;58,0000
46,0060;2,8835;69,4600;1,1446;57,4684
47,1000;2,9414;69,4900;1,1603;57,4842
51,6580;2,7710;67,5100;1,2142;55,1316
53,4040;2,7374;69,7200;1,1627;59,4158
48,5160;2,8474;69,9400;1,1755;57,7105
49,9780;2,8212;70,3300;1,0853;59,5895
50,8860;2,7548;69,7300;1,1446;57,2632
51,6640;2,6362;71,3900;1,0502;60,1895
49,6560;2,8013;69,3200;1,1695;58,8474
51,4140;2,7905;70,8800;1,0672;60,9895
52,2160;2,7457;70,4000;1,1017;60,0263
50,8740;2,8208;71,9000;1,0634;61,9053
51,8340;2,7608;72,6800;1,0134;62,3158
50,3860;2,9192;71,3600;1,0656;58,9632
54,6440;2,6690;70,6000;1,0816;57,7158
52,4680;2,6766;70,2900;1,0920;58,5421
55,9280;2,6724;71,0400;1,0872;59,3105
55,0660;2,5990;71,0400;1,0917;60,1316
55,4800;2,6188;71,2600;1,1034;59,7158
