train_accuracy;train_loss;valid_accuracy;valid_loss;valid_accuracy_robust;valid_accuracy_swa;valid_accuracy_robust_swa
5,4520;4,3449;10,8000;4,0416;10,8483;10,8000;10,8483
11,8680;3,9983;18,7500;3,7336;14,0966;18,7500;14,0966
19,0400;3,6710;18,1100;3,7269;14,0138;18,1100;14,0138
25,5380;3,3989;31,8800;3,1898;26,9448;31,8800;26,9448
31,5660;3,1804;35,8400;3,0221;29,5655;35,8400;29,5655
35,8520;3,0141;40,3000;2,8679;34,8690;40,3000;34,8690
39,8940;2,8726;44,4400;2,7309;34,4690;44,4400;34,4690
43,0180;2,7612;46,2600;2,6292;34,9103;46,2600;34,9103
45,1740;2,6836;47,5900;2,5801;39,6207;47,5900;39,6207
47,2140;2,6144;51,4200;2,4696;41,8690;51,4200;41,8690
48,6460;2,5556;52,5700;2,4223;40,0690;52,5700;40,0690
50,5880;2,5006;53,3500;2,3883;41,0138;53,3500;41,0138
51,9400;2,4458;55,7400;2,3311;45,3862;55,7400;45,3862
53,7960;2,3896;57,4600;2,2638;46,3655;57,4600;46,3655
54,7980;2,3498;57,8000;2,3241;46,6138;57,8000;46,6138
55,5680;2,3149;58,4900;2,2675;45,1103;58,4900;45,1103
56,2720;2,2908;58,5200;2,2794;42,2759;58,5200;42,2759
57,8520;2,2343;61,7400;2,1333;46,1172;61,7400;46,1172
59,3420;2,1895;62,1200;2,1177;47,5034;62,1200;47,5034
59,8340;2,1752;63,2500;2,0862;49,3103;63,2500;49,3103
60,5580;2,1451;63,0500;2,1039;48,3655;63,0500;48,3655
61,3480;2,1223;63,6600;2,0792;49,5103;63,6600;49,5103
62,4060;2,0790;64,5600;2,0367;48,3172;64,5600;48,3172
62,3560;2,0851;64,5500;2,0255;49,2828;64,5500;49,2828
63,1560;2,0580;65,0900;2,0005;50,7724;65,0900;50,7724
63,9100;2,0386;65,7900;1,9770;51,2207;65,7900;51,2207
63,8740;2,0302;65,9800;1,9731;51,0552;65,9800;51,0552
64,8760;2,0029;66,5000;1,9532;51,2345;66,5000;51,2345
64,7120;2,0004;66,2400;1,9597;51,6621;66,2400;51,6621
64,6240;2,0058;66,1700;1,9561;51,5172;66,1700;51,5172
56,3720;2,2842;58,0300;2,2959;44,8690;58,0300;44,8690
55,6620;2,3086;56,5900;2,2988;44,8138;56,5900;44,8138
56,2400;2,2931;59,1400;2,2663;45,3241;59,1400;45,3241
56,9820;2,2635;60,0800;2,1702;44,3379;60,0800;44,3379
57,4180;2,2469;61,3200;2,1527;50,2276;61,3200;50,2276
58,2760;2,2231;61,1400;2,1538;48,3241;61,1400;48,3241
59,1260;2,1885;59,9900;2,1855;47,1379;59,9900;47,1379
59,4380;2,1828;62,6700;2,1156;44,6621;62,6700;44,6621
60,3820;2,1506;61,7700;2,1557;47,0000;61,7700;47,0000
60,4000;2,1468;62,5100;2,0793;49,9103;62,5100;49,9103
61,3080;2,1154;65,2900;2,0059;49,4069;65,2900;49,4069
62,0820;2,0934;63,4000;2,0742;47,9655;63,4000;47,9655
61,7920;2,0887;64,8600;2,0114;50,2828;64,8600;50,2828
62,8080;2,0697;65,0200;2,0329;47,3517;65,0200;47,3517
63,0140;2,0597;65,8800;1,9623;51,8069;65,8800;51,8069
63,7000;2,0261;66,8400;1,9782;49,1103;66,8400;49,1103
63,6480;2,0297;66,1000;1,9943;50,5103;66,1000;50,5103
63,6320;2,0235;66,6900;1,9383;50,7034;66,6900;50,7034
64,3400;1,9979;68,6000;1,8753;50,2345;68,6000;50,2345
64,8660;1,9841;67,4100;1,9186;53,5379;67,4100;53,5379
