train_accuracy;train_loss;valid_accuracy;valid_loss;valid_accuracy_robust
5,6740;4,3156;8,6900;4,0061;7,7895
9,9780;4,0447;11,5000;3,7650;9,3895
14,1880;3,8454;14,6200;3,7180;11,8053
18,8200;3,6264;21,4000;3,2969;16,2000
22,9520;3,4365;25,8300;2,9766;19,1211
27,5600;3,2597;23,5400;3,5712;18,8263
31,0720;3,1107;27,3100;3,0583;20,4000
34,9580;2,9731;30,4300;3,0289;22,4053
37,8660;2,8680;36,7300;2,5497;25,7263
39,8320;2,7993;38,6600;2,3990;27,1158
28,7740;3,2112;24,7100;3,6083;20,0632
32,9340;3,0468;36,6500;2,5455;26,6105
35,9500;2,9263;34,9000;2,6860;28,4684
38,3360;2,8392;35,0200;2,6058;23,0316
40,5460;2,7552;39,9500;2,4401;27,5316
42,2760;2,6942;41,8600;2,3823;28,6789
44,0400;2,6291;44,3200;2,2272;29,2105
46,2560;2,5665;41,9200;2,3355;29,7579
47,7360;2,4971;47,5200;2,0499;34,5789
49,2280;2,4501;47,8900;2,0053;31,8579
51,6600;2,3744;52,7800;1,7601;36,9947
53,0320;2,3317;56,3500;1,6269;40,3842
54,8020;2,2703;55,5600;1,6718;38,5105
56,2840;2,2190;53,7400;1,7693;35,9947
57,9200;2,1631;57,4400;1,6127;39,4158
59,5380;2,1169;60,5600;1,4724;42,5211
61,2700;2,0635;63,6600;1,3188;44,8947
62,3440;2,0235;65,0700;1,2951;46,6368
63,1500;1,9970;63,1800;1,3714;43,8368
63,8620;1,9813;64,2200;1,3140;45,6526
46,2600;2,5552;48,0200;1,9618;34,4632
47,4220;2,5088;51,6200;1,8156;34,8368
49,0580;2,4533;53,0100;1,7852;37,6947
49,7140;2,4321;49,4300;1,9487;34,2632
50,5540;2,4085;54,0700;1,7593;38,8895
51,6000;2,3738;52,4400;1,7960;35,5421
52,1200;2,3566;57,0000;1,5723;37,9053
52,7020;2,3337;50,4200;1,8409;33,3000
53,4960;2,3148;53,1000;1,7332;39,8474
54,2320;2,2847;58,1200;1,5233;41,3684
54,9560;2,2719;54,0900;1,7336;34,6368
55,5820;2,2413;57,1700;1,5902;38,3105
55,8280;2,2306;59,6900;1,4864;41,0421
56,5860;2,2066;59,9200;1,4537;40,4105
57,3660;2,1802;61,8000;1,3952;42,0579
57,9000;2,1581;63,9500;1,3188;44,2474
58,6620;2,1356;57,2900;1,5759;39,7158
59,5800;2,1099;63,0700;1,3045;45,1632
60,0420;2,0907;65,7500;1,2302;48,0947
60,8080;2,0652;63,9800;1,3520;43,9526
62,1960;2,0312;66,9500;1,1963;47,4263
62,8680;2,0009;66,0200;1,1930;46,0737
63,5820;1,9861;68,0600;1,1376;47,4789
64,5360;1,9529;69,0500;1,0767;49,9000
