train_accuracy;train_loss;valid_accuracy;valid_loss;valid_accuracy_robust;valid_accuracy_swa;valid_accuracy_robust_swa
5,0380;4,3652;9,9600;4,0707;8,8690;9,9600;8,8690
10,5580;4,0620;15,7100;3,8636;16,3034;15,7100;16,3034
17,6200;3,7428;23,7400;3,5982;27,6897;23,7400;27,6897
25,2580;3,4301;30,0600;3,2995;26,1655;30,0600;26,1655
31,9900;3,1639;35,3200;3,2057;29,5448;35,3200;29,5448
37,0200;2,9875;37,8700;3,0162;29,9931;37,8700;29,9931
41,3120;2,8327;41,7800;2,8346;35,0552;41,7800;35,0552
44,3140;2,7225;44,4900;2,7282;39,2000;44,4900;39,2000
47,2500;2,6095;48,8000;2,6687;42,3724;48,8000;42,3724
50,1600;2,5212;49,3700;2,6443;38,5862;49,3700;38,5862
52,0620;2,4545;51,0500;2,6008;42,0276;51,0500;42,0276
53,5220;2,4010;52,3300;2,5000;39,6276;52,3300;39,6276
54,8580;2,3481;53,6200;2,4364;42,2897;53,6200;42,2897
55,6240;2,3272;55,3600;2,3730;44,1103;55,3600;44,1103
58,1280;2,2443;56,7200;2,3460;46,6276;56,7200;46,6276
58,2900;2,2321;57,7400;2,3363;45,1172;57,7400;45,1172
59,3560;2,1967;58,8000;2,2723;44,6759;58,8000;44,6759
61,6940;2,1211;59,5600;2,2214;44,7586;59,5600;44,7586
61,5320;2,1176;59,8500;2,2204;49,4345;59,8500;49,4345
63,0000;2,0672;61,2700;2,1899;46,8897;61,2700;46,8897
63,5100;2,0495;62,3000;2,1150;49,0414;62,3000;49,0414
64,5480;2,0239;61,9700;2,1108;49,1793;61,9700;49,1793
65,2120;1,9938;63,7900;2,0816;47,4759;63,7900;47,4759
65,7600;1,9772;64,0600;2,0703;50,3103;64,0600;50,3103
66,4100;1,9550;64,3500;2,0528;51,8483;64,3500;51,8483
66,4860;1,9546;64,4200;2,0487;50,9931;64,4200;50,9931
67,1720;1,9292;64,9500;2,0440;50,4552;64,9500;50,4552
67,3720;1,9242;65,0000;2,0299;51,5862;65,0000;51,5862
67,5680;1,9196;65,1900;2,0254;51,5172;65,1900;51,5172
67,6940;1,9120;65,0500;2,0316;51,5517;65,0500;51,5517
59,4440;2,1946;56,7100;2,3312;43,7448;56,7100;43,7448
58,4100;2,2288;56,5800;2,4317;42,9862;56,5800;42,9862
59,2680;2,1968;57,7000;2,2851;46,3655;57,7000;46,3655
60,0460;2,1656;60,1000;2,2611;47,4069;60,1000;47,4069
60,7340;2,1448;60,4200;2,2374;47,2414;60,4200;47,2414
61,3100;2,1178;59,9600;2,2213;45,4276;59,9600;45,4276
62,3560;2,0890;60,4000;2,2052;48,3586;60,4000;48,3586
62,3960;2,0879;61,6900;2,1382;48,7310;61,6900;48,7310
