train_accuracy;train_loss;valid_accuracy;valid_loss;valid_accuracy_robust
3,5793;4,5349;7,9000;4,2595;7,6316
5,6867;4,4674;11,0200;3,9911;9,5947
6,3113;4,4636;13,6900;4,0129;11,7000
7,6707;4,4313;14,5900;3,8598;12,8211
8,2873;4,4255;15,9100;3,8309;13,1684
9,5007;4,3872;19,9000;3,6635;16,8053
10,8513;4,3496;22,8500;3,7387;19,2632
11,8987;4,3413;24,0100;3,6340;20,7211
12,6920;4,3178;25,5400;3,5256;21,6474
11,3353;4,3802;26,3400;3,5180;23,1263
10,4240;4,3636;19,0800;3,6832;16,7895
10,9640;4,3632;23,5500;3,7334;21,0579
12,0647;4,3331;25,8500;3,3371;22,5263
12,3573;4,3451;26,3600;3,6011;22,4789
14,0947;4,2907;27,1100;3,4409;23,8105
14,4687;4,2935;29,7900;3,4694;26,3421
14,8220;4,2861;29,4400;3,6717;25,4895
14,2207;4,3100;30,7600;3,2849;25,7368
17,8940;4,2070;34,1900;3,2608;28,3421
17,7880;4,2200;37,0500;3,1796;31,2053
17,7147;4,2169;37,9600;3,2912;32,0474
18,5340;4,1924;38,9400;3,0637;33,2579
20,3433;4,1577;41,9400;3,0016;35,5211
20,6713;4,1567;42,3700;3,1915;36,7105
20,0827;4,1805;43,2600;2,8028;36,6526
18,9267;4,2162;44,3500;3,0360;37,7895
22,2373;4,0962;44,6400;2,8027;38,8526
22,6953;4,0891;46,0400;2,8561;39,8579
25,1207;4,0146;47,0300;2,7687;40,2895
22,3640;4,1286;47,2100;2,8452;40,0263
15,3780;4,2933;35,1600;3,2836;30,4789
17,2293;4,2499;39,0600;3,1851;33,6737
17,6773;4,2376;36,3500;3,0590;31,3947
19,0513;4,2014;38,8900;3,0339;33,1474
17,4240;4,2550;40,7500;2,9724;35,2737
20,2347;4,1803;43,4400;2,8798;36,0000
20,8840;4,1545;41,9000;3,1245;37,5053
21,1073;4,1518;41,4600;3,1045;35,2684
20,5787;4,1688;43,2200;3,0517;37,4105
21,2833;4,1575;45,1700;2,9127;37,4947
22,8520;4,1053;44,3800;3,3486;38,0632
24,4927;4,0375;47,9900;2,6475;40,4684
22,4080;4,1346;46,2000;2,6465;39,5316
22,2060;4,1566;48,6800;2,8027;41,1474
23,9767;4,1027;50,3000;2,8508;42,5526
21,3280;4,1610;49,4700;2,6891;41,4105
22,6013;4,1398;49,5700;3,0491;41,8579
21,5153;4,1736;51,7800;2,6780;44,6789
25,7127;4,0349;50,4700;2,7766;41,9000
26,3227;4,0390;53,6900;2,4043;46,4000
24,8393;4,0678;51,8900;2,8356;43,8158
24,6513;4,0771;54,2900;2,5003;45,5895
22,2673;4,1389;54,9200;2,7784;46,3474
27,5033;3,9923;54,7400;2,5276;46,4526
29,0507;3,9334;55,8600;2,6565;48,3526
28,1693;3,9684;56,5700;2,3981;47,8053
27,8673;4,0356;57,3400;2,5634;49,1947
30,6493;3,9010;57,7400;2,2877;49,8263
28,2487;3,9839;57,1800;2,4606;48,7000
27,9467;4,0126;58,8500;2,5123;51,1000
27,5140;4,0249;59,3900;2,4950;50,7105
27,0047;4,0274;60,2700;2,4999;51,4316
28,0113;4,0168;60,0900;2,2839;51,4947
25,2473;4,0877;60,5100;2,3695;51,5263
28,1767;3,9940;61,4800;2,4093;52,7632
31,3213;3,8638;61,2000;2,2695;52,2421
30,3727;3,9217;61,2400;2,2929;52,6684
29,6867;3,9728;61,8100;2,2408;52,6368
33,0107;3,8616;61,7600;2,2090;53,0105
29,4233;3,9758;61,9500;2,3046;53,2789
