train_accuracy;train_loss;valid_accuracy;valid_loss;valid_accuracy_robust;valid_accuracy_adversarial;valid_accuracy_swa;valid_accuracy_robust_swa;valid_accuracy_adversarial_swa
4,8340;4,4185;8,0100;4,2179;9,3172;5,0500;8,0100;9,3172;5,0500
8,2180;4,2298;12,0500;3,9471;11,5034;7,1500;12,0500;11,5034;7,1500
11,1360;4,1373;17,4300;3,7178;17,8103;9,3600;17,4300;17,8103;9,3600
14,2800;4,0015;23,2000;3,4279;23,0345;9,0300;23,2000;23,0345;9,0300
17,5000;3,8684;27,6700;3,2410;25,7931;9,6000;27,6700;25,7931;9,6000
20,6800;3,7768;32,2200;3,0018;32,0690;11,7100;32,2200;32,0690;11,7100
22,9200;3,6878;34,2100;2,9553;32,4310;10,9600;34,2100;32,4310;10,9600
24,9240;3,6105;38,8600;2,8126;32,8483;14,2900;38,8600;32,8483;14,2900
25,7200;3,5882;39,9900;2,8171;34,6621;16,8600;39,9900;34,6621;16,8600
28,6380;3,4984;42,8700;2,6941;34,8000;17,0700;42,8700;34,8000;17,0700
30,3820;3,4038;43,0400;2,6432;36,1034;16,5200;43,0400;36,1034;16,5200
29,8460;3,4539;46,2300;2,6121;38,7172;20,8600;46,2300;38,7172;20,8600
31,9160;3,3980;47,8600;2,4571;38,2310;15,4400;47,8600;38,2310;15,4400
33,6960;3,3321;49,8100;2,3904;42,0552;19,5000;49,8100;42,0552;19,5000
34,1300;3,3332;51,7600;2,3595;41,7862;21,8200;51,7600;41,7862;21,8200
35,9400;3,2681;53,5300;2,3216;44,5828;24,6200;53,5300;44,5828;24,6200
36,5540;3,2374;52,1900;2,3468;39,9103;20,4200;52,1900;39,9103;20,4200
38,9440;3,1337;57,3100;2,1828;46,5345;24,4400;57,3100;46,5345;24,4400
39,2480;3,1660;52,6700;2,3222;43,6862;21,2100;52,6700;43,6862;21,2100
36,6160;3,2732;57,0800;2,1889;46,2345;26,2700;57,0800;46,2345;26,2700
40,1240;3,1239;59,0800;2,1326;47,9862;27,9300;59,0800;47,9862;27,9300
40,1080;3,1158;60,0000;2,0660;47,5517;25,4800;60,0000;47,5517;25,4800
41,5200;3,0653;60,4400;2,0752;48,9724;29,2500;60,4400;48,9724;29,2500
42,2660;3,1063;60,4500;2,0634;48,6759;27,8600;60,4500;48,6759;27,8600
44,5160;2,9631;61,8900;2,0113;49,5379;28,7900;61,8900;49,5379;28,7900
43,7080;3,0137;61,7800;2,0229;49,4586;29,3800;61,7800;49,4586;29,3800
43,4400;3,0044;62,5900;2,0041;49,8483;30,3900;62,5900;49,8483;30,3900
44,5000;2,9788;62,6300;1,9956;50,1483;30,2800;62,6300;50,1483;30,2800
45,5560;2,9214;63,1100;1,9905;50,9759;30,8800;63,1100;50,9759;30,8800
44,1240;2,9822;63,1900;1,9792;50,7966;30,0100;63,1900;50,7966;30,0100
