train_accuracy;train_loss;valid_accuracy;valid_loss;valid_accuracy_robust
32,8353;4,0888;63,1600;2,5088;53,1526
27,9613;4,1987;63,7000;2,6295;55,2684
31,8287;4,1283;63,7800;2,1932;54,1526
32,6327;4,1037;61,7400;3,1062;52,4737
32,7940;4,0990;64,6900;2,9946;54,6895
29,4680;4,1730;65,4800;2,6942;56,2000
27,1320;4,2257;62,9800;3,2406;55,4105
31,1773;4,1261;62,6200;2,4630;53,7737
35,0553;4,0397;65,3000;2,3918;56,6211
31,2473;4,1317;66,4300;2,8348;58,0474
35,0507;4,0335;66,5300;2,2242;58,2053
31,4600;4,1294;66,9000;2,1805;58,3105
34,1007;4,0819;64,9000;2,8485;54,2947
33,4980;4,0955;67,9700;2,4606;57,8895
32,2473;4,1301;67,0800;2,6504;58,0316
33,0413;4,1028;67,6500;2,4292;58,3842
36,3473;4,0189;67,9600;2,7615;59,1947
33,6647;4,0684;69,1800;2,5526;60,1158
34,6367;4,0501;68,8700;2,2339;60,1579
31,9373;4,1121;68,5400;2,1933;59,4684
37,0387;3,9922;69,5000;2,2366;59,9000
35,9600;4,0147;68,7100;2,2336;61,0684
34,3687;4,0709;69,7400;2,2185;59,9263
35,2140;4,0263;70,4300;2,2097;61,6895
34,6600;4,0480;70,0900;2,3082;60,6368
37,4513;3,9835;70,7200;2,0811;62,3158
34,7093;4,0719;71,3100;2,0709;62,1895
36,4687;4,0012;71,3800;2,2279;61,8737
37,0773;4,0027;70,7300;2,9871;60,8421
33,2080;4,1030;71,9000;2,0896;62,2737
40,0927;3,9177;71,9600;2,0892;63,1895
37,0893;3,9943;71,9800;2,6219;62,6526
37,9493;3,9848;71,8000;2,4906;63,3000
36,5907;4,0122;72,2400;2,1465;62,9105
39,5500;3,9272;72,8100;2,1963;63,8579
39,0473;3,9581;72,5000;2,0061;63,8368
39,5587;3,9398;72,9500;1,9951;64,1474
39,1467;3,9312;73,3200;2,0189;64,2474
36,3213;4,0150;73,0600;2,0784;64,4263
39,6427;3,9409;73,2100;1,9524;64,2053
35,2387;4,0350;73,2800;2,5460;64,3053
35,7293;4,0324;73,3500;2,2130;64,1105
37,2327;3,9892;73,3100;3,0151;64,5526
36,7740;3,9962;74,0000;2,0811;65,1632
38,4027;3,9644;73,1900;2,8635;64,6263
38,6613;3,9664;73,5400;2,0876;65,0526
36,0313;4,0242;73,8800;1,9791;65,0211
38,1727;3,9652;73,6300;2,7096;64,6368
39,3280;3,9368;73,7100;2,0679;64,5421
25,9747;4,2475;51,7100;3,1641;42,7263
22,7773;4,3169;55,4900;2,7633;46,0263
27,5053;4,2065;54,8300;2,8237;45,0789
28,8167;4,1710;56,0600;2,9355;45,9684
27,0307;4,2227;58,8500;2,9585;48,1105
27,3227;4,2389;56,1100;2,4573;48,5368
27,6420;4,2013;59,0100;2,7869;50,2105
29,3273;4,1678;54,3400;3,2066;45,5316
27,7173;4,2115;62,0800;2,3335;51,1263
25,7120;4,2508;56,8400;3,1145;48,8105
28,6547;4,1921;57,5200;2,6639;49,2842
27,7667;4,2086;59,8800;2,6427;50,9000
28,2587;4,2009;55,0500;3,5692;45,5684
24,6073;4,2809;58,2800;3,1535;49,4158
30,3467;4,1592;55,7800;2,3283;43,3842
29,8127;4,1605;56,9700;2,9076;49,2053
27,0900;4,2150;61,2000;2,6010;52,1053
29,0120;4,1828;60,8900;2,8522;51,2789
29,9600;4,1540;60,8300;2,5146;51,7211
28,2313;4,1941;60,8000;2,7253;51,5105
29,0393;4,1758;60,2900;2,7214;52,0263
29,1400;4,1886;60,1100;2,6189;49,2105
28,2500;4,1964;57,4400;3,4274;47,7842
28,3047;4,1980;61,5100;2,8738;51,4474
28,5333;4,1982;59,6100;3,0256;49,7158
28,9993;4,1944;60,1500;2,7534;51,2947
30,1573;4,1594;59,9700;2,7223;50,5105
27,2593;4,2365;61,8600;2,5156;53,2105
29,6760;4,1638;50,0600;3,5625;40,9947
28,9840;4,1838;62,2700;2,3471;53,2263
29,4967;4,1835;57,1900;3,4093;45,7053
27,6807;4,2185;62,5300;2,3463;52,9263
30,2780;4,1535;60,3200;2,5066;50,7263
26,9373;4,2346;51,8500;3,6280;39,6789
31,4513;4,1404;63,3000;2,6022;54,0421
31,7213;4,1179;63,1800;2,2905;53,8263
31,6973;4,1110;64,3700;2,4474;53,5474
29,1613;4,1643;61,6700;2,5069;51,7105
30,9287;4,1239;61,1000;2,2318;52,7842
29,2260;4,1725;61,4300;2,5474;52,7737
32,9200;4,0873;56,8700;3,0075;47,0263
31,2333;4,1377;62,8100;2,4854;53,3789
29,5413;4,1780;60,4700;2,6551;50,3526
30,2847;4,1621;61,8400;2,5283;51,6421
28,1460;4,2065;63,0400;2,8887;53,2947
30,1160;4,1574;63,3500;2,6703;53,7789
27,8793;4,2195;61,0200;3,0795;50,5000
29,3167;4,1819;61,0500;2,3412;51,6684
29,1760;4,1843;64,8600;2,5314;54,4947
31,2007;4,1203;65,2600;2,4788;56,1421
30,1507;4,1467;60,7800;3,0515;51,0368
30,7307;4,1476;64,5500;2,7156;55,5316
30,7927;4,1251;62,0900;2,4551;52,6368
30,9440;4,1473;61,5300;3,0099;49,5211
30,6693;4,1523;63,3700;2,6127;51,7789
30,9913;4,1519;61,8800;2,7258;52,6158
32,5273;4,1058;62,0700;2,3301;52,0895
29,5893;4,1607;62,8300;2,8311;54,1737
30,8520;4,1309;60,6400;3,2850;50,9789
31,0913;4,1678;60,7500;2,7180;50,3211
30,9587;4,1488;65,4900;2,3137;55,2789
31,0120;4,1385;65,6700;2,5389;54,0895
32,5167;4,1055;62,9100;2,5473;51,5263
30,4420;4,1557;63,5700;2,7597;54,1053
29,3727;4,1785;63,1200;2,4163;52,6474
33,1393;4,1117;64,9000;2,4938;54,7579
32,1347;4,1113;63,4100;2,5716;53,5684
28,4880;4,2046;63,9500;3,1120;54,1579
30,1700;4,1529;64,1200;2,5145;52,3000
30,7347;4,1393;62,3900;2,5319;51,3737
33,8327;4,0745;63,9700;2,6140;53,6474
31,3487;4,1305;65,3500;2,5570;54,4368
30,7593;4,1383;63,2800;2,6271;51,8737
32,0300;4,1199;65,9700;2,2039;54,8632
33,3820;4,0933;65,1000;2,4241;54,2421
33,1333;4,0852;65,1800;2,3177;54,4842
30,2920;4,1531;66,9400;2,4026;55,2947
30,2787;4,1461;66,6200;2,4468;55,7789
34,3513;4,0642;62,9700;3,0123;51,9263
31,1353;4,1360;66,4000;2,1711;55,9316
32,9200;4,0975;67,4600;2,4027;56,8947
30,4047;4,1507;66,8600;2,2616;56,1000
33,5760;4,0841;64,2600;2,9766;54,3158
34,4853;4,0672;65,7300;2,4719;54,2632
30,3300;4,1610;63,5200;3,3069;51,7000
33,8340;4,0961;65,7900;2,1736;53,8316
30,8120;4,1541;63,0600;2,7567;52,0579
31,2713;4,1441;66,5000;2,4034;56,9158
32,5320;4,1125;66,8800;2,5936;56,5526
34,1287;4,0630;65,0600;2,5140;55,1316
34,5660;4,0501;63,7900;2,7416;53,1526
32,9387;4,0853;67,1700;2,2380;57,2368
34,0367;4,0657;67,3300;2,2455;57,0368
31,1553;4,1414;67,7300;2,6473;58,0579
32,1073;4,1127;66,7000;2,6421;57,0316
32,3427;4,0981;67,1500;2,7721;56,7368
33,9433;4,0850;67,6100;2,3350;55,5789
33,0307;4,1100;67,9300;2,3897;57,0158
34,2153;4,0798;66,4700;2,5059;56,4947
30,1167;4,1673;65,9600;2,5055;55,6474
36,0073;4,0198;67,3200;2,3571;56,0053
33,8207;4,0954;69,1000;2,3181;58,6947
29,4493;4,1869;68,4800;2,2771;57,8947
35,2080;4,0452;68,2900;2,1840;57,4316
33,4593;4,1078;68,8300;2,2563;56,7053
35,1880;4,0587;67,3300;2,2123;56,7842
35,5347;4,0451;68,5700;2,4959;57,3579
34,1407;4,0806;68,0200;2,4023;57,4158
34,5787;4,0583;69,5800;2,5194;59,5368
35,3853;4,0413;68,6000;2,3075;57,4842
34,5187;4,0617;69,1700;2,3399;58,2474
34,7787;4,0633;68,8000;2,4173;57,9842
33,4520;4,0848;68,3900;2,3164;58,3053
32,7727;4,1085;70,2800;2,2930;59,8211
33,2427;4,0903;70,7100;2,5248;60,2947
37,5620;3,9949;68,2400;2,2648;57,5632
36,0593;4,0118;70,0100;2,1536;59,4211
36,4460;4,0083;68,9700;2,2368;59,2053
34,0633;4,0735;69,8900;2,2458;59,6947
32,7120;4,1132;68,8300;2,2135;60,1526
35,9153;3,9982;69,6900;2,3523;60,1684
38,6853;3,9617;67,3900;2,4984;57,4474
34,9707;4,0514;70,7200;2,6898;59,6105
34,9553;4,0428;70,8000;2,4256;60,2000
37,0980;4,0100;69,9000;2,5047;59,8211
37,7027;3,9937;71,5600;2,2210;61,2316
35,9980;4,0251;71,1200;2,1811;60,8526
35,4927;4,0560;69,9800;2,3852;59,7895
37,8380;3,9936;72,0800;2,3539;61,6053
33,7407;4,0849;71,9200;2,3926;62,1947
33,6480;4,0843;70,0200;2,4100;60,4526
36,0687;4,0500;71,6200;2,9247;61,6684
35,7100;4,0147;71,0600;2,5448;61,0211
40,4313;3,9122;71,2900;2,2935;61,4895
38,4533;3,9694;71,3100;2,2259;61,5368
37,8300;3,9686;71,9100;2,1755;62,1105
38,9060;3,9699;70,8500;2,5521;60,7263
37,6047;3,9777;70,9000;2,2726;59,6211
35,2193;4,0549;72,3700;2,0867;62,2368
36,2133;4,0156;71,5700;2,6186;62,0211
38,6987;3,9592;73,0900;2,2797;63,1000
37,2547;3,9889;73,1000;2,1862;62,5211
37,1067;3,9921;73,2200;2,2039;63,1737
36,7000;3,9993;72,3600;2,2381;62,3368
36,9573;4,0190;73,6800;2,1667;64,0632
37,9920;3,9992;73,5800;2,3890;63,7158
40,4973;3,9329;72,0100;2,1219;61,9947
38,9267;3,9491;73,4900;2,2852;63,3632
39,6353;3,9311;73,7700;2,2976;63,7632
38,4713;3,9864;73,3900;2,3122;63,2632
38,2967;3,9732;74,0000;2,3448;63,5421
39,7267;3,9112;73,0600;2,0570;63,3789
39,1087;3,9538;74,2800;1,9700;64,4526
39,7160;3,9392;74,0100;2,1848;64,3842
37,3940;4,0214;74,3700;3,1425;64,3105
38,3167;3,9680;74,3400;2,7870;64,0737
39,6320;3,9509;74,5200;2,0157;64,4053
39,7293;3,9253;74,3500;2,0645;65,0158
43,4927;3,8570;74,2700;2,6269;64,9579
37,6133;3,9748;74,7300;1,9645;65,1474
39,5447;3,9501;75,0900;2,2381;65,0737
41,1013;3,9120;74,8000;1,8517;65,2368
44,2187;3,8273;75,2000;2,2468;65,2526
39,9980;3,9490;74,5500;1,8849;65,1579
39,7047;3,9295;75,2400;2,4996;65,6789
39,8120;3,9453;75,5900;2,1816;65,4053
38,3640;3,9621;74,8300;2,8887;66,4526
40,2973;3,9308;75,7000;2,6512;67,2368
38,8987;3,9393;75,8200;2,8179;67,4789
42,5613;3,8962;76,1300;2,0642;67,4316
39,0673;3,9435;76,1400;2,1238;67,4158
38,1593;3,9602;76,1800;2,6195;67,4316
43,5553;3,8375;76,4800;2,2898;68,0000
41,6520;3,9033;76,2700;2,0203;67,1789
41,4820;3,8877;76,0600;1,9561;67,8947
41,9080;3,8754;76,3000;2,0047;67,8684
44,0920;3,8510;76,6100;2,0290;67,9211
46,7287;3,7591;76,4100;2,0296;67,9947
41,8613;3,8855;76,0700;1,9639;67,3947
40,3473;3,9055;76,9000;2,2295;68,2421
40,6853;3,9086;76,4500;2,0403;67,8947
42,6973;3,8593;76,4000;2,0555;68,4474
40,0573;3,9277;76,5900;2,6694;68,3368
41,5287;3,8830;76,7200;1,9369;67,8158
42,7033;3,8396;76,2600;2,6876;67,6632
42,1613;3,8679;76,7200;1,8871;68,5789
45,2247;3,8059;76,8100;1,9621;68,4632
41,4900;3,8970;77,2500;2,0473;68,5158
41,4247;3,9028;77,1800;1,9319;68,5842
38,4673;3,9755;77,1700;2,3070;68,6053
42,7253;3,8585;76,9600;1,9018;68,4579
42,6500;3,8601;77,0400;2,0817;68,6947
43,9500;3,8139;77,0300;1,9874;68,6789
40,8700;3,8981;77,0600;1,9945;68,8211
41,7667;3,8927;76,8000;1,8793;68,3474
42,2327;3,8754;77,0600;1,9660;68,5421
41,6700;3,8733;76,8800;1,9768;68,5105
40,9373;3,8979;77,1000;2,0419;68,4895
40,9867;3,9088;77,1700;2,2133;68,8053
39,7087;3,9663;77,0400;1,8927;68,4211
