train_accuracy;train_loss;valid_accuracy;valid_loss;valid_accuracy_robust
2,2873;4,5846;7,2500;4,3687;6,5158
3,3993;4,5519;8,4400;4,3704;7,4579
3,8620;4,5419;9,2500;4,3155;8,5053
4,0620;4,5427;10,9600;4,2817;9,4895
4,5653;4,5321;12,2200;4,1868;11,0263
5,0047;4,5158;12,2200;4,2385;10,5579
5,7307;4,5014;16,3000;4,0681;13,7474
6,6480;4,4747;19,1700;4,0490;16,8158
7,0853;4,4656;21,0000;4,0036;17,7895
6,9900;4,4759;22,5100;3,7753;19,6579
7,6487;4,4608;23,3100;3,9327;19,2368
7,4373;4,4611;24,7300;3,8447;20,5947
5,2460;4,5162;13,1900;4,2611;11,3632
5,9300;4,5006;19,4800;3,8880;17,3684
6,5920;4,4847;20,8900;3,9807;18,6263
6,9653;4,4789;21,1400;3,8895;19,0263
7,1113;4,4786;19,6600;3,9306;17,0368
7,2700;4,4760;23,0500;3,8908;18,3421
8,4773;4,4423;26,9000;3,8676;21,7053
8,6527;4,4380;27,4100;3,6958;22,9632
8,2933;4,4643;28,7700;3,6768;24,2421
9,3313;4,4179;26,5000;3,8796;22,1316
8,4007;4,4521;29,9400;3,8065;24,0368
9,7987;4,3982;31,1400;3,7279;25,7684
11,1420;4,3688;33,9100;3,4017;27,9158
10,6780;4,3935;34,6700;3,6435;29,1105
9,9853;4,3977;36,9200;3,5613;30,0842
12,2047;4,3466;37,4300;3,5829;29,6526
10,9700;4,3730;38,8800;3,5454;32,7895
13,0333;4,3238;41,3000;3,2449;33,8368
11,9880;4,3523;40,0100;3,3620;32,7263
12,6867;4,3490;41,6100;3,1957;34,4053
13,8973;4,2950;42,7400;3,2418;35,1947
12,5020;4,3323;44,0300;3,2189;36,0158
12,4407;4,3336;43,8300;3,3392;36,3947
12,3653;4,3409;42,9000;3,6271;35,2211
8,6720;4,4430;32,0000;3,4496;26,4158
9,5153;4,4054;32,8900;3,4780;26,4526
10,4053;4,3870;33,8900;3,5675;27,7053
9,1640;4,4437;34,7400;3,7307;28,8947
9,7660;4,3983;37,7400;3,5398;29,8158
10,7747;4,3895;37,0200;3,6478;30,1632
10,7813;4,3780;40,5300;3,4406;31,7474
9,7220;4,4116;39,6300;3,5200;29,6789
10,7793;4,3838;40,5200;3,3572;32,2053
12,2887;4,3381;40,9100;3,1976;32,3579
11,0527;4,3940;41,4900;3,3434;34,1263
12,6167;4,3279;41,0300;3,4496;33,2316
12,6213;4,3445;43,5300;3,2102;34,8737
11,5080;4,3774;43,5700;3,3154;34,7526
14,1967;4,2866;43,0300;3,0560;33,0789
13,5507;4,3092;46,0200;3,0601;36,5579
11,6900;4,3647;44,9500;3,3735;35,0368
13,9400;4,3026;47,0600;3,1254;37,9211
12,4967;4,3392;47,8800;3,2899;37,6474
13,6127;4,3098;47,8000;2,9333;37,5789
12,3907;4,3390;48,5200;2,9262;37,3947
13,5613;4,3147;47,6500;3,5412;38,6632
12,9727;4,3296;48,2200;3,2903;39,4158
15,4600;4,2614;50,0200;3,0723;40,8526
13,8733;4,2984;52,0600;2,8709;40,9368
14,1960;4,2886;49,2800;3,2896;39,7263
15,1807;4,2679;52,6700;2,8935;41,5579
15,0760;4,2886;51,9700;3,2264;41,7842
14,5700;4,2919;54,2500;2,8902;43,7737
15,7800;4,2498;53,0200;2,8938;42,2947
14,3800;4,3003;53,5500;3,2668;43,1526
15,1220;4,2837;55,1300;2,9409;44,8947
15,3773;4,2812;55,9700;3,0446;44,9684
14,1773;4,2857;55,4400;2,9222;45,1895
17,2993;4,2028;57,4900;2,9217;46,1368
17,6333;4,2235;57,3800;2,9402;46,2789
15,6587;4,2553;58,3000;2,9225;46,4158
17,8420;4,2049;59,4300;2,7743;47,6211
17,9080;4,2110;58,6700;3,0921;46,7947
16,6987;4,2031;59,8100;2,9266;48,0789
18,5493;4,1810;59,0300;2,8111;47,8842
17,3460;4,2399;59,8600;2,9435;48,9632
19,2213;4,1509;59,3500;2,9780;48,3842
17,2987;4,2142;60,8300;2,6459;49,1737
19,1787;4,1342;61,0600;2,6744;48,7053
16,6180;4,2294;60,3400;3,0771;49,1474
19,1233;4,1663;60,2400;3,1282;48,6947
19,7747;4,1417;62,0000;2,6583;50,0684
12,7633;4,3518;47,5300;3,0428;37,1105
11,9860;4,3402;46,2300;3,1005;35,7421
13,4860;4,3204;48,5300;3,0165;37,9421
13,3307;4,3189;50,4700;3,0420;39,6474
13,2787;4,3263;50,7200;3,0070;40,2211
14,3960;4,2726;52,4600;2,8195;41,1526
14,0000;4,3114;50,7900;2,9105;38,9053
14,6633;4,2863;52,3000;3,1572;42,8211
13,7160;4,3011;52,1100;3,2157;40,5316
14,3560;4,3181;52,7000;2,9334;38,8263
14,4733;4,2875;50,6900;3,1158;39,4105
14,6540;4,2830;52,8300;3,1920;41,1211
14,6273;4,2917;56,3100;2,7550;43,9368
14,6227;4,2870;54,7000;2,8103;41,9105
14,4607;4,2852;53,6800;3,1424;42,7158
15,3187;4,2694;54,9600;2,9232;42,9737
15,8600;4,2434;55,4800;2,9315;42,6947
15,4227;4,2667;54,6800;2,6809;44,3053
13,8740;4,3196;54,4300;3,0100;42,0368
17,2807;4,2135;57,1900;2,7967;44,1737
16,7687;4,2516;57,5400;2,7787;46,0105
16,4707;4,2165;56,9600;2,5809;44,3421
15,5013;4,2590;54,0500;2,8459;43,2158
15,2573;4,2939;55,5200;3,1206;43,7789
13,7480;4,3014;55,9600;3,0044;45,0579
15,3180;4,2648;55,8000;3,0307;43,9316
16,7973;4,2133;58,2000;2,6735;46,6000
15,8620;4,2309;57,5200;2,8710;44,5737
14,2953;4,2843;55,6900;3,1165;44,3158
16,1373;4,2412;58,6700;2,6478;46,8737
17,1340;4,2352;56,9000;2,9141;43,9105
14,7613;4,2738;58,0100;2,8882;45,2053
16,5727;4,2472;58,3500;2,6983;46,0158
16,6107;4,2179;59,3700;2,7539;47,4579
16,6693;4,2347;59,3400;2,5954;47,0000
18,6833;4,1572;58,9800;2,7447;47,0947
16,2960;4,2403;58,6100;2,8301;47,2158
15,7520;4,2568;59,7200;2,7707;46,9105
15,4400;4,2597;59,9900;2,7481;47,3947
16,6700;4,2474;59,0500;2,9269;47,2632
15,9253;4,2669;61,5900;3,0016;48,5158
17,2060;4,2214;61,9800;2,6739;49,2474
15,6547;4,2179;58,6400;3,3280;46,6684
15,7567;4,2375;59,8700;2,8658;47,4474
16,0073;4,2219;59,9600;3,0486;48,3895
20,0147;4,1639;60,5400;2,7329;48,5632
18,9087;4,1541;63,9300;2,7433;51,1684
17,0940;4,2068;62,6200;2,5111;50,1316
19,4660;4,1454;61,4900;2,9149;49,0368
16,9793;4,2236;60,2900;3,1986;48,1263
18,6860;4,1661;61,8900;2,9947;50,1368
20,2687;4,1172;63,2700;2,4692;50,6789
18,7820;4,1771;63,6000;2,4509;50,5105
19,2327;4,1752;64,6900;2,7338;51,4421
19,5047;4,1427;63,8200;2,7980;50,0474
19,7427;4,1611;64,0600;2,6996;51,4684
18,4820;4,1890;64,6000;2,4998;51,5158
19,0560;4,1798;65,9600;2,4374;53,6053
20,4627;4,1405;65,0500;2,7285;51,6316
19,4673;4,1438;65,0700;2,6623;52,5684
19,4767;4,1368;62,9100;3,0145;50,3211
18,7407;4,1279;66,6000;2,4083;53,0158
20,0740;4,1176;67,0700;2,6687;54,7263
22,1120;4,0725;66,4300;2,5728;53,4316
18,3967;4,1647;66,5700;2,5859;54,0000
22,2207;4,0861;65,6600;2,8057;53,4316
20,2940;4,1663;66,4500;2,6109;53,5947
20,1300;4,1368;67,0000;2,5075;53,9579
20,0167;4,1455;68,2800;2,5573;55,6684
18,9700;4,1749;67,2600;2,6420;54,6105
17,7173;4,1924;69,0600;2,4670;55,3211
21,0120;4,0819;68,9300;2,4611;56,1000
22,8180;4,0184;68,7000;2,6422;55,9579
21,1233;4,0720;69,6700;2,4951;55,8684
21,5893;4,0905;68,9500;2,5248;56,1842
20,7253;4,1147;69,5200;2,4215;56,5579
22,2480;4,0986;69,3500;2,4658;56,7053
22,9193;4,0389;70,2500;2,2635;57,5316
22,7180;4,0694;70,2300;2,4823;56,8474
21,7060;4,0737;69,9200;2,8300;57,1737
18,6233;4,1427;70,0700;2,6155;57,3579
23,3873;4,0418;69,8100;2,7955;57,2421
19,4300;4,1672;70,5000;2,7328;57,9947
19,9527;4,1303;70,4400;2,6390;57,3105
23,8693;4,0244;71,2500;2,3729;57,6789
21,6213;4,0992;71,1600;2,3859;57,7895
21,8927;4,0920;71,3600;2,4540;58,5000
20,7453;4,1089;70,7500;2,4523;57,7789
21,7113;4,0776;71,4500;2,4015;58,8737
21,8047;4,0516;70,1800;2,4178;57,4947
22,7307;4,0475;69,7900;2,7560;57,1737
20,8273;4,0922;71,4700;2,4766;58,3684
25,2760;4,0110;71,9200;2,4124;58,8737
21,0040;4,0937;72,0700;2,3476;58,9263
20,9933;4,0658;70,5700;2,5200;57,9316
23,0333;4,0192;71,1500;2,3941;58,5737
15,5393;4,2532;54,0000;2,8907;41,4368
17,4613;4,2110;60,3400;2,6890;47,3158
16,1320;4,2401;59,2700;2,8094;45,9421
16,3620;4,2513;59,9600;2,4975;46,9947
15,4553;4,2772;58,2500;2,8392;44,6895
14,9687;4,2954;56,3800;3,3592;43,9632
17,5567;4,2076;59,9500;2,7134;47,5632
15,3520;4,2745;60,1900;2,7805;47,8684
19,3360;4,1367;59,1300;2,8147;45,8474
16,4320;4,2128;59,9700;2,6399;48,3789
16,5733;4,2307;59,0600;2,5089;46,6947
19,6340;4,1790;58,4800;2,9514;46,1000
16,6220;4,2210;58,6800;2,9232;45,7789
17,1200;4,2385;60,4000;2,5066;48,7842
16,1573;4,2476;60,4300;3,0916;46,8053
17,3707;4,2015;63,3500;2,4822;50,3000
15,1433;4,2690;62,0000;2,7065;48,4105
18,9953;4,1648;61,3700;2,8084;48,0211
17,2787;4,2361;62,9200;2,7623;47,8053
17,9107;4,2117;58,9500;2,8863;47,2368
17,1260;4,2375;61,7100;2,7416;47,3211
18,6953;4,2069;61,9000;2,6453;47,8474
15,2427;4,2808;62,6600;2,7826;48,8474
16,2913;4,2398;62,0400;2,8062;49,1316
17,2180;4,1816;62,2000;2,5703;48,3895
16,0147;4,2545;47,1700;3,7218;38,2263
14,2693;4,3169;60,7800;2,8807;47,1632
16,4620;4,2262;61,7100;2,9084;49,6053
15,3727;4,2535;62,1500;2,9254;48,7526
18,4720;4,1521;64,1500;2,6174;51,0684
16,2907;4,2321;62,3700;2,7999;49,0158
17,8047;4,1750;61,8700;2,9184;48,7632
18,6447;4,1989;63,6000;2,9394;51,1684
16,8627;4,2134;63,2500;2,5187;49,1895
17,0100;4,2265;63,5000;2,7288;49,8684
15,7640;4,2600;60,6300;3,1445;49,4053
16,4300;4,2414;60,3600;2,7184;48,6789
18,5993;4,2150;62,6800;2,8193;49,8105
16,8967;4,2222;64,2500;2,5746;51,6158
17,5020;4,1964;63,2700;2,6125;48,1737
18,7587;4,1516;64,1400;2,5712;50,5421
18,6493;4,1808;64,2600;2,3417;50,5053
17,5160;4,2513;61,1100;2,7966;50,0632
17,1913;4,2076;58,0500;3,1237;45,1368
17,5893;4,2052;60,7500;3,3133;48,9579
18,1647;4,1899;65,0800;2,5997;50,6368
18,5613;4,1871;64,7500;2,5819;50,2263
20,8167;4,1036;61,1400;2,8150;47,4789
17,3187;4,2169;63,1400;2,5894;48,3105
18,0513;4,1809;64,0900;2,4397;51,4316
17,7447;4,1767;64,9800;2,3578;51,1632
15,4227;4,2494;63,6200;2,6258;49,5684
18,3253;4,1497;65,0200;2,6515;52,5053
18,4060;4,1819;63,7000;3,1863;50,8579
16,5300;4,2330;63,4700;2,8751;50,1316
17,3747;4,2384;65,2700;2,5432;53,6684
20,3620;4,1331;65,1300;2,5584;51,9474
17,4607;4,1975;65,1500;2,7834;51,1000
20,8633;4,1346;65,1300;2,6145;51,9316
19,5713;4,1431;64,3800;2,7624;49,9526
19,7407;4,1371;65,5400;2,5887;52,4053
18,1773;4,1983;66,0400;2,5893;53,0421
18,0093;4,2129;63,4800;3,0710;50,0737
19,3480;4,1434;64,7100;2,4603;51,0895
17,6573;4,1849;66,1100;2,6199;50,8158
