train_accuracy;train_loss;valid_accuracy;valid_loss;valid_accuracy_robust;valid_accuracy_adversarial;valid_accuracy_swa;valid_accuracy_robust_swa;valid_accuracy_adversarial_swa
8,0720;4,1762;12,3300;3,9462;13,0276;7,3000;12,3300;13,0276;7,3000
16,4700;3,7521;22,5600;3,5261;20,9379;8,9700;22,5600;20,9379;8,9700
26,8140;3,3539;24,3800;3,5070;19,4931;9,7600;24,3800;19,4931;9,7600
34,3600;3,0586;32,6600;3,1632;30,1276;11,8100;32,6600;30,1276;11,8100
40,8240;2,8296;40,0100;2,9470;32,0586;15,0800;40,0100;32,0586;15,0800
45,7880;2,6662;42,3800;2,8211;37,1345;17,5100;42,3800;37,1345;17,5100
49,3520;2,5358;46,9400;2,6371;39,3621;19,8200;46,9400;39,3621;19,8200
51,8280;2,4420;47,9000;2,6860;37,7966;24,1000;47,9000;37,7966;24,1000
54,2780;2,3621;49,4600;2,5002;41,0897;21,9300;49,4600;41,0897;21,9300
56,0240;2,3019;52,2100;2,3762;40,4759;21,5500;52,2100;40,4759;21,5500
58,2000;2,2386;56,2500;2,3212;45,8034;26,6300;56,2500;45,8034;26,6300
59,8780;2,1730;57,0100;2,3211;44,4241;31,0000;57,0100;44,4241;31,0000
61,3040;2,1217;58,2200;2,2276;44,3483;28,7700;58,2200;44,3483;28,7700
62,3740;2,0926;59,2200;2,2287;45,2483;30,7200;59,2200;45,2483;30,7200
63,6000;2,0442;60,6700;2,1495;46,9793;32,8500;60,6700;46,9793;32,8500
