train_accuracy;train_loss;valid_accuracy;valid_loss;valid_accuracy_robust
18,2207;4,1014;56,5000;2,7227;47,6421
16,0340;4,1735;58,9600;2,4078;49,4632
17,6207;4,1267;57,1400;2,8039;48,8474
18,2493;4,1214;58,4600;2,7812;49,4263
17,4327;4,1465;57,9300;2,7417;49,3632
16,7287;4,1959;60,0700;2,5949;50,4368
18,5700;4,1224;52,9400;2,8753;44,0789
18,2660;4,1297;54,5100;2,5972;45,3632
13,7327;4,2281;58,3200;2,9694;49,6105
16,7580;4,1405;58,4400;2,5678;48,8579
17,3253;4,1316;59,7600;2,5755;51,2526
17,2347;4,1464;59,3500;2,5813;49,1789
18,2700;4,1303;58,3600;2,6012;50,0895
15,2407;4,2379;58,9800;2,6699;49,7684
17,8047;4,1279;60,3600;2,6145;51,1421
16,8080;4,1517;59,3000;2,6709;50,7053
17,4893;4,1351;59,2500;2,7687;50,2105
18,7907;4,1203;60,3800;2,8135;49,5579
17,4727;4,1539;58,7200;2,7943;49,0105
18,6727;4,0892;60,8200;2,6337;50,5842
19,1600;4,0737;59,1100;2,4419;49,2842
20,3347;4,0746;60,7400;2,5370;51,7632
17,1800;4,1321;58,6600;2,5706;50,0789
15,9007;4,1714;61,7700;2,5870;51,9158
18,8587;4,0813;63,2500;2,4492;54,6316
17,4260;4,1348;60,5300;2,7177;50,8632
18,7847;4,1038;61,3500;2,6532;52,3789
21,7960;3,9923;64,3200;2,2267;54,2316
19,0707;4,1008;61,4700;2,5482;51,9842
22,6893;3,9826;65,0000;2,3878;55,0579
17,2900;4,1495;62,5700;2,6249;53,6053
21,2173;4,0308;63,1100;2,3448;52,5474
21,4620;4,0209;64,6900;2,4619;55,3579
16,5413;4,1582;61,9900;2,7089;52,9632
20,2247;4,0094;65,0500;2,2682;54,6579
20,9927;4,0547;64,4000;2,4401;55,2263
20,8407;4,0110;63,3500;2,4140;53,9632
21,1100;4,0291;63,2000;2,4486;53,4684
18,0727;4,1097;63,6800;2,5923;54,1000
20,1120;4,0600;64,9500;2,4107;55,6158
22,3293;3,9745;64,0900;2,2899;54,1579
21,2673;4,0101;65,9900;2,3370;55,2895
21,7040;4,0031;66,7000;2,3173;55,9421
19,2127;4,0591;65,3000;2,4210;54,7632
19,5133;4,0779;65,3900;2,6115;56,4000
21,2753;3,9835;67,5600;2,2705;58,0684
18,6527;4,1114;65,4500;2,6142;56,6579
19,6227;4,0648;67,8000;2,3416;57,9158
17,0773;4,1430;66,3300;2,6110;55,7895
16,7793;4,1492;65,6200;2,6928;54,4263
22,2420;3,9314;65,6500;2,3990;55,2158
19,0880;4,0366;67,5200;2,4413;57,2579
21,1493;3,9971;67,8800;2,3740;56,5737
17,9840;4,1246;65,7600;2,4677;55,8842
21,2393;3,9890;67,3600;2,3291;57,0211
22,5953;3,9411;68,5600;2,2229;57,7000
20,5813;4,0127;66,4000;2,5743;55,9105
19,7787;4,0404;67,6000;2,3059;56,5211
18,0387;4,1242;68,2700;2,3487;57,6368
21,7940;4,0206;67,3100;2,3996;57,0789
20,6887;4,0089;68,1300;2,3417;57,2000
18,4573;4,0863;68,1000;2,4948;57,2842
21,4093;3,9862;69,0100;2,3252;58,1421
19,4420;4,0585;68,4900;2,3250;58,0368
22,4953;3,9808;69,0500;2,2811;58,5316
22,9593;3,9325;67,5300;2,4046;57,2895
21,7520;3,9918;67,6100;2,3900;57,9947
20,5593;4,0288;68,3700;2,3394;58,5105
24,8107;3,8849;69,0600;2,3033;59,6000
25,0900;3,8665;68,3600;2,2476;58,8632
20,1313;4,0518;67,8600;2,3362;58,0947
16,6373;4,1675;68,5300;2,2956;59,1316
21,3120;3,9806;68,9100;2,4081;59,1263
19,2447;4,0608;68,9500;2,3466;58,8211
