train_accuracy;train_loss;valid_accuracy;valid_loss;valid_accuracy_robust;valid_accuracy_adversarial;valid_accuracy_swa;valid_accuracy_robust_swa;valid_accuracy_adversarial_swa
7,8040;4,1888;12,2800;3,9989;9,8138;6,0200;12,2800;9,8138;6,0200
16,9240;3,7439;18,2200;3,8144;17,0138;8,9900;18,2200;17,0138;8,9900
26,8040;3,3411;25,0500;3,7869;24,8000;11,9600;25,0500;24,8000;11,9600
35,0140;3,0462;32,7400;3,1150;27,8414;11,4700;32,7400;27,8414;11,4700
41,4780;2,8130;38,9300;2,9373;30,5655;15,3300;38,9300;30,5655;15,3300
46,1860;2,6462;40,1300;2,9878;31,9690;17,6800;40,1300;31,9690;17,6800
49,2180;2,5384;42,6500;2,8525;32,6793;18,6900;42,6500;32,6793;18,6900
52,1180;2,4333;43,8500;2,7831;35,6897;21,1000;43,8500;35,6897;21,1000
54,8260;2,3459;48,5400;2,5515;39,4655;21,7000;48,5400;39,4655;21,7000
56,8340;2,2920;53,2600;2,4370;42,9448;25,0000;53,2600;42,9448;25,0000
58,2740;2,2234;54,5200;2,3633;43,8897;25,8700;54,5200;43,8897;25,8700
60,1440;2,1750;58,4700;2,2561;46,6276;29,2800;58,4700;46,6276;29,2800
61,6500;2,1174;57,4300;2,2483;45,6897;28,7600;57,4300;45,6897;28,7600
63,0360;2,0719;56,6800;2,2985;43,9793;30,0200;56,6800;43,9793;30,0200
64,1020;2,0370;61,3000;2,1548;47,8069;31,7200;61,3000;47,8069;31,7200
64,9760;2,0051;61,6300;2,1372;47,5759;33,2300;61,6300;47,5759;33,2300
66,2620;1,9570;63,5700;2,0660;51,1069;35,1300;63,5700;51,1069;35,1300
66,5880;1,9459;64,4000;2,0591;50,7069;36,1700;64,4000;50,7069;36,1700
68,0720;1,8971;63,4200;2,0857;48,5000;33,9600;63,4200;48,5000;33,9600
68,6240;1,8718;65,5500;2,0207;50,5586;37,2800;65,5500;50,5586;37,2800
69,2420;1,8527;65,4500;1,9940;51,4345;36,1800;65,4500;51,4345;36,1800
70,0040;1,8257;66,8100;1,9363;53,1828;37,4500;66,8100;53,1828;37,4500
70,9260;1,8015;67,4100;1,9241;52,7414;39,4300;67,4100;52,7414;39,4300
71,4680;1,7826;67,6000;1,9233;52,5552;40,4500;67,6000;52,5552;40,4500
72,4160;1,7517;67,8000;1,9142;52,5345;40,0400;67,8000;52,5345;40,0400
72,4300;1,7430;68,5200;1,8896;53,7138;39,5200;68,5200;53,7138;39,5200
72,7880;1,7336;69,1200;1,8690;53,8069;40,5200;69,1200;53,8069;40,5200
72,8340;1,7303;68,4600;1,8812;53,6345;40,7200;68,4600;53,6345;40,7200
73,2240;1,7160;69,3500;1,8634;54,0552;40,6400;69,3500;54,0552;40,6400
73,3760;1,7141;69,1200;1,8618;53,7759;39,8300;69,1200;53,7759;39,8300
64,9300;1,9865;59,3200;2,2205;46,5552;32,9000;59,3200;46,5552;32,9000
64,5420;2,0049;60,4100;2,1745;48,5069;33,3800;60,4100;48,5069;33,3800
65,4820;1,9718;62,1900;2,1356;47,5931;34,7500;62,1900;47,5931;34,7500
66,0580;1,9583;62,3400;2,1519;47,4690;35,7500;62,3400;47,4690;35,7500
66,2620;1,9524;63,3700;2,0604;46,9448;33,6500;63,3700;46,9448;33,6500
66,9720;1,9243;63,6900;2,0349;48,0069;33,8200;63,6900;48,0069;33,8200
67,8980;1,8967;63,6900;2,0773;48,4759;37,2500;63,6900;48,4759;37,2500
67,9580;1,8898;64,5300;2,0418;50,6724;36,4400;64,5300;50,6724;36,4400
68,3920;1,8698;63,5300;2,1016;51,2345;37,5700;63,5300;51,2345;37,5700
69,1040;1,8526;65,1800;2,0203;47,8310;37,2200;65,1800;47,8310;37,2200
69,3700;1,8376;65,3800;1,9834;49,9966;35,2000;65,3800;49,9966;35,2000
69,4780;1,8366;66,6000;1,9957;52,6828;40,8600;66,6000;52,6828;40,8600
70,0600;1,8158;65,3400;1,9943;51,6069;38,1300;65,3400;51,6069;38,1300
70,2720;1,8071;67,0100;1,9468;51,2724;39,4000;67,0100;51,2724;39,4000
70,5260;1,7965;67,4900;1,9098;51,4759;37,9500;67,4900;51,4759;37,9500
71,4540;1,7650;68,0500;1,9013;51,7690;41,2200;68,0500;51,7690;41,2200
71,7980;1,7549;67,4800;1,9290;50,7552;39,0500;67,4800;50,7552;39,0500
71,8200;1,7446;69,2400;1,8934;52,8966;43,2100;69,2400;52,8966;43,2100
72,6480;1,7258;68,8500;1,8694;52,5862;41,0300;68,8500;52,5862;41,0300
73,0840;1,7086;69,6500;1,8640;53,3759;43,3300;69,6500;53,3759;43,3300
73,2580;1,7044;70,2900;1,8225;54,4759;40,6600;70,2900;54,4759;40,6600
73,8280;1,6841;69,6200;1,8449;52,8586;41,5800;69,6200;52,8586;41,5800
73,6440;1,6880;70,3900;1,8257;52,8345;43,2500;70,3900;52,8345;43,2500
74,2580;1,6684;70,8000;1,7977;54,3069;42,9100;70,8000;54,3069;42,9100
74,3960;1,6660;71,2800;1,7767;57,0586;42,3200;71,2800;57,0586;42,3200
74,9140;1,6442;72,6700;1,7617;58,4759;45,4300;72,6700;58,4759;45,4300
75,4800;1,6299;71,7200;1,7984;55,2379;42,9000;71,7200;55,2379;42,9000
75,1200;1,6243;72,0800;1,7668;56,0931;44,5400;72,0800;56,0931;44,5400
76,2820;1,6031;72,0100;1,7718;56,8000;44,9400;72,0100;56,8000;44,9400
76,5960;1,5850;72,4000;1,7445;57,5069;44,9400;72,4000;57,5069;44,9400
76,8280;1,5797;73,2500;1,7258;58,7586;47,4600;73,2500;58,7586;47,4600
77,2020;1,5699;74,2800;1,6863;57,5138;45,7100;74,2800;57,5138;45,7100
77,5660;1,5543;73,6000;1,7141;57,7690;45,8100;73,6000;57,7690;45,8100
77,2640;1,5561;73,4400;1,7074;55,5310;45,5900;73,4400;55,5310;45,5900
77,7780;1,5428;74,6700;1,6758;57,4345;46,7400;74,6700;57,4345;46,7400
78,1660;1,5278;74,1600;1,6969;56,2310;47,1200;74,1600;56,2310;47,1200
78,3300;1,5292;73,4400;1,6949;55,4931;45,3300;73,4400;55,4931;45,3300
78,7740;1,5141;74,5600;1,6802;58,0103;48,4000;74,5600;58,0103;48,4000
79,1980;1,4967;75,0900;1,6752;58,5793;50,2700;75,0900;58,5793;50,2700
79,6360;1,4885;75,6000;1,6511;58,4966;49,0200;75,6000;58,4966;49,0200
79,7760;1,4862;75,8600;1,6361;58,6310;50,0300;75,8600;58,6310;50,0300
80,2900;1,4657;76,1300;1,6276;58,1724;49,1200;76,1300;58,1724;49,1200
80,4260;1,4569;76,2700;1,6323;58,2621;50,3600;76,2700;58,2621;50,3600
80,8940;1,4467;76,3900;1,5998;59,3034;48,6100;76,3900;59,3034;48,6100
80,7620;1,4487;76,5000;1,6147;58,2172;48,5400;76,5000;58,2172;48,5400
