train_accuracy;train_loss;valid_accuracy;valid_loss;valid_accuracy_robust;valid_accuracy_adversarial;valid_accuracy_swa;valid_accuracy_robust_swa;valid_accuracy_adversarial_swa
5,6480;4,3178;8,8300;4,1380;10,0138;5,8700;8,8300;10,0138;5,8700
9,9160;4,0741;15,1700;3,8299;15,2241;8,4800;15,1700;15,2241;8,4800
14,3140;3,8681;21,3600;3,6896;23,8759;9,3600;21,3600;23,8759;9,3600
18,0720;3,6967;26,4000;3,3171;21,8448;11,3800;26,4000;21,8448;11,3800
21,2100;3,5533;29,8600;3,2767;23,4414;12,0400;29,8600;23,4414;12,0400
24,2080;3,4371;32,7600;3,1764;31,0793;15,4300;32,7600;31,0793;15,4300
26,7160;3,3269;39,8400;2,8765;35,9793;15,4600;39,8400;35,9793;15,4600
29,3540;3,2234;38,9500;2,8071;35,9034;14,5100;38,9500;35,9034;14,5100
31,2120;3,1405;44,8400;2,6756;39,3034;17,2600;44,8400;39,3034;17,2600
33,1720;3,0786;45,0700;2,6503;37,4207;18,7800;45,0700;37,4207;18,7800
34,9480;3,0080;48,8200;2,6069;43,8276;23,6800;48,8200;43,8276;23,6800
36,3980;2,9616;50,3200;2,4819;41,5552;22,0000;50,3200;41,5552;22,0000
38,1840;2,8991;50,4500;2,4934;44,7621;23,6500;50,4500;44,7621;23,6500
39,3980;2,8573;52,7100;2,4420;44,6828;25,3000;52,7100;44,6828;25,3000
40,5100;2,8051;54,7200;2,3035;46,3345;24,3000;54,7200;46,3345;24,3000
41,7360;2,7587;56,8200;2,2603;46,0552;26,9900;56,8200;46,0552;26,9900
43,0700;2,7151;56,7900;2,2314;47,0345;26,1900;56,7900;47,0345;26,1900
43,9680;2,6680;58,1600;2,1916;47,5069;27,5400;58,1600;47,5069;27,5400
44,8320;2,6451;59,0000;2,1757;47,9724;29,4600;59,0000;47,9724;29,4600
45,9760;2,6119;60,1000;2,1231;51,3345;28,5000;60,1000;51,3345;28,5000
46,7480;2,5793;60,7500;2,1468;48,4207;31,3700;60,7500;48,4207;31,3700
47,7680;2,5402;62,0500;2,0977;51,5931;32,2400;62,0500;51,5931;32,2400
48,6220;2,5125;62,2500;2,0769;50,5897;31,2500;62,2500;50,5897;31,2500
49,6020;2,4873;63,8800;2,0482;52,5931;34,1700;63,8800;52,5931;34,1700
50,2960;2,4554;64,5600;2,0194;53,0897;33,6000;64,5600;53,0897;33,6000
50,8360;2,4381;64,0700;2,0475;52,9103;34,3100;64,0700;52,9103;34,3100
51,1720;2,4233;64,7300;2,0024;52,8207;33,3300;64,7300;52,8207;33,3300
51,5960;2,4116;65,1400;2,0078;52,9172;34,0100;65,1400;52,9172;34,0100
51,8640;2,4053;65,1800;1,9872;52,9897;33,5800;65,1800;52,9897;33,5800
51,7440;2,4081;65,2300;1,9990;53,1621;34,2900;65,2300;53,1621;34,2900
42,6520;2,7255;57,0600;2,2751;46,2759;28,3200;57,0600;46,2759;28,3200
42,9080;2,7105;54,3000;2,3914;43,6690;28,2900;54,3000;43,6690;28,2900
43,2280;2,6965;57,8700;2,3026;46,3310;31,5900;57,8700;46,3310;31,5900
44,2840;2,6705;57,8700;2,2715;47,4690;31,3600;57,8700;47,4690;31,3600
44,6660;2,6450;58,6700;2,1908;49,1724;30,4000;58,6700;49,1724;30,4000
45,7420;2,6113;58,5000;2,2132;48,3310;30,3000;58,5000;48,3310;30,3000
46,5220;2,5877;61,2200;2,1352;49,0552;31,7700;61,2200;49,0552;31,7700
47,0820;2,5669;61,5700;2,1194;50,3552;33,7200;61,5700;50,3552;33,7200
48,1040;2,5339;62,6600;2,1199;50,3103;34,1900;62,6600;50,3103;34,1900
48,5300;2,5068;63,1100;2,0678;50,2103;33,6600;63,1100;50,2103;33,6600
49,2580;2,4923;61,4000;2,1374;49,6379;35,1600;61,4000;49,6379;35,1600
49,8080;2,4651;62,6700;2,0848;49,9000;34,1700;62,6700;49,9000;34,1700
50,5120;2,4453;64,1300;2,0928;53,2345;38,1600;64,1300;53,2345;38,1600
51,0500;2,4276;64,4000;2,0508;49,8172;37,4400;64,4000;49,8172;37,4400
51,4100;2,4076;66,0500;1,9871;52,1724;36,9400;66,0500;52,1724;36,9400
52,3140;2,3819;65,5800;2,0250;51,8069;36,7900;65,5800;51,8069;36,7900
52,6880;2,3763;67,2700;1,9606;51,5552;39,3300;67,2700;51,5552;39,3300
53,2520;2,3514;66,9300;1,9632;53,9862;38,1600;66,9300;53,9862;38,1600
53,5300;2,3419;65,9700;1,9764;51,9586;37,6300;65,9700;51,9586;37,6300
54,0980;2,3204;68,2600;1,9446;57,3448;40,4100;68,2600;57,3448;40,4100
54,5920;2,3033;67,4800;1,9276;54,0621;39,1000;67,4800;54,0621;39,1000
55,4360;2,2807;68,4400;1,9418;54,0414;39,5300;68,4400;54,0414;39,5300
55,5000;2,2724;67,7700;1,9510;52,8172;41,4800;67,7700;52,8172;41,4800
56,3220;2,2487;68,9500;1,8965;53,0655;41,9300;68,9500;53,0655;41,9300
56,7420;2,2344;69,3600;1,8841;55,2690;41,7800;69,3600;55,2690;41,7800
57,6640;2,2052;70,5100;1,8394;56,2276;42,4300;70,5100;56,2276;42,4300
57,8320;2,2033;71,0100;1,8716;56,7828;44,4900;71,0100;56,7828;44,4900
58,6120;2,1754;70,9300;1,8262;56,3483;43,1500;70,9300;56,3483;43,1500
58,7160;2,1672;71,7800;1,8433;55,2931;45,2000;71,7800;55,2931;45,2000
58,9300;2,1635;71,5200;1,8325;58,3862;45,2100;71,5200;58,3862;45,2100
59,3220;2,1443;71,7800;1,8243;55,3586;44,5900;71,7800;55,3586;44,5900
60,6120;2,1087;72,3700;1,8163;56,3828;45,2300;72,3700;56,3828;45,2300
60,9020;2,0957;71,3800;1,8384;55,4690;44,9800;71,3800;55,4690;44,9800
61,3280;2,0845;72,0800;1,7952;58,0345;45,9500;72,0800;58,0345;45,9500
61,5680;2,0716;72,2300;1,7865;58,2690;46,7700;72,2300;58,2690;46,7700
62,5560;2,0435;72,4400;1,8070;57,2276;47,6900;72,4400;57,2276;47,6900
62,7640;2,0383;72,8300;1,7825;56,5310;47,7200;72,8300;56,5310;47,7200
63,2440;2,0216;73,2900;1,7653;57,9931;46,6700;73,2900;57,9931;46,6700
63,5120;2,0131;74,2000;1,7440;58,7103;48,1200;74,2000;58,7103;48,1200
64,7240;1,9766;73,5800;1,7601;57,5690;48,4200;73,5800;57,5690;48,4200
64,2620;1,9894;74,8200;1,7328;58,6241;49,2600;74,8200;58,6241;49,2600
65,3280;1,9615;74,1100;1,7269;59,1172;47,0900;74,1100;59,1172;47,0900
65,5120;1,9485;74,3600;1,7354;58,6241;49,0800;74,3600;58,6241;49,0800
65,7720;1,9350;74,5300;1,7071;58,7793;48,1700;74,5300;58,7793;48,1700
66,4660;1,9223;74,3700;1,7162;59,3966;48,3500;74,3700;59,3966;48,3500
66,6920;1,9166;74,9300;1,6922;59,5759;49,0100;74,9300;59,5759;49,0100
66,6800;1,9116;75,2700;1,6889;59,6621;49,7100;75,2700;59,6621;49,7100
67,1140;1,9005;75,3100;1,6905;59,8000;49,5400;75,3100;59,8000;49,5400
67,4980;1,8893;75,4700;1,6931;58,7414;50,2600;75,4700;58,7414;50,2600
67,9480;1,8708;74,9900;1,6932;59,2759;49,7100;74,9900;59,2759;49,7100
