train_accuracy;train_loss;valid_accuracy;valid_loss;valid_accuracy_robust;valid_accuracy_adversarial;valid_accuracy_swa;valid_accuracy_robust_swa;valid_accuracy_adversarial_swa
13,7387;4,1676;21,6800;3,6845;22,3586;11,4300;21,6800;22,3586;11,4300
31,1313;3,6850;35,4500;3,2049;31,2103;11,2300;35,4500;31,2103;11,2300
43,2027;3,3680;43,1300;2,9462;36,9517;12,2700;43,1300;36,9517;12,2700
50,7640;3,1750;47,9000;2,7834;44,4931;12,4200;47,9000;44,4931;12,4200
55,3387;3,0357;51,1900;2,6706;45,3931;12,0500;51,1900;45,3931;12,0500
58,6853;2,9383;55,7400;2,5161;45,4276;12,4000;55,7400;45,4276;12,4000
61,3113;2,8576;57,5900;2,4651;48,1655;13,4800;57,5900;48,1655;13,4800
63,4353;2,7845;58,3000;2,4049;46,6310;13,4900;58,3000;46,6310;13,4900
64,8173;2,7362;60,5300;2,3667;51,2862;14,5400;60,5300;51,2862;14,5400
66,5473;2,6804;61,8900;2,2849;49,2828;13,1100;61,8900;49,2828;13,1100
67,7080;2,6398;63,4700;2,2301;50,7621;15,4600;63,4700;50,7621;15,4600
68,9780;2,5937;64,4900;2,1978;50,3034;14,5100;64,4900;50,3034;14,5100
69,9693;2,5589;64,8400;2,1716;51,0000;15,3100;64,8400;51,0000;15,3100
71,0480;2,5254;66,6800;2,1449;51,1448;16,3700;66,6800;51,1448;16,3700
71,9993;2,4886;67,7700;2,1065;55,6517;17,8200;67,7700;55,6517;17,8200
72,8100;2,4554;68,1300;2,0571;54,2345;17,1000;68,1300;54,2345;17,1000
73,4320;2,4306;68,4300;2,0283;54,0862;17,5400;68,4300;54,0862;17,5400
74,7587;2,3955;69,8200;1,9770;56,0724;18,7400;69,8200;56,0724;18,7400
75,0953;2,3702;70,0200;1,9908;56,2862;18,7100;70,0200;56,2862;18,7100
75,8500;2,3429;70,3400;1,9800;55,5931;18,8800;70,3400;55,5931;18,8800
76,5553;2,3141;71,5200;1,9100;55,6828;20,4400;71,5200;55,6828;20,4400
77,1220;2,2940;72,2200;1,8941;57,5069;20,1400;72,2200;57,5069;20,1400
77,9227;2,2659;72,3600;1,8619;58,0931;20,0800;72,3600;58,0931;20,0800
78,3307;2,2516;72,4300;1,8428;56,9655;20,9900;72,4300;56,9655;20,9900
78,7540;2,2296;73,2800;1,8185;57,1966;21,1000;73,2800;57,1966;21,1000
79,0807;2,2180;73,3400;1,8531;57,8793;21,9200;73,3400;57,8793;21,9200
79,4247;2,2041;73,8900;1,8262;57,8897;21,2900;73,8900;57,8897;21,2900
79,8193;2,1917;73,6700;1,8213;58,0241;21,3800;73,6700;58,0241;21,3800
79,8673;2,1903;74,2300;1,7969;58,0690;21,3000;74,2300;58,0690;21,3000
80,2253;2,1771;73,8600;1,8025;58,0276;21,0200;73,8600;58,0276;21,0200
71,5920;2,4900;65,2800;2,1267;50,8207;15,6000;65,2800;50,8207;15,6000
71,1840;2,5052;65,7100;2,1677;52,4172;16,6500;65,7100;52,4172;16,6500
71,7540;2,4831;66,3400;2,1288;53,2828;17,3600;66,3400;53,2828;17,3600
72,1140;2,4675;67,1800;2,1019;53,0000;15,3100;67,1800;53,0000;15,3100
72,5380;2,4498;67,6300;2,0777;56,4345;16,7000;67,6300;56,4345;16,7000
72,9780;2,4376;65,7400;2,1209;50,3655;16,5300;65,7400;50,3655;16,5300
73,5340;2,4178;68,2600;2,0248;52,8448;16,6500;68,2600;52,8448;16,6500
73,7587;2,4038;67,8500;2,0649;53,7276;17,8100;67,8500;53,7276;17,8100
74,2400;2,3862;68,2700;1,9875;53,5448;18,5200;68,2700;53,5448;18,5200
74,4773;2,3807;67,8300;2,0375;53,7483;17,6400;67,8300;53,7483;17,6400
74,8527;2,3670;69,3500;1,9918;54,7000;18,5600;69,3500;54,7000;18,5600
75,3793;2,3448;70,0900;1,9511;53,9207;17,1200;70,0900;53,9207;17,1200
75,4333;2,3402;70,0900;1,9107;55,4828;18,7900;70,0900;55,4828;18,7900
76,1847;2,3167;70,4300;1,9246;54,8931;19,0400;70,4300;54,8931;19,0400
76,1920;2,3133;70,1500;1,9151;55,8034;17,5800;70,1500;55,8034;17,5800
76,8220;2,2879;70,6200;1,8954;55,6690;18,3800;70,6200;55,6690;18,3800
76,8673;2,2870;70,4300;1,9053;55,5483;18,6100;70,4300;55,5483;18,6100
77,0600;2,2768;70,6600;1,9175;55,7621;20,5900;70,6600;55,7621;20,5900
77,4347;2,2641;71,1300;1,8860;55,2552;19,3000;71,1300;55,2552;19,3000
77,9140;2,2458;71,6300;1,8520;56,5621;19,6500;71,6300;56,5621;19,6500
78,1853;2,2354;71,9600;1,8742;55,2862;19,3400;71,9600;55,2862;19,3400
78,2620;2,2303;71,0900;1,8800;58,2000;20,6000;71,0900;58,2000;20,6000
78,5893;2,2179;72,3500;1,8537;57,0724;20,6500;72,3500;57,0724;20,6500
78,8020;2,2055;73,0700;1,7677;57,9207;21,4800;73,0700;57,9207;21,4800
79,3073;2,1913;71,4300;1,8448;56,3069;19,9700;71,4300;56,3069;19,9700
79,5167;2,1824;73,1800;1,7709;57,1690;21,2600;73,1800;57,1690;21,2600
79,8667;2,1696;73,4600;1,7913;59,8138;21,1500;73,4600;59,8138;21,1500
80,1087;2,1551;73,2000;1,7857;57,3828;22,3500;73,2000;57,3828;22,3500
80,2713;2,1498;74,5100;1,7410;60,0310;21,8300;74,5100;60,0310;21,8300
80,6820;2,1368;74,4400;1,7542;59,9172;23,2000;74,4400;59,9172;23,2000
80,9180;2,1282;73,8400;1,7535;58,1966;22,7000;73,8400;58,1966;22,7000
81,0640;2,1191;73,9900;1,7522;58,8483;21,2000;73,9900;58,8483;21,2000
81,4320;2,1057;75,1900;1,6953;60,5034;22,0900;75,1900;60,5034;22,0900
81,6813;2,0927;74,4700;1,7386;59,6552;23,0100;74,4700;59,6552;23,0100
82,1040;2,0792;75,3500;1,7284;60,4103;21,7900;75,3500;60,4103;21,7900
82,3127;2,0698;75,4800;1,6992;60,1966;22,1000;75,4800;60,1966;22,1000
82,5153;2,0582;75,7700;1,6665;59,6483;22,9400;75,7700;59,6483;22,9400
82,8393;2,0481;75,5600;1,6821;61,1103;23,6900;75,5600;61,1103;23,6900
82,9347;2,0470;76,4400;1,6490;61,5931;25,5400;76,4400;61,5931;25,5400
83,1193;2,0355;76,1500;1,6688;60,6448;24,8100;76,1500;60,6448;24,8100
83,5827;2,0155;76,1700;1,6746;60,1448;24,2700;76,1700;60,1448;24,2700
83,7860;2,0064;76,6800;1,6213;62,0448;25,1600;76,6800;62,0448;25,1600
84,0980;1,9927;77,1900;1,6402;62,0759;24,5600;77,1900;62,0759;24,5600
84,2980;1,9844;77,4900;1,6229;62,2552;24,5900;77,4900;62,2552;24,5900
84,6327;1,9787;77,5700;1,6097;60,1207;24,6600;77,5700;60,1207;24,6600
84,7207;1,9686;77,5000;1,5991;61,8724;25,2700;77,5000;61,8724;25,2700
85,0420;1,9563;77,6700;1,5936;63,0000;25,0000;77,6700;63,0000;25,0000
85,3760;1,9447;77,6000;1,5806;61,0448;25,5500;77,6000;61,0448;25,5500
85,3507;1,9413;77,9500;1,5724;62,8931;25,3900;77,9500;62,8931;25,3900
85,7207;1,9271;78,1900;1,5886;62,4138;25,4800;78,1900;62,4138;25,4800
85,8993;1,9208;78,1000;1,5821;62,3621;25,9900;78,1000;62,3621;25,9900
85,8707;1,9215;78,2100;1,5569;62,8586;25,4500;78,2100;62,8586;25,4500
86,1353;1,9089;78,4200;1,5757;63,3034;26,1200;78,4200;63,3034;26,1200
86,2680;1,9020;78,6700;1,5597;62,3793;26,0700;78,6700;62,3793;26,0700
86,3020;1,8933;78,3600;1,5466;62,7069;26,0500;78,3600;62,7069;26,0500
86,2280;1,9046;78,7200;1,5618;62,4345;25,7300;78,7200;62,4345;25,7300
86,3073;1,9008;78,6000;1,5526;62,6483;26,3200;78,6000;62,6483;26,3200
86,5213;1,8881;78,2600;1,5547;62,4207;25,8600;78,2600;62,4207;25,8600
86,4413;1,8914;78,6500;1,5482;63,1138;26,0900;78,6500;63,1138;26,0900
86,5527;1,8901;78,5900;1,5650;62,7621;25,9900;78,5900;62,7621;25,9900
78,4533;2,2167;70,3600;1,8680;56,1310;18,7500;70,3600;56,1310;18,7500
77,5887;2,2504;69,1700;1,8994;55,5793;22,3800;69,1700;55,5793;22,3800
77,5000;2,2526;69,8500;1,9510;55,7552;18,5200;69,8500;55,7552;18,5200
77,4080;2,2567;69,8400;1,9362;53,9586;19,4400;69,8400;53,9586;19,4400
77,6080;2,2518;69,9500;1,9095;56,1069;20,7500;69,9500;56,1069;20,7500
78,0653;2,2380;70,2100;1,8886;54,0793;20,4400;70,2100;54,0793;20,4400
77,7720;2,2463;70,8700;1,8937;55,8966;21,2000;70,8700;55,8966;21,2000
78,1393;2,2283;70,9800;1,8886;55,9793;19,9600;70,9800;55,9793;19,9600
78,3733;2,2251;71,7300;1,8943;57,4483;19,8800;71,7300;57,4483;19,8800
78,3993;2,2199;71,0700;1,8973;55,1793;20,4900;71,0700;55,1793;20,4900
78,5313;2,2174;71,1800;1,8936;54,3517;18,4600;71,1800;54,3517;18,4600
78,4800;2,2125;70,7100;1,8916;56,2276;20,2900;70,7100;56,2276;20,2900
79,0427;2,1987;71,3900;1,9159;57,0103;20,6100;71,3900;57,0103;20,6100
78,9480;2,2030;71,1900;1,8502;54,3000;20,6900;71,1900;54,3000;20,6900
79,3607;2,1864;70,2600;1,8926;53,4552;20,5000;70,2600;53,4552;20,5000
79,0713;2,1942;72,1400;1,8534;54,7793;19,9800;72,1400;54,7793;19,9800
79,3560;2,1909;72,1300;1,8331;53,0448;22,2500;72,1300;53,0448;22,2500
79,6053;2,1774;72,2300;1,8731;57,6621;19,5800;72,2300;57,6621;19,5800
79,3740;2,1827;70,8200;1,8727;56,2207;19,3000;70,8200;56,2207;19,3000
79,6973;2,1714;72,5300;1,8644;54,5586;19,8400;72,5300;54,5586;19,8400
79,7320;2,1684;69,3000;1,9340;55,2724;19,9200;69,3000;55,2724;19,9200
79,9087;2,1660;72,3200;1,8431;57,5897;22,0600;72,3200;57,5897;22,0600
79,9193;2,1623;72,8500;1,8280;59,7793;21,1500;72,8500;59,7793;21,1500
80,0153;2,1571;71,8100;1,8559;56,5207;18,2600;71,8100;56,5207;18,2600
80,3573;2,1457;71,5800;1,8649;56,9241;20,3100;71,5800;56,9241;20,3100
80,3233;2,1445;71,7300;1,8579;56,8034;19,6300;71,7300;56,8034;19,6300
80,3427;2,1436;72,9200;1,8258;56,4897;22,4200;72,9200;56,4897;22,4200
80,4647;2,1427;71,5300;1,8445;54,8552;20,3400;71,5300;54,8552;20,3400
80,6140;2,1340;70,6300;1,8806;55,0931;17,5900;70,6300;55,0931;17,5900
80,5540;2,1368;72,6700;1,8012;57,4241;22,4900;72,6700;57,4241;22,4900
80,7220;2,1271;73,8000;1,7915;60,7241;21,8300;73,8000;60,7241;21,8300
80,8707;2,1244;73,1200;1,7853;58,3793;20,7300;73,1200;58,3793;20,7300
80,9600;2,1224;72,7700;1,7995;56,9552;20,9700;72,7700;56,9552;20,9700
81,2720;2,1117;73,7000;1,7840;59,1069;23,7900;73,7000;59,1069;23,7900
81,0807;2,1138;72,4200;1,8446;54,8759;19,2100;72,4200;54,8759;19,2100
81,2027;2,1095;73,4200;1,7795;57,1552;22,4700;73,4200;57,1552;22,4700
81,2347;2,1079;71,6000;1,8607;54,6345;19,0700;71,6000;54,6345;19,0700
81,4413;2,1003;73,3000;1,8039;56,7483;20,3100;73,3000;56,7483;20,3100
81,5680;2,0948;73,7500;1,7474;58,4897;22,0700;73,7500;58,4897;22,0700
81,6133;2,0954;73,0300;1,7810;56,4034;21,8400;73,0300;56,4034;21,8400
81,4853;2,0970;71,7500;1,8416;56,0724;20,7000;71,7500;56,0724;20,7000
81,9220;2,0822;73,2300;1,8140;56,3448;21,2800;73,2300;56,3448;21,2800
82,1200;2,0755;72,6000;1,8011;59,8483;22,3800;72,6000;59,8483;22,3800
82,0687;2,0766;74,7600;1,7266;59,0759;22,1200;74,7600;59,0759;22,1200
81,9953;2,0772;74,1200;1,7503;58,4379;24,5100;74,1200;58,4379;24,5100
82,2200;2,0679;74,0100;1,7739;59,6000;22,3100;74,0100;59,6000;22,3100
82,3120;2,0669;74,2100;1,7744;60,1345;21,6800;74,2100;60,1345;21,6800
82,3940;2,0580;74,8700;1,7603;57,4034;22,3800;74,8700;57,4034;22,3800
82,7933;2,0465;72,4900;1,8114;58,5483;21,2600;72,4900;58,5483;21,2600
82,7013;2,0487;73,8800;1,7641;58,3448;22,4800;73,8800;58,3448;22,4800
82,9000;2,0368;74,5000;1,7404;58,5034;24,3700;74,5000;58,5034;24,3700
82,9373;2,0397;74,7600;1,7618;58,1241;22,3700;74,7600;58,1241;22,3700
82,9493;2,0369;75,2900;1,7460;58,9517;22,4400;75,2900;58,9517;22,4400
83,0487;2,0351;74,6800;1,7501;61,4552;21,9800;74,6800;61,4552;21,9800
83,1387;2,0342;75,3800;1,6904;59,5483;24,8100;75,3800;59,5483;24,8100
83,1793;2,0300;73,5900;1,7736;57,2897;22,2300;73,5900;57,2897;22,2300
83,4333;2,0157;74,6300;1,7165;60,7517;21,8300;74,6300;60,7517;21,8300
83,5980;2,0098;75,3300;1,7059;60,2897;24,5500;75,3300;60,2897;24,5500
83,6360;2,0072;74,5300;1,7453;62,0345;22,6900;74,5300;62,0345;22,6900
83,9447;1,9957;75,7300;1,6805;61,8034;23,0500;75,7300;61,8034;23,0500
83,8920;2,0025;75,4100;1,7283;61,1138;21,0900;75,4100;61,1138;21,0900
84,1493;1,9904;75,0000;1,7305;61,0103;22,8100;75,0000;61,0103;22,8100
84,1580;1,9858;75,4500;1,6696;61,6621;24,0900;75,4500;61,6621;24,0900
84,2553;1,9798;75,1500;1,6913;59,9345;21,5700;75,1500;59,9345;21,5700
84,4860;1,9720;76,5100;1,6676;60,5345;23,2200;76,5100;60,5345;23,2200
84,6593;1,9693;76,0200;1,7014;61,5621;25,2900;76,0200;61,5621;25,2900
84,7113;1,9600;76,2800;1,6944;60,4345;23,3200;76,2800;60,4345;23,3200
84,5820;1,9610;76,3300;1,6772;59,9690;24,0500;76,3300;59,9690;24,0500
84,9447;1,9552;75,7400;1,6966;59,2034;23,7300;75,7400;59,2034;23,7300
84,9853;1,9501;76,5700;1,6767;62,2276;23,8300;76,5700;62,2276;23,8300
85,1507;1,9458;77,4300;1,6584;60,6414;22,2800;77,4300;60,6414;22,2800
85,2073;1,9415;76,6000;1,6480;61,3517;24,2100;76,6000;61,3517;24,2100
85,4033;1,9320;77,0900;1,6761;61,5586;23,7800;77,0900;61,5586;23,7800
85,5347;1,9345;77,7900;1,6489;62,4862;24,0200;77,7900;62,4862;24,0200
85,6320;1,9234;76,4500;1,6968;63,4621;22,2900;76,4500;63,4621;22,2900
85,9887;1,9098;76,8100;1,6280;63,2379;25,1000;76,8100;63,2379;25,1000
85,9860;1,9103;77,7100;1,6158;61,9103;24,6500;77,7100;61,9103;24,6500
86,0680;1,9070;77,4500;1,6188;63,0448;26,0300;77,4500;63,0448;26,0300
86,2647;1,8978;77,8100;1,6193;63,0379;24,4300;77,8100;63,0379;24,4300
86,2967;1,8963;78,3000;1,6174;61,4448;25,9900;78,3000;61,4448;25,9900
86,3653;1,8898;78,2000;1,6224;63,7034;24,7500;78,2000;63,7034;24,7500
86,4793;1,8854;78,4800;1,6140;63,4862;22,5400;78,4800;63,4862;22,5400
86,7573;1,8765;78,4700;1,6306;63,4241;24,7200;78,4700;63,4241;24,7200
86,7140;1,8781;78,4700;1,6098;63,1759;25,1900;78,4700;63,1759;25,1900
86,8940;1,8682;78,3100;1,6079;63,1931;24,9900;78,3100;63,1931;24,9900
87,0700;1,8620;77,5800;1,6245;62,8345;25,5000;77,5800;62,8345;25,5000
87,0680;1,8604;79,1300;1,5770;63,2724;26,1000;79,1300;63,2724;26,1000
87,3607;1,8477;79,1000;1,5849;65,1966;26,6300;79,1000;65,1966;26,6300
87,4980;1,8422;79,1200;1,5612;64,9828;25,4900;79,1200;64,9828;25,4900
87,6000;1,8431;79,2100;1,5576;64,2828;26,5200;79,2100;64,2828;26,5200
