train_accuracy;train_loss;valid_accuracy;valid_loss;valid_accuracy_robust;valid_accuracy_adversarial
64,2927;3,1625;74,8800;2,0726;63,5105;23,5100
63,0873;3,1712;74,5200;2,1105;61,2895;24,2100
66,9053;3,0704;75,7500;2,0535;61,8263;24,2600
65,6947;3,1362;75,5000;1,9985;61,5947;22,7000
66,0753;3,1451;75,0800;2,1673;61,4737;27,3800
67,6067;3,0991;75,6700;2,0371;62,2105;24,3500
63,5467;3,1733;74,1600;2,1195;63,7000;26,2500
65,4160;3,0994;75,2700;2,0656;64,1000;24,7300
66,5327;3,1094;76,7300;2,0781;64,1158;24,2500
67,0000;3,0707;75,6300;2,0278;64,1263;26,1600
67,6433;3,0777;76,5500;2,0540;64,3842;26,8700
67,5673;3,0524;75,9600;2,0696;61,6895;28,1100
69,0760;3,0273;75,7700;2,0252;65,6421;25,2200
66,5893;3,0646;76,3600;2,1189;63,2895;27,7400
66,3187;3,0922;76,5100;1,9964;63,8842;26,7000
66,2267;3,0904;76,3700;2,0381;64,0579;26,6800
67,2860;3,0526;76,6500;2,0328;63,2421;29,0000
66,8653;3,0970;75,9900;2,1820;65,0368;29,1900
67,9727;3,0371;76,7400;1,9847;65,6211;26,9500
68,0167;3,0321;76,7900;2,0905;64,9053;28,9900
68,4867;3,0413;76,7900;1,9325;65,2158;24,9600
67,1580;3,0832;77,0000;1,9739;66,0158;27,6900
70,1413;3,0038;77,2600;1,9866;66,5368;27,6900
67,7273;3,0664;76,9200;1,9111;66,2000;28,2800
68,9800;3,0517;77,0800;1,8891;65,9053;26,4300
68,5087;3,0200;77,4600;1,9068;65,9421;28,2700
70,0867;2,9682;77,3200;2,0665;65,4737;29,4700
69,2280;3,0449;78,1000;1,9439;66,3526;27,0900
70,3153;3,0024;77,6400;1,9612;65,0684;29,6100
72,2307;2,9532;78,5600;1,9851;67,3895;29,8600
67,9473;3,0416;78,3800;1,8906;68,5526;26,5900
69,6393;3,0430;77,5300;1,9148;66,7579;30,4100
69,6847;3,0270;78,1300;1,9139;67,4000;29,9600
71,2727;2,9987;78,1500;1,9776;67,5211;27,4100
72,5833;2,9364;78,2700;1,9507;66,1000;29,9700
69,7853;2,9967;78,1500;1,8799;67,2105;27,6700
71,2373;2,9745;78,5500;1,8743;66,5789;30,2700
71,9627;2,9812;78,7800;1,8490;67,4474;28,6900
70,1953;3,0098;78,7300;1,9389;67,0158;30,6600
69,4160;3,0454;78,8800;1,8366;67,4737;29,7500
71,2900;3,0012;78,8400;1,8384;66,9158;30,8000
68,2840;3,0319;78,9000;2,0059;68,3526;31,8400
71,2887;2,9814;78,8800;1,9361;68,0211;29,6100
70,8100;2,9971;78,7000;2,0139;67,5789;32,0500
71,4093;2,9880;79,4200;1,8096;67,3842;29,3900
71,1367;2,9983;79,1500;1,8387;67,6105;31,0200
73,1447;2,9127;79,3000;1,9226;66,8789;30,6000
70,1420;2,9824;79,4500;1,8873;67,7684;32,8900
71,8593;2,9687;79,3800;1,9113;68,4211;30,9800
73,2147;2,9663;79,7200;1,8808;68,1263;30,3400
73,5380;2,9212;79,5700;1,8628;69,0263;30,7200
73,5620;2,8907;79,7600;1,9716;68,6158;30,8200
72,7540;2,9614;79,7900;1,8461;68,3842;31,2500
71,5247;2,9693;79,6600;1,8624;68,1158;32,4500
73,7553;2,9039;79,5000;1,8078;68,5263;30,8100
74,7913;2,8577;79,8000;1,9179;68,6895;31,3300
75,1220;2,8840;80,1900;1,7952;69,4053;30,5100
74,3813;2,9295;80,1000;1,8880;68,9947;32,2400
73,2607;2,9061;80,3600;1,7552;68,8158;30,8600
73,9087;2,9236;80,0600;1,7938;69,2000;31,8900
73,1920;2,9224;80,1900;1,8138;69,2368;30,2800
72,9900;2,9501;80,0900;1,8604;69,3211;32,5900
74,1273;2,9213;80,4400;1,7838;69,2368;31,7100
71,3753;2,9833;80,0800;1,9264;68,8368;33,5900
73,8353;2,9195;80,3200;1,8263;68,6684;31,1800
74,1120;2,8983;80,2300;1,8559;68,8211;31,4600
72,5013;2,9423;80,1500;1,8012;69,0789;31,9600
74,8793;2,8721;80,1600;1,7378;68,7263;30,2400
71,4947;2,9449;80,2600;1,9155;69,2895;32,0700
72,4213;2,9554;80,0400;1,9072;68,9684;33,6200
65,4787;3,0710;72,5400;2,0638;61,4737;22,4900
62,5953;3,1936;73,1600;2,1263;59,2211;20,2300
61,4040;3,2325;74,5200;2,1487;63,7789;22,6900
64,2773;3,1342;74,0700;2,1466;61,8895;23,9000
62,1600;3,1864;72,8200;2,1198;61,7421;23,7000
65,5013;3,1345;71,8300;2,2077;57,9789;22,5500
62,4487;3,2032;73,4800;2,4390;61,7789;25,9400
64,5340;3,1167;74,7900;2,0975;63,0053;22,9300
62,7153;3,1919;74,5900;2,0499;63,6526;23,4900
64,5120;3,1023;73,3900;2,0440;62,6526;25,1800
65,3653;3,1224;74,7600;1,9800;63,8684;23,4100
64,4540;3,1704;75,4200;2,1457;62,4105;23,5200
64,7927;3,1398;73,0100;2,3828;60,1211;26,1000
63,4940;3,1409;73,4900;2,0082;64,6368;22,0900
67,4993;3,0770;74,6300;2,0625;64,4105;21,2400
63,1040;3,1598;74,8700;2,1657;62,9421;23,7900
65,8180;3,1231;75,0900;2,0653;64,3421;23,4900
