train_accuracy;train_loss;valid_accuracy;valid_loss;valid_accuracy_robust;valid_accuracy_adversarial
56,4680;2,9538;72,2400;1,6401;60,7105;30,2100
56,0740;2,9984;73,0300;1,6124;59,8789;30,2700
53,7120;3,0701;72,1100;1,6609;59,3368;25,1200
58,2900;2,9257;73,0500;1,6249;58,3158;27,8800
59,4920;2,9047;72,4700;1,6591;58,6842;25,2000
53,5260;3,0110;71,5500;1,6670;60,9316;25,4200
55,0220;3,0249;72,9900;1,6329;60,1053;25,6400
60,9340;2,9493;73,3700;1,6088;59,9421;26,8400
58,0540;2,9756;73,6700;1,6091;62,0474;31,2800
57,1420;2,9749;74,5900;1,5926;60,3842;25,3700
55,5860;2,9799;73,1100;1,6305;62,0789;27,1900
53,4540;3,0358;74,7200;1,5909;63,6737;27,5000
58,7460;2,9776;74,6200;1,6192;62,1316;23,0400
57,1320;3,0045;74,5000;1,5953;63,5737;25,0900
57,4340;2,9832;73,2200;1,7340;60,9316;19,5700
58,3020;2,9439;75,2200;1,5510;63,9105;33,4000
57,5880;2,9612;75,6400;1,5577;62,7842;27,6700
59,4820;2,9433;74,4900;1,5821;61,5053;30,0400
57,6240;2,9057;74,2600;1,6094;60,0737;24,7200
61,7580;2,8300;75,4700;1,5578;62,5737;30,9700
56,8020;2,9852;73,7400;1,6155;60,9474;25,9100
63,1220;2,8840;76,1800;1,5373;61,5737;28,6800
61,1600;2,8455;75,5700;1,5592;61,7053;29,8800
60,2340;2,8373;75,2300;1,5577;62,1895;27,9100
60,2880;2,8302;75,4900;1,5945;61,5632;23,3800
59,5260;2,9302;75,8400;1,6016;62,4263;23,2600
60,8720;2,8945;76,5900;1,4970;62,6526;32,3600
61,0520;2,8003;75,9200;1,6237;63,6263;22,3000
60,9120;2,9063;76,8500;1,5187;63,5263;29,2000
62,3220;2,8200;76,9000;1,5190;61,9737;36,2100
59,8820;2,8833;76,9700;1,5067;63,6263;30,6000
61,4820;2,8973;76,4900;1,5608;62,5789;25,2000
61,4580;2,7732;76,7500;1,4997;64,1737;33,0600
60,8880;2,9433;77,6300;1,5448;62,9474;25,2700
63,9260;2,8018;77,5100;1,4971;64,4947;30,3100
63,4400;2,8683;77,3700;1,5153;63,5632;27,6000
