train_accuracy;train_loss;valid_accuracy;valid_loss;valid_accuracy_robust;valid_accuracy_adversarial
63,7540;3,1101;74,4100;2,0386;61,6316;24,0100
63,4653;3,1407;73,9000;2,1314;64,6684;26,3800
62,0667;3,1783;73,5000;2,1513;61,6421;25,0000
65,2780;3,0980;74,0000;2,0470;62,5526;24,3100
64,4847;3,1184;74,6300;1,9999;64,8000;25,0700
64,1393;3,1142;72,4500;2,1763;61,1789;26,3300
65,2127;3,0892;74,4600;2,0373;64,1684;25,1000
65,6840;3,0728;74,9300;2,1492;63,0053;24,2500
65,3633;3,0705;73,9500;1,9677;63,3526;24,2600
64,3360;3,0866;74,6700;2,1649;63,8526;25,8900
66,4607;3,0677;74,7500;1,9412;62,4053;22,2700
64,4027;3,1184;74,5500;1,9815;63,9105;25,8200
65,8573;3,0857;75,0300;2,1120;64,2421;26,2200
63,8407;3,1118;75,2900;2,0754;63,0316;25,3900
65,8727;3,0749;75,8600;1,9413;65,0526;26,0100
66,4240;3,0573;76,4400;1,9834;64,5895;25,4200
65,1827;3,1122;76,1600;2,2578;65,4421;28,6300
67,9787;3,0053;76,3600;1,8960;64,6526;25,0900
68,1313;3,0120;74,9700;2,1595;64,8737;28,8000
66,3493;3,0533;76,3400;1,9660;65,2105;28,2300
67,8867;3,0209;76,4100;2,0742;64,6316;26,7700
65,9307;3,0603;76,5700;1,9208;65,3368;26,9900
67,5573;3,0381;77,3400;2,0290;65,8000;26,8000
66,4453;3,0548;77,1300;1,8934;64,7000;26,9500
67,9420;2,9955;76,5200;1,9935;66,3421;26,6500
68,1727;3,0129;78,0200;1,9781;66,8526;27,3100
67,4587;3,0442;77,2500;1,9509;67,0105;28,3000
67,6080;3,0362;77,1000;1,8874;66,9474;27,1100
67,9360;3,0430;76,6300;1,9678;65,3947;28,0400
68,6820;2,9805;78,3800;1,8614;68,6000;26,9900
69,1433;3,0218;77,4500;1,9167;66,3263;29,8900
68,7013;3,0043;78,2500;1,8430;68,0737;28,3000
68,3520;2,9828;77,4100;2,1068;67,2579;28,8700
68,1600;3,0379;77,4100;1,9608;66,5842;29,2300
69,7307;2,9576;78,2900;1,9855;67,5579;30,4500
70,3880;2,9731;78,3100;1,9169;68,7684;29,8200
68,6653;2,9915;77,9100;1,9896;68,3000;30,0700
69,2747;2,9718;79,0600;1,8911;68,2158;30,0600
70,3207;2,9580;78,4300;1,8454;67,7632;29,5300
70,3520;2,9383;78,9700;1,9438;68,7737;30,0300
71,1580;2,9516;79,4700;1,8679;68,6474;30,1900
69,8813;2,9723;78,4300;1,9949;67,1158;30,4600
71,7547;2,9077;79,5100;1,9072;69,9211;30,2100
69,9773;2,9805;78,9700;1,8746;68,3737;30,7300
70,2173;2,9593;78,8900;2,0110;68,5053;30,8500
70,6607;2,9463;79,4000;1,8825;69,5947;31,8900
72,2833;2,9425;79,5800;1,9139;69,5316;31,7900
71,6320;2,9386;79,5200;1,7890;69,0895;30,3400
71,0687;2,9203;79,8600;1,9056;69,4842;32,1300
71,9427;2,9261;79,8600;1,9020;69,6421;32,4400
72,0847;2,9218;79,8300;1,7604;69,5684;30,2200
72,0067;2,9318;79,6100;1,8759;68,4789;33,0900
70,0613;2,9673;79,8800;1,8846;69,3895;31,6400
70,3047;2,9388;80,2300;1,8027;69,7842;32,2700
71,9653;2,9016;80,2300;1,9503;69,5684;32,3500
72,6020;2,8902;79,6800;1,9299;69,7684;33,8300
73,0440;2,8779;79,9700;1,8514;70,0684;32,2400
72,7060;2,9060;80,4700;1,8942;69,7842;30,4100
73,6667;2,8551;80,2800;1,7849;69,5421;31,8900
74,7980;2,8376;80,4900;1,7848;69,8368;31,4300
73,1733;2,8784;80,3200;1,8145;70,2263;33,1800
74,6827;2,8236;80,6300;1,7986;70,0895;32,8100
73,6047;2,8855;80,2700;1,8129;70,2684;32,4200
72,3933;2,9255;80,2600;1,8124;69,9211;33,8600
75,1227;2,8408;80,7900;1,7176;69,9474;30,7200
73,5120;2,8412;80,4400;1,7739;69,4684;33,4600
72,2300;2,9125;80,3900;1,8574;70,1105;34,0300
72,8687;2,9031;80,1500;1,9710;70,5263;34,5300
73,0513;2,8877;80,7600;1,7550;70,0579;30,9000
74,4253;2,8701;80,7500;1,7616;70,2579;31,1200
62,6107;3,1369;70,2000;2,1684;59,8632;19,8500
59,6460;3,1953;70,3400;2,2313;56,9158;21,5800
60,4400;3,2047;72,5800;2,2305;60,1684;21,7100
61,7480;3,1957;72,2300;2,1714;60,3789;20,7600
62,0520;3,2092;72,9000;2,0467;62,2263;19,7600
61,0073;3,1735;71,6700;2,1377;58,5368;19,8900
62,1987;3,1706;72,4200;2,1743;58,9158;22,8900
62,8660;3,1618;73,1600;2,0557;61,3526;22,3200
62,3207;3,1670;73,2900;2,0550;63,5789;21,8100
62,8527;3,1491;72,2900;2,1573;60,9158;22,0300
62,4193;3,1820;72,8600;2,2172;62,8684;24,5600
64,0500;3,1481;74,3800;2,1941;62,9158;23,5900
64,8873;3,0925;72,9900;2,1461;63,1158;23,6200
63,7240;3,1386;71,4100;2,1888;64,0632;23,9000
61,2567;3,1773;73,5300;2,1008;63,9421;24,4400
63,4307;3,1336;73,4600;2,0602;63,7105;24,7100
64,5233;3,0971;74,7400;2,1426;64,1474;24,7200
64,7427;3,1008;74,2100;2,0435;62,1947;23,3100
62,5007;3,1360;73,1900;2,0254;62,1316;23,5800
65,8607;3,0679;73,7200;2,0411;64,1000;23,5100
64,2807;3,1085;74,1700;2,0356;62,8632;21,7200
65,0207;3,0906;74,8300;2,1305;64,1368;21,7400
64,5947;3,0967;73,9600;2,0763;63,2632;25,8700
64,1047;3,1357;74,2400;2,2753;61,3053;23,3700
64,6740;3,0832;73,1700;2,2882;62,0684;23,4100
64,2940;3,1276;73,6600;2,2535;63,8158;23,8500
66,1767;3,0584;73,6500;2,2420;61,9789;25,4800
64,2940;3,0893;74,2600;2,0482;65,0368;23,7100
65,7927;3,0651;74,6000;2,0175;64,9211;21,9200
65,4387;3,0654;74,5400;2,0194;62,9737;22,7400
65,6347;3,0802;75,2300;2,0697;64,8737;25,9800
66,4700;3,0496;74,3700;2,2041;63,3947;25,9200
64,3720;3,1229;73,3400;2,1324;63,6737;24,9500
65,8953;3,1000;74,5600;1,9958;66,3632;24,8400
65,6887;3,0484;74,0500;1,9742;66,7368;22,6200
63,8867;3,1049;74,7100;2,1646;61,3368;26,9300
64,6127;3,1198;74,6300;2,0743;64,2579;25,8800
64,2380;3,0940;72,4000;2,2573;61,3579;24,2600
64,6720;3,1097;75,0600;2,0498;61,9526;23,9000
65,6247;3,0739;73,8000;2,0751;66,4316;26,0100
