train_accuracy;train_loss;valid_accuracy;valid_loss;valid_accuracy_robust;valid_accuracy_adversarial;valid_accuracy_swa;valid_accuracy_robust_swa;valid_accuracy_adversarial_swa
5,0080;4,3992;8,1200;4,2113;9,2276;6,4600;8,1200;9,2276;6,4600
8,6180;4,2248;12,5100;3,9510;10,5621;7,7400;12,5100;10,5621;7,7400
11,4440;4,1063;17,8800;3,6860;15,5345;8,9700;17,8800;15,5345;8,9700
14,1140;4,0175;22,9500;3,4176;24,2379;9,9300;22,9500;24,2379;9,9300
17,1020;3,8930;25,8800;3,3381;25,7345;11,5700;25,8800;25,7345;11,5700
19,7080;3,8017;30,3900;3,1377;27,9552;10,6300;30,3900;27,9552;10,6300
22,1880;3,7462;36,4100;2,8844;34,2103;12,5600;36,4100;34,2103;12,5600
22,0500;3,7387;37,2200;2,8962;34,9103;13,0400;37,2200;34,9103;13,0400
25,2620;3,5885;42,2800;2,6932;35,5793;15,7900;42,2800;35,5793;15,7900
26,4280;3,5565;40,2100;2,7777;36,0379;17,5500;40,2100;36,0379;17,5500
27,2480;3,5822;40,2000;2,8079;35,2793;16,8100;40,2000;35,2793;16,8100
31,3680;3,3931;45,4900;2,5637;39,5759;18,5100;45,4900;39,5759;18,5100
32,4940;3,3656;48,7900;2,4361;40,8690;18,6500;48,7900;40,8690;18,6500
32,9620;3,3323;51,3100;2,3940;43,6862;21,6400;51,3100;43,6862;21,6400
33,8040;3,3298;50,9700;2,3777;43,7241;20,4300;50,9700;43,7241;20,4300
32,3960;3,3968;51,2200;2,3598;44,1276;20,9400;51,2200;44,1276;20,9400
36,5920;3,2657;54,1800;2,2367;44,9345;21,6600;54,1800;44,9345;21,6600
36,4060;3,2390;54,4100;2,2743;44,5586;23,1200;54,4100;44,5586;23,1200
37,8000;3,1637;56,7700;2,2074;45,1000;26,3700;56,7700;45,1000;26,3700
39,3080;3,1075;57,4900;2,2283;47,0517;28,8800;57,4900;47,0517;28,8800
41,1400;3,0471;57,9500;2,1667;48,4621;28,1000;57,9500;48,4621;28,1000
40,5420;3,0947;58,4800;2,1360;48,6828;28,3700;58,4800;48,6828;28,3700
42,7780;3,0632;59,6200;2,0800;49,1966;26,8000;59,6200;49,1966;26,8000
43,6300;3,0170;61,7400;2,0431;49,4759;30,2100;61,7400;49,4759;30,2100
41,3080;3,1136;60,9200;2,0679;49,8828;30,9900;60,9200;49,8828;30,9900
42,7060;3,0495;61,5700;2,0213;50,4931;27,2500;61,5700;50,4931;27,2500
43,6180;2,9625;62,8100;2,0013;51,2759;31,7800;62,8100;51,2759;31,7800
42,8960;3,0128;62,7400;1,9996;51,2931;30,4600;62,7400;51,2931;30,4600
45,2080;2,9598;62,8000;1,9846;51,5759;29,1000;62,8000;51,5759;29,1000
44,9440;2,9576;62,9400;1,9760;51,5828;29,4400;62,9400;51,5828;29,4400
36,3020;3,2559;48,3600;2,4999;40,1690;19,6400;48,3600;40,1690;19,6400
36,4520;3,2556;53,9800;2,3488;44,0586;27,4000;53,9800;44,0586;27,4000
35,9160;3,2758;53,1100;2,3245;42,6931;23,8200;53,1100;42,6931;23,8200
38,1020;3,2051;54,3500;2,2841;44,4655;27,4900;54,3500;44,4655;27,4900
36,9080;3,2432;54,9100;2,2773;45,3138;25,8800;54,9100;45,3138;25,8800
39,1360;3,1868;57,9400;2,1939;47,5552;30,3500;57,9400;47,5552;30,3500
39,8160;3,1191;59,1700;2,1250;46,5862;26,7100;59,1700;46,5862;26,7100
38,8560;3,1710;60,5900;2,1154;47,7103;32,2100;60,5900;47,7103;32,2100
41,4760;3,0709;56,7300;2,1997;42,9345;25,6400;56,7300;42,9345;25,6400
41,4460;3,0682;60,5900;2,0718;48,3069;29,3500;60,5900;48,3069;29,3500
42,5840;2,9996;62,0100;2,0788;47,7793;32,1300;62,0100;47,7793;32,1300
42,4380;3,0306;62,8900;2,0250;49,4172;33,1500;62,8900;49,4172;33,1500
43,6160;3,0159;63,6800;2,0482;48,8862;33,7300;63,6800;48,8862;33,7300
44,0300;2,9661;64,1200;1,9752;50,0483;32,7800;64,1200;50,0483;32,7800
42,5280;3,0520;62,9800;2,0114;49,5069;32,5600;62,9800;49,5069;32,5600
45,3560;2,9524;63,1300;1,9949;47,3379;31,0600;63,1300;47,3379;31,0600
45,3720;2,9403;65,1500;1,9454;52,1724;34,2400;65,1500;52,1724;34,2400
44,6120;3,0228;66,4500;1,8803;50,5241;33,5300;66,4500;50,5241;33,5300
45,7560;2,9169;63,8100;1,9495;50,3862;31,4000;63,8100;50,3862;31,4000
45,3840;2,9563;66,3700;1,9041;52,2897;34,8100;66,3700;52,2897;34,8100
46,3500;2,9242;65,5300;1,9328;50,1414;34,7600;65,5300;50,1414;34,7600
47,0780;2,9180;67,1300;1,8807;52,6138;35,3700;67,1300;52,6138;35,3700
46,2860;2,9668;66,7900;1,8466;51,9345;30,7000;66,7900;51,9345;30,7000
48,4840;2,8539;66,8900;1,8761;53,6276;38,1200;66,8900;53,6276;38,1200
49,4760;2,8225;69,1100;1,8010;54,8828;36,8400;69,1100;54,8828;36,8400
45,2340;2,9826;69,1900;1,8165;54,8862;38,6000;69,1900;54,8862;38,6000
46,6380;2,9433;67,8700;1,8375;53,9655;37,4400;67,8700;53,9655;37,4400
47,5800;2,8744;69,2100;1,8344;56,0517;40,9400;69,2100;56,0517;40,9400
47,7480;2,9107;68,4000;1,7979;53,9690;34,6100;68,4000;53,9690;34,6100
48,0900;2,9205;70,3700;1,7671;56,2414;39,7900;70,3700;56,2414;39,7900
51,2200;2,8018;70,7000;1,7700;55,5241;39,7000;70,7000;55,5241;39,7000
50,3420;2,7912;70,6700;1,7646;57,1517;39,7200;70,6700;57,1517;39,7200
51,5580;2,7155;71,7300;1,7114;57,4207;37,7200;71,7300;57,4207;37,7200
53,0340;2,6811;70,9300;1,7268;57,4034;38,5900;70,9300;57,4034;38,5900
52,8860;2,7264;71,7100;1,7500;55,5241;44,0100;71,7100;55,5241;44,0100
54,5600;2,6723;71,5000;1,7569;57,3828;43,5400;71,5000;57,3828;43,5400
53,5200;2,7006;71,6100;1,7350;58,6103;41,9500;71,6100;58,6103;41,9500
54,7820;2,6860;72,4800;1,7027;57,6379;41,7400;72,4800;57,6379;41,7400
54,4540;2,6934;73,7200;1,6503;58,3034;40,5100;73,7200;58,3034;40,5100
56,2280;2,6657;74,0500;1,6508;59,5517;42,2300;74,0500;59,5517;42,2300
54,3280;2,6744;73,9400;1,6653;59,8034;45,1200;73,9400;59,8034;45,1200
53,4020;2,7231;74,1100;1,6588;59,3310;43,4100;74,1100;59,3310;43,4100
55,1740;2,6738;74,2600;1,6422;59,0138;46,3100;74,2600;59,0138;46,3100
54,7080;2,6621;74,7300;1,6510;60,0241;45,6300;74,7300;60,0241;45,6300
54,2400;2,7212;74,3100;1,6405;59,9897;43,8700;74,3100;59,9897;43,8700
53,7420;2,7037;74,8800;1,6301;60,4655;43,9100;74,8800;60,4655;43,9100
58,2980;2,4962;74,8800;1,6203;60,0138;43,7000;74,8800;60,0138;43,7000
57,6700;2,6142;75,5200;1,6066;60,5414;43,8700;75,5200;60,5414;43,8700
56,0560;2,6759;75,1300;1,6305;60,2966;45,5000;75,1300;60,2966;45,5000
55,3160;2,6549;75,6400;1,6019;60,9207;44,8800;75,6400;60,9207;44,8800
57,1600;2,6282;75,3700;1,6054;61,0724;43,3700;75,3700;61,0724;43,3700
56,3760;2,6458;75,5000;1,5953;60,6207;42,9900;75,5000;60,6207;42,9900
55,9520;2,6496;75,9600;1,5873;61,3207;43,9000;75,9600;61,3207;43,9000
60,3420;2,4524;76,4400;1,5891;61,1000;46,9700;76,4400;61,1000;46,9700
56,6180;2,5912;75,4900;1,5976;61,3310;43,7800;75,4900;61,3310;43,7800
59,8220;2,4627;76,4400;1,5745;61,5931;45,1200;76,4400;61,5931;45,1200
58,2740;2,5459;76,1500;1,5855;61,5483;45,4100;76,1500;61,5483;45,4100
56,5320;2,5896;76,2000;1,6132;61,4241;47,3600;76,2000;61,4241;47,3600
56,7400;2,6315;76,1100;1,5913;61,6759;44,9800;76,1100;61,6759;44,9800
57,7280;2,5507;76,2600;1,5840;61,5069;45,0800;76,2600;61,5069;45,0800
49,7440;2,8170;68,2400;1,8213;53,9345;35,8100;68,2400;53,9345;35,8100
50,7560;2,7578;67,8500;1,8585;51,0241;38,6600;67,8500;51,0241;38,6600
51,1240;2,7603;68,6200;1,8156;52,9138;37,9100;68,6200;52,9138;37,9100
47,4940;2,9009;68,0600;1,8369;53,3000;33,6700;68,0600;53,3000;33,6700
47,2620;2,9158;67,7700;1,8374;53,4310;36,3600;67,7700;53,4310;36,3600
51,4160;2,7443;69,2600;1,7781;53,5000;36,1400;69,2600;53,5000;36,1400
51,3380;2,7032;70,4900;1,8041;54,8069;41,1100;70,4900;54,8069;41,1100
50,4740;2,7787;67,9800;1,8394;53,0241;34,7700;67,9800;53,0241;34,7700
48,0860;2,9110;69,5500;1,7777;53,5241;34,9400;69,5500;53,5241;34,9400
49,6120;2,7943;69,1500;1,7924;54,0345;38,2000;69,1500;54,0345;38,2000
47,5300;2,8878;69,4300;1,7895;53,3586;38,2700;69,4300;53,3586;38,2700
47,9340;2,9147;69,8400;1,8009;52,3759;40,1900;69,8400;52,3759;40,1900
51,9520;2,7555;69,4800;1,8050;53,1138;40,7100;69,4800;53,1138;40,7100
51,4820;2,8076;70,8700;1,7554;56,1690;39,7800;70,8700;56,1690;39,7800
51,8760;2,7787;70,5100;1,7629;55,3862;39,3600;70,5100;55,3862;39,3600
50,8500;2,7955;71,0900;1,7458;54,8448;41,6800;71,0900;54,8448;41,6800
52,5680;2,7404;70,9400;1,7114;56,2586;34,3700;70,9400;56,2586;34,3700
53,2340;2,6967;70,9100;1,7745;55,7379;41,5600;70,9100;55,7379;41,5600
50,5040;2,8185;71,4300;1,7411;55,7241;40,0600;71,4300;55,7241;40,0600
50,8060;2,8385;71,6900;1,7326;56,0759;43,3800;71,6900;56,0759;43,3800
52,4080;2,7613;72,1400;1,6917;55,4966;38,9400;72,1400;55,4966;38,9400
53,7020;2,6938;71,5900;1,7050;57,1172;39,6200;71,5900;57,1172;39,6200
50,9460;2,8007;71,2500;1,7506;56,4586;38,9000;71,2500;56,4586;38,9000
54,1440;2,6824;72,7600;1,6803;57,9828;37,8200;72,7600;57,9828;37,8200
55,4060;2,6312;72,8700;1,6689;58,2138;40,7700;72,8700;58,2138;40,7700
51,1900;2,7960;71,0900;1,7289;56,0862;39,1500;71,0900;56,0862;39,1500
51,4180;2,7945;71,7800;1,7002;57,6138;38,1000;71,7800;57,6138;38,1000
53,4520;2,7417;73,4100;1,6416;57,9276;36,8400;73,4100;57,9276;36,8400
51,7500;2,7909;73,0100;1,6654;56,5379;41,8500;73,0100;56,5379;41,8500
54,4660;2,6702;72,5400;1,6943;57,6172;41,0000;72,5400;57,6172;41,0000
