train_accuracy;train_loss;valid_accuracy;valid_loss;valid_accuracy_robust;valid_accuracy_adversarial;valid_accuracy_swa;valid_accuracy_robust_swa;valid_accuracy_adversarial_swa
6,4020;4,2789;10,2600;4,0726;10,1552;7,1600;10,2600;10,1552;7,1600
11,4640;4,0039;16,8700;3,7400;15,8138;8,4500;16,8700;15,8138;8,4500
15,4980;3,8024;21,6200;3,5572;24,6241;10,6200;21,6200;24,6241;10,6200
19,7660;3,6072;25,7500;3,3917;29,2586;11,1000;25,7500;29,2586;11,1000
23,4880;3,4556;30,3400;3,1831;25,3069;12,3500;30,3400;25,3069;12,3500
26,7300;3,3272;35,4100;3,0158;33,4414;15,5000;35,4100;33,4414;15,5000
28,8460;3,2310;40,1000;2,8430;36,8966;16,0000;40,1000;36,8966;16,0000
31,1840;3,1366;42,0000;2,7587;37,3241;16,7100;42,0000;37,3241;16,7100
33,3500;3,0524;43,5800;2,6827;39,7621;17,4100;43,5800;39,7621;17,4100
35,5040;2,9715;45,1500;2,6440;40,8138;19,1700;45,1500;40,8138;19,1700
37,0700;2,9099;47,4600;2,6107;40,5690;23,8500;47,4600;40,5690;23,8500
38,8900;2,8459;49,8300;2,4654;43,1207;21,4200;49,8300;43,1207;21,4200
40,3920;2,7881;52,2100;2,4492;42,8897;24,8700;52,2100;42,8897;24,8700
42,0480;2,7369;51,2800;2,4557;44,2034;23,6800;51,2800;44,2034;23,6800
43,1140;2,6916;56,1800;2,3191;47,9690;26,8800;56,1800;47,9690;26,8800
44,8700;2,6370;56,3300;2,2978;48,0448;28,2400;56,3300;48,0448;28,2400
45,5760;2,6075;58,5600;2,2079;49,5172;27,7700;58,5600;49,5172;27,7700
47,1280;2,5590;59,1200;2,2136;50,3690;30,0100;59,1200;50,3690;30,0100
48,4380;2,5057;58,3100;2,2782;50,8034;31,5700;58,3100;50,8034;31,5700
48,9860;2,4851;60,8200;2,1789;52,4897;32,5000;60,8200;52,4897;32,5000
50,0500;2,4423;61,8600;2,1397;51,6379;33,0300;61,8600;51,6379;33,0300
50,9820;2,4277;61,0400;2,1627;50,8931;33,1900;61,0400;50,8931;33,1900
52,0180;2,3838;62,4300;2,0962;51,9138;34,0800;62,4300;51,9138;34,0800
52,8640;2,3559;63,3700;2,0987;53,0517;35,8700;63,3700;53,0517;35,8700
53,1560;2,3408;63,8600;2,0707;52,9379;35,2300;63,8600;52,9379;35,2300
54,0900;2,3197;64,6100;2,0522;54,6621;36,0800;64,6100;54,6621;36,0800
53,9220;2,3089;64,0400;2,0585;54,0793;35,9300;64,0400;54,0793;35,9300
54,8800;2,2868;64,7200;2,0477;53,9828;35,4000;64,7200;53,9828;35,4000
55,1540;2,2842;64,8400;2,0450;54,1931;36,0600;64,8400;54,1931;36,0600
54,9720;2,2790;64,8600;2,0415;54,2793;36,1200;64,8600;54,2793;36,1200
45,8980;2,5929;56,3000;2,2943;43,1655;28,8500;56,3000;43,1655;28,8500
45,6320;2,6043;54,3500;2,3880;47,5724;27,3500;54,3500;47,5724;27,3500
45,9400;2,5858;55,9900;2,3555;48,5000;29,1200;55,9900;48,5000;29,1200
46,9500;2,5570;56,9900;2,2837;47,6828;29,1100;56,9900;47,6828;29,1100
47,7100;2,5354;58,3000;2,2606;46,9724;30,6900;58,3000;46,9724;30,6900
