train_accuracy;train_loss;valid_accuracy;valid_loss;valid_accuracy_robust;valid_accuracy_adversarial;valid_accuracy_swa;valid_accuracy_robust_swa;valid_accuracy_adversarial_swa
6,4860;4,2652;11,2900;3,9514;10,2793;7,0400;11,2900;10,2793;7,0400
11,7580;3,9741;15,4600;3,8537;14,9345;8,4600;15,4600;14,9345;8,4600
17,0440;3,7280;23,6500;3,5734;24,2586;9,9600;23,6500;24,2586;9,9600
21,7660;3,5187;25,4500;3,4281;23,6414;11,6400;25,4500;23,6414;11,6400
25,8200;3,3536;33,1100;3,0510;31,6379;13,4700;33,1100;31,6379;13,4700
29,6540;3,2040;38,9200;2,8184;36,1172;15,3100;38,9200;36,1172;15,3100
32,1140;3,1043;40,1400;2,8721;36,1862;17,4500;40,1400;36,1862;17,4500
34,8700;2,9939;42,7700;2,7355;38,2793;17,6000;42,7700;38,2793;17,6000
36,8620;2,9065;45,9100;2,6148;39,2759;19,7100;45,9100;39,2759;19,7100
39,3460;2,8352;51,1700;2,4727;43,1207;22,0300;51,1700;43,1207;22,0300
40,9020;2,7665;51,4500;2,4504;43,2517;22,7300;51,4500;43,2517;22,7300
42,6660;2,7029;52,8600;2,3732;45,2690;22,0400;52,8600;45,2690;22,0400
44,6800;2,6402;54,5100;2,3819;42,1897;24,5900;54,5100;42,1897;24,5900
45,4540;2,6019;58,2800;2,2823;46,9517;28,8200;58,2800;46,9517;28,8200
47,0040;2,5482;57,2700;2,3276;44,9931;28,7900;57,2700;44,9931;28,7900
48,7560;2,4935;59,5800;2,1901;49,2241;29,5300;59,5800;49,2241;29,5300
49,8760;2,4584;59,8600;2,1613;48,1241;28,6000;59,8600;48,1241;28,6000
51,1360;2,4185;61,9600;2,1422;49,8310;32,8600;61,9600;49,8310;32,8600
51,8160;2,3828;62,8300;2,0946;51,8724;32,6100;62,8300;51,8724;32,6100
53,2300;2,3442;62,3600;2,1079;50,3103;32,4900;62,3600;50,3103;32,4900
53,8820;2,3154;64,1200;2,0439;52,0586;33,9800;64,1200;52,0586;33,9800
54,8480;2,2858;65,3200;2,0319;52,8000;34,7000;65,3200;52,8000;34,7000
56,1120;2,2452;66,0900;2,0175;53,5448;35,4900;66,0900;53,5448;35,4900
56,6500;2,2227;66,4600;1,9728;53,8448;36,1400;66,4600;53,8448;36,1400
57,3840;2,2031;67,1900;1,9826;53,3759;36,6200;67,1900;53,3759;36,6200
57,9480;2,1818;67,4300;1,9597;54,2897;37,0800;67,4300;54,2897;37,0800
58,3960;2,1657;67,8700;1,9592;55,0828;37,5900;67,8700;55,0828;37,5900
