train_accuracy;train_loss;valid_accuracy;valid_loss;valid_accuracy_robust
4,7890;4,7951;8,7900;4,4148;4,1263
11,7400;4,1344;14,6500;3,9087;5,1632
17,5090;3,7405;19,5100;3,6129;6,8474
21,7150;3,4819;25,0500;3,2950;10,6263
25,4730;3,2713;29,9100;2,9986;10,0105
28,4840;3,1021;31,5700;2,9119;10,7474
31,3720;2,9532;34,5800;2,7654;13,7053
33,7760;2,8294;36,3200;2,6719;17,0000
36,0350;2,7141;38,9800;2,5953;14,8211
37,7840;2,6147;41,2600;2,4641;19,0000
39,7170;2,5210;43,5700;2,3181;18,1263
41,5050;2,4391;43,7900;2,3546;20,2105
43,0590;2,3626;46,4400;2,2017;18,6158
44,3130;2,2995;46,3700;2,2656;18,5211
45,7400;2,2290;44,3300;2,3181;16,8474
46,8350;2,1760;47,9300;2,1633;20,8632
48,2960;2,1122;47,8000;2,1717;18,8158
49,2240;2,0661;48,5600;2,0933;21,6316
50,5720;2,0075;51,3400;1,9774;22,7895
51,5270;1,9614;48,2500;2,1635;18,5000
52,5510;1,9161;51,6900;1,9983;24,1737
53,2790;1,8684;52,7900;1,9569;24,5947
54,2600;1,8286;51,8900;2,0422;23,8684
54,9480;1,7964;51,5900;2,0461;24,6632
56,1330;1,7495;54,0100;1,9198;24,6684
56,9130;1,7129;53,3200;1,9516;23,7579
57,5510;1,6790;52,9900;1,9830;23,9158
58,4910;1,6409;51,9500;2,0100;25,6263
59,3500;1,6035;54,2200;1,8863;25,6421
60,2080;1,5712;54,7600;1,9407;26,5474
60,9750;1,5400;55,5600;1,8822;25,0632
61,3930;1,5112;54,5500;1,9510;27,2789
62,0580;1,4875;55,3400;1,9001;25,4737
62,7610;1,4555;55,5500;1,9431;25,2158
63,4760;1,4182;54,4100;1,9375;25,9632
64,1230;1,4009;55,2600;1,9339;24,2263
64,8710;1,3721;54,8900;1,9564;25,1737
65,6020;1,3416;55,6900;1,8683;26,4211
66,3890;1,3145;53,6900;2,0028;25,3789
66,8220;1,2895;56,3700;1,8940;28,3158
67,4110;1,2628;57,0500;1,8414;28,2842
68,2380;1,2365;56,3900;1,8454;28,0789
68,8250;1,2115;55,6600;1,9029;24,5526
69,3590;1,1896;56,3700;1,8973;25,9474
70,0320;1,1668;55,4600;1,9511;24,9737
70,6100;1,1442;57,1000;1,8456;28,0368
71,3170;1,1110;57,7300;1,8549;26,5000
71,8160;1,0955;56,3700;1,9308;25,6789
72,3860;1,0702;57,8600;1,8173;28,0316
73,3340;1,0429;57,1300;1,8904;28,0526
73,7270;1,0259;58,1900;1,8421;28,3632
74,3120;0,9990;57,7200;1,8866;28,2421
74,8360;0,9862;57,2800;1,8854;25,7158
75,6240;0,9585;58,5700;1,8448;27,6421
76,1060;0,9347;57,7500;1,8565;27,9105
76,3270;0,9242;57,9100;1,8684;27,6947
77,2220;0,9032;58,2000;1,8603;27,7474
77,5250;0,8868;58,5700;1,8424;28,5737
78,2230;0,8620;58,1600;1,8831;29,7368
78,6030;0,8460;58,5200;1,8577;28,8684
79,0680;0,8322;58,6800;1,8953;29,4789
79,6410;0,8062;59,1300;1,7905;29,6789
80,3520;0,7879;58,8700;1,8640;30,3789
80,4960;0,7794;58,9400;1,8103;27,9842
81,1310;0,7576;58,9500;1,8471;30,2789
81,7340;0,7380;58,5700;1,8583;29,6737
82,1850;0,7187;59,2200;1,8324;28,2105
82,5170;0,7087;59,9000;1,7787;29,2211
82,8620;0,6939;59,4000;1,7894;28,8895
83,3620;0,6785;60,0000;1,8172;29,3158
83,5730;0,6704;60,0800;1,7895;28,7211
84,1020;0,6507;59,8300;1,7557;30,7211
84,3680;0,6391;60,6600;1,7773;29,9789
84,8830;0,6250;60,2200;1,7713;29,7737
85,1170;0,6109;59,9400;1,8091;30,4263
85,5530;0,5987;60,4300;1,7833;30,9000
85,9930;0,5849;60,5800;1,7344;31,0947
85,9510;0,5814;61,1300;1,7492;31,0579
86,3980;0,5657;60,8800;1,7197;30,9158
86,8180;0,5529;60,5600;1,7295;30,4368
86,8460;0,5497;60,7800;1,7269;31,3105
87,0590;0,5377;61,1800;1,7223;31,7105
87,3440;0,5268;61,0500;1,7027;31,7632
87,4900;0,5220;61,2200;1,7432;31,6158
87,6970;0,5146;61,2800;1,7312;31,8368
87,8550;0,5110;61,4400;1,6872;31,4368
88,2010;0,4999;61,5700;1,7153;31,5053
88,2350;0,4953;61,8600;1,6770;31,4579
88,3150;0,4929;61,4000;1,6821;31,0842
88,4400;0,4861;61,4900;1,6846;31,1789
88,7160;0,4731;61,7000;1,6742;31,9000
88,6670;0,4769;61,7200;1,7028;31,5947
88,7730;0,4716;61,7800;1,6666;31,6947
88,7900;0,4738;61,8200;1,6918;31,9105
88,8420;0,4703;61,7400;1,6633;31,6474
88,9910;0,4602;62,0100;1,6835;31,9263
89,0940;0,4601;61,9100;1,6786;31,9211
89,0170;0,4645;61,9800;1,6873;31,6474
88,9410;0,4665;62,0400;1,6644;31,9895
88,9910;0,4580;62,0500;1,6761;31,8632
