train_accuracy;train_loss;valid_accuracy;valid_loss;valid_accuracy_robust;valid_accuracy_adversarial
55,8867;3,3842;70,2400;2,3667;60,9158;19,5700
53,8533;3,4207;71,0500;2,2658;58,7105;21,7500
57,7040;3,3475;71,9600;2,2507;61,7526;23,2100
56,0100;3,3292;72,4000;2,3035;59,6526;23,0800
56,6960;3,3460;71,2100;2,2886;58,4263;21,6900
57,7640;3,3027;71,3100;2,2642;57,2526;21,5000
58,2640;3,3549;69,5200;2,3594;58,5158;22,1800
56,4400;3,3681;72,8500;2,1875;60,3632;20,9900
56,8200;3,3524;72,1500;2,2524;58,0842;23,2300
58,4213;3,3176;72,7900;2,1830;57,9632;19,6000
58,8553;3,3301;72,5100;2,2438;59,4368;23,1400
57,9220;3,3113;72,5200;2,1760;59,9263;23,0600
57,9733;3,3125;72,3600;2,1969;60,3474;23,6600
60,5213;3,2514;73,3500;2,1240;61,5947;22,6300
59,2440;3,2749;73,4600;2,2334;62,2526;22,8300
60,0967;3,2885;73,0400;2,1634;61,3579;22,5600
60,3553;3,2721;73,5600;2,1258;60,2316;23,0600
61,2607;3,2169;73,0000;2,2545;62,0526;23,9900
59,5333;3,2852;73,6700;2,0740;63,3947;21,7000
60,8207;3,2815;72,9400;2,2281;61,8632;24,1500
60,4760;3,2685;74,4600;2,0893;59,8474;23,3900
61,8727;3,1843;73,8500;2,2160;60,1474;25,1800
60,7940;3,2453;73,5800;2,1990;62,3842;24,5100
60,7460;3,2277;73,4200;2,1332;60,1632;23,0500
60,9587;3,2297;73,4400;2,1743;61,6737;25,3800
60,4767;3,2524;74,8600;2,1682;63,8684;24,4900
60,2013;3,2609;73,5000;2,1478;63,9000;25,5700
61,2913;3,2089;74,7000;2,1441;64,0526;24,9800
63,5347;3,1650;75,4300;2,0453;61,3474;24,7700
60,9627;3,2299;75,2400;2,1724;63,1579;25,6300
62,9533;3,2227;75,4800;2,2091;63,7105;25,3800
60,6827;3,2271;75,9000;2,1803;63,1000;25,9900
61,9627;3,1950;74,5500;2,1419;62,9789;25,2600
62,6200;3,2208;75,6100;2,0237;63,0526;26,0900
60,8440;3,2255;75,7400;2,1022;64,6474;26,8800
64,1613;3,1637;75,9700;2,1049;64,8211;26,8500
64,1133;3,1948;75,6600;2,3117;62,7526;27,4100
62,3053;3,2173;75,4400;2,0112;63,5579;26,5500
63,2813;3,1728;76,4100;2,0699;64,9895;26,3900
63,9833;3,2082;76,6700;2,0906;63,9947;27,2200
63,4527;3,1765;76,0100;2,1807;65,3684;29,1300
65,1500;3,1429;76,6300;2,0147;65,5947;27,0100
64,5013;3,1588;76,2200;2,0364;65,6368;28,4800
65,9560;3,1485;76,6300;2,0422;64,9105;26,6800
65,3073;3,1132;76,7800;1,9670;65,5737;27,3500
65,4520;3,1383;76,4900;2,1069;64,9737;28,3000
66,6167;3,1090;76,9100;2,0730;66,0316;28,5000
66,4927;3,1051;77,1500;2,0012;66,0105;28,1000
65,6660;3,1216;77,3900;2,1042;64,6211;28,1700
62,9440;3,1857;77,5000;1,8729;65,4474;27,7200
64,0600;3,1394;77,5000;2,0304;65,9053;29,0900
66,6493;3,0931;77,4300;1,9587;66,9895;27,9800
66,9713;3,0822;77,6400;2,0043;65,8895;29,2100
66,7733;3,0675;77,9000;1,8909;65,8053;27,3900
66,9567;3,0787;77,7100;2,0132;65,8895;28,0400
67,2760;3,0682;77,5400;1,9008;65,7053;27,3600
66,9547;3,0983;78,0200;1,9684;65,6789;28,4400
68,5233;3,0776;77,6500;1,8700;66,2632;29,2900
67,6040;3,0272;78,0800;1,9517;66,0474;27,9600
68,6353;3,0282;77,8100;1,9890;65,7421;29,0900
67,8873;3,0372;78,0800;1,9079;66,0737;27,9100
68,5440;3,0593;77,8900;2,0429;66,6579;29,1000
67,4953;3,0582;77,9800;1,9481;66,1368;28,4000
67,3720;3,0823;77,9800;1,9922;66,5000;28,0500
65,6253;3,0909;77,9900;1,9678;66,6579;28,7200
66,3580;3,0974;78,0900;1,9682;66,3263;28,8900
69,0687;3,0629;78,2200;1,9399;66,6947;28,6900
68,4080;3,0662;78,3900;1,9119;66,5105;28,0000
67,1580;3,1350;78,0300;1,9852;66,6789;29,0400
66,6960;3,1096;78,3600;2,0362;66,3421;28,8100
51,8560;3,4592;66,9200;2,4640;53,9316;18,8600
50,5187;3,5414;67,7300;2,3910;55,3684;19,9700
52,8073;3,4376;69,1900;2,3105;59,1632;20,3300
53,1047;3,4352;70,7500;2,2147;57,5789;18,4100
53,2260;3,4580;70,3900;2,4079;59,0368;21,2400
55,4187;3,3633;69,1300;2,2916;57,6421;19,7900
53,5160;3,4005;71,2700;2,3135;57,6053;21,8800
52,9253;3,4301;70,3800;2,4409;59,3684;20,4500
55,6227;3,3577;70,3200;2,4377;57,1158;21,6200
