train_accuracy;train_loss;valid_accuracy;valid_loss;valid_accuracy_robust;valid_accuracy_adversarial;valid_accuracy_swa;valid_accuracy_robust_swa;valid_accuracy_adversarial_swa
41,4020;3,0786;58,8000;2,1760;48,1621;29,6400;58,8000;48,1621;29,6400
41,6920;3,0872;60,1400;2,0577;48,9069;24,7200;60,1400;48,9069;24,7200
41,7860;3,0349;60,3700;2,1061;51,0345;29,9000;60,3700;51,0345;29,9000
41,2520;3,0414;59,5000;2,1099;46,4069;28,7500;59,5000;46,4069;28,7500
42,8860;3,0280;60,4400;2,0835;46,3034;30,1200;60,4400;46,3034;30,1200
42,0660;3,0434;62,6200;2,0233;50,2655;32,0100;62,6200;50,2655;32,0100
44,6780;2,9446;63,6900;1,9941;48,6207;32,4200;63,6900;48,6207;32,4200
44,9160;2,9817;63,6100;1,9795;49,0138;30,4400;63,6100;49,0138;30,4400
45,0420;3,0035;65,0200;1,9583;51,6345;34,2200;65,0200;51,6345;34,2200
46,3140;2,8946;64,7700;1,9707;50,2897;34,3200;64,7700;50,2897;34,3200
45,5160;2,9824;66,2300;1,9501;50,6207;36,3900;66,2300;50,6207;36,3900
46,7640;2,9351;65,0600;1,8913;50,8241;32,7800;65,0600;50,8241;32,7800
47,3520;2,9254;66,4100;1,8945;51,9655;35,2400;66,4100;51,9655;35,2400
48,5720;2,8341;66,1100;1,8792;53,7862;34,7000;66,1100;53,7862;34,7000
49,4760;2,7953;67,1600;1,8643;51,6379;34,2400;67,1600;51,6379;34,2400
48,8000;2,8423;67,8800;1,8613;53,9034;37,0300;67,8800;53,9034;37,0300
48,3480;2,8921;67,1600;1,8523;51,4690;34,0000;67,1600;51,4690;34,0000
50,3140;2,7506;69,8400;1,7917;54,7586;38,7300;69,8400;54,7586;38,7300
50,1820;2,8211;68,3000;1,8067;53,9690;35,4200;68,3000;53,9690;35,4200
49,3580;2,8132;69,1700;1,7761;54,8690;37,0400;69,1700;54,8690;37,0400
48,4860;2,8455;70,0000;1,7708;53,0310;37,5600;70,0000;53,0310;37,5600
50,9260;2,8001;70,6800;1,7510;54,3759;37,1200;70,6800;54,3759;37,1200
52,8400;2,7227;71,0500;1,7484;55,3724;40,9000;71,0500;55,3724;40,9000
51,1760;2,7798;71,0700;1,7406;54,6276;38,4700;71,0700;54,6276;38,4700
54,7680;2,6923;71,6800;1,7180;56,0966;38,2100;71,6800;56,0966;38,2100
52,4220;2,7399;71,4900;1,7178;57,5276;37,9300;71,4900;57,5276;37,9300
51,8720;2,7400;72,7600;1,7102;56,6690;41,4600;72,7600;56,6690;41,4600
55,1400;2,6114;73,0400;1,6749;55,2034;38,9400;73,0400;55,2034;38,9400
53,8500;2,6700;72,9500;1,6775;56,6552;40,1500;72,9500;56,6552;40,1500
55,9000;2,6037;73,4300;1,6695;57,3414;41,4100;73,4300;57,3414;41,4100
53,1260;2,7076;73,0500;1,6781;56,1207;40,5300;73,0500;56,1207;40,5300
54,9880;2,6926;73,7000;1,6585;58,2552;41,5000;73,7000;58,2552;41,5000
54,0100;2,6675;73,6300;1,6582;57,1690;43,3100;73,6300;57,1690;43,3100
55,5200;2,6503;73,5400;1,6593;57,7000;41,8700;73,5400;57,7000;41,8700
57,1120;2,5936;74,2200;1,6411;58,7759;44,5600;74,2200;58,7759;44,5600
54,1760;2,7170;74,1300;1,6232;58,5000;39,2200;74,1300;58,5000;39,2200
57,6080;2,5796;74,9300;1,6192;56,3552;43,9800;74,9300;56,3552;43,9800
56,3360;2,6256;75,2900;1,6090;57,7690;42,0600;75,2900;57,7690;42,0600
56,8700;2,5730;75,4500;1,5832;58,2793;41,4300;75,4500;58,2793;41,4300
60,2280;2,4753;75,5500;1,5945;59,1966;44,2100;75,5500;59,1966;44,2100
57,8460;2,5691;75,8300;1,5922;59,6793;43,5600;75,8300;59,6793;43,5600
59,8720;2,4651;75,9300;1,5882;59,8241;44,8300;75,9300;59,8241;44,8300
60,8900;2,4818;75,9000;1,5966;58,9897;45,4600;75,9000;58,9897;45,4600
57,6040;2,6227;75,6400;1,5994;59,3931;44,1100;75,6400;59,3931;44,1100
59,4100;2,5583;75,8700;1,5818;59,4448;44,6900;75,8700;59,4448;44,6900
61,6060;2,4932;76,5700;1,5654;60,4621;44,6500;76,5700;60,4621;44,6500
59,2940;2,5994;76,6900;1,5643;60,4483;45,6100;76,6900;60,4483;45,6100
58,7680;2,5718;76,7400;1,5549;60,1552;43,8900;76,7400;60,1552;43,8900
58,9080;2,4973;76,9000;1,5668;60,6655;46,0500;76,9000;60,6655;46,0500
62,3280;2,4299;76,6500;1,5603;60,2759;45,6000;76,6500;60,2759;45,6000
60,1260;2,5309;76,7500;1,5569;60,2000;44,0400;76,7500;60,2000;44,0400
62,6080;2,4126;77,1400;1,5498;60,3241;45,1900;77,1400;60,3241;45,1900
64,7040;2,3498;77,1200;1,5523;60,2690;45,3900;77,1200;60,2690;45,3900
