train_accuracy;train_loss;valid_accuracy;valid_loss;valid_accuracy_robust;valid_accuracy_adversarial;valid_accuracy_swa;valid_accuracy_robust_swa;valid_accuracy_adversarial_swa
7,1947;4,4152;12,7600;4,0009;12,1207;8,6600;12,7600;12,1207;8,6600
13,2893;4,2514;23,0200;3,7485;24,1345;10,5800;23,0200;24,1345;10,5800
19,4513;4,0888;30,6600;3,4441;29,5690;10,0200;30,6600;29,5690;10,0200
24,6260;3,9780;34,1800;3,3302;30,2172;9,3800;34,1800;30,2172;9,3800
28,0173;3,8943;41,3600;3,1020;35,6862;10,3500;41,3600;35,6862;10,3500
32,1673;3,7846;46,2400;2,9549;40,2345;11,8600;46,2400;40,2345;11,8600
33,1787;3,7610;49,1100;2,8385;38,4724;10,5600;49,1100;38,4724;10,5600
36,1240;3,7048;50,8300;2,7535;41,7414;12,0400;50,8300;41,7414;12,0400
38,1333;3,6685;54,0900;2,7455;44,4793;11,9300;54,0900;44,4793;11,9300
39,9327;3,6065;55,7100;2,6593;45,8172;13,1000;55,7100;45,8172;13,1000
42,2160;3,5409;53,6900;2,6294;45,8207;13,3200;53,6900;45,8207;13,3200
44,7933;3,4713;61,0000;2,4709;50,5069;13,6700;61,0000;50,5069;13,6700
44,9873;3,4718;61,8500;2,4861;49,8241;14,1300;61,8500;49,8241;14,1300
44,3887;3,4934;62,8400;2,3998;49,3793;14,3400;62,8400;49,3793;14,3400
47,0713;3,4233;62,2100;2,4016;50,9310;15,6600;62,2100;50,9310;15,6600
47,6660;3,3790;64,5000;2,4483;52,2103;16,8300;64,5000;52,2103;16,8300
48,6387;3,3654;64,5600;2,4688;52,8724;14,2800;64,5600;52,8724;14,2800
50,2540;3,3552;66,4100;2,2863;53,7552;16,4800;66,4100;53,7552;16,4800
50,4653;3,3439;65,9500;2,4021;53,8034;16,2500;65,9500;53,8034;16,2500
49,1360;3,3681;67,1500;2,2477;54,4586;17,7300;67,1500;54,4586;17,7300
51,6613;3,3075;68,7300;2,2632;54,5793;17,8400;68,7300;54,5793;17,8400
54,3213;3,2148;69,1300;2,2077;55,4862;17,2400;69,1300;55,4862;17,2400
55,0627;3,2064;70,6300;2,1925;55,6931;19,0300;70,6300;55,6931;19,0300
54,6020;3,2286;71,2500;2,2104;57,2690;18,5800;71,2500;57,2690;18,5800
56,9793;3,1668;71,9100;2,1328;57,9690;19,8200;71,9100;57,9690;19,8200
57,9093;3,1351;72,4000;2,0884;58,9517;19,8700;72,4000;58,9517;19,8700
58,0273;3,1435;72,4000;2,1364;58,2517;19,5700;72,4000;58,2517;19,5700
57,7240;3,1206;72,7500;2,1846;58,6759;19,5600;72,7500;58,6759;19,5600
55,7947;3,1982;72,6800;2,1633;58,6966;20,0000;72,6800;58,6966;20,0000
57,2247;3,1716;72,5300;2,1591;58,4621;20,2500;72,5300;58,4621;20,2500
47,6947;3,4049;62,4700;2,4250;51,6690;14,9900;62,4700;51,6690;14,9900
47,6007;3,3784;59,8200;2,5426;46,1690;15,6100;59,8200;46,1690;15,6100
48,9700;3,3358;64,7400;2,3523;49,6241;15,2200;64,7400;49,6241;15,2200
48,8393;3,3755;65,7100;2,4007;51,8793;15,4800;65,7100;51,8793;15,4800
51,1107;3,2843;66,8100;2,2860;52,2138;14,6200;66,8100;52,2138;14,6200
50,5693;3,3275;65,7400;2,3579;50,8483;17,0800;65,7400;50,8483;17,0800
51,0133;3,3031;67,8200;2,3192;55,5276;17,2300;67,8200;55,5276;17,2300
52,9667;3,2608;68,6900;2,2226;52,6276;17,2800;68,6900;52,6276;17,2800
53,8360;3,2388;68,1300;2,3151;53,4379;15,8200;68,1300;53,4379;15,8200
53,7293;3,2307;68,4300;2,2740;54,0724;17,2000;68,4300;54,0724;17,2000
54,1960;3,2340;69,0000;2,3102;53,2276;17,6000;69,0000;53,2276;17,6000
54,7373;3,2135;68,8100;2,1357;53,6172;16,8600;68,8100;53,6172;16,8600
54,4313;3,2202;69,0800;2,1996;54,3414;18,3600;69,0800;54,3414;18,3600
54,1727;3,2199;69,9500;2,1678;54,4862;17,4200;69,9500;54,4862;17,4200
56,1613;3,1756;71,5400;2,1119;58,0414;18,1600;71,5400;58,0414;18,1600
55,9653;3,1772;72,2700;2,1509;57,1655;18,4700;72,2700;57,1655;18,4700
55,6567;3,1694;70,9500;2,2711;53,9724;18,4900;70,9500;53,9724;18,4900
57,4500;3,1225;72,0400;2,1298;56,5138;17,9600;72,0400;56,5138;17,9600
57,2580;3,1515;72,9300;2,0957;58,5241;19,6100;72,9300;58,5241;19,6100
57,8647;3,1075;71,8600;2,0971;58,0621;20,5000;71,8600;58,0621;20,5000
59,4627;3,1290;72,0900;2,1195;57,9034;19,9700;72,0900;57,9034;19,9700
57,5127;3,1205;72,4000;2,1092;59,1897;21,2000;72,4000;59,1897;21,2000
59,7160;3,0814;72,8400;2,0614;56,2345;19,6400;72,8400;56,2345;19,6400
58,2060;3,1169;73,7400;2,0608;58,5276;20,5000;73,7400;58,5276;20,5000
58,8887;3,1122;73,3900;2,1395;59,3966;22,2800;73,3900;59,3966;22,2800
58,7027;3,1062;73,6800;1,9907;59,5862;21,3200;73,6800;59,5862;21,3200
60,1200;3,1027;74,8900;2,0006;58,3379;22,3600;74,8900;58,3379;22,3600
62,5453;3,0065;74,7000;1,8895;59,5931;20,5700;74,7000;59,5931;20,5700
61,1413;3,0689;75,2100;2,0447;60,2724;23,8700;75,2100;60,2724;23,8700
63,1353;3,0011;75,4000;2,0052;61,2621;22,6500;75,4000;61,2621;22,6500
62,0987;2,9988;76,1200;1,9314;61,1276;24,8600;76,1200;61,1276;24,8600
62,6240;3,0132;75,6200;2,0796;59,0483;24,2500;75,6200;59,0483;24,2500
61,8167;2,9979;76,0800;2,1046;60,0345;26,2000;76,0800;60,0345;26,2000
64,2207;2,9591;75,9500;2,0372;60,9414;24,1300;75,9500;60,9414;24,1300
62,9140;2,9879;76,8000;2,0383;61,9828;25,2100;76,8000;61,9828;25,2100
65,2053;2,9140;77,1800;1,9300;61,7690;25,0200;77,1800;61,7690;25,0200
65,9873;2,9272;76,9000;1,9309;60,7034;26,3300;76,9000;60,7034;26,3300
65,0007;2,9473;77,1900;2,0301;61,4690;26,6600;77,1900;61,4690;26,6600
66,9913;2,8644;76,8400;1,8935;62,9724;26,3700;76,8400;62,9724;26,3700
64,1813;2,9344;77,5000;1,8926;62,5034;26,7400;77,5000;62,5034;26,7400
65,5033;2,9256;77,4900;1,9222;62,8552;27,6300;77,4900;62,8552;27,6300
66,4080;2,9315;77,9300;1,9044;62,2931;28,1000;77,9300;62,2931;28,1000
66,7653;2,8912;78,2000;1,8646;62,9931;27,9400;78,2000;62,9931;27,9400
67,9580;2,8457;78,5200;1,8085;63,5448;27,2500;78,5200;63,5448;27,2500
70,0133;2,7889;78,3900;1,8597;62,8621;29,6200;78,3900;62,8621;29,6200
68,2793;2,8324;78,5400;1,8574;63,1414;29,3900;78,5400;63,1414;29,3900
65,9600;2,8946;79,0200;1,8808;63,1897;29,6500;79,0200;63,1897;29,6500
68,4607;2,8357;79,0300;1,8443;62,8379;28,7200;79,0300;62,8379;28,7200
68,2200;2,8072;79,4300;1,8173;64,8414;30,1700;79,4300;64,8414;30,1700
70,7607;2,7722;79,5500;1,9056;64,0828;29,5800;79,5500;64,0828;29,5800
69,2287;2,8062;79,8800;1,9055;64,6276;30,3700;79,8800;64,6276;30,3700
71,2840;2,7349;79,9200;1,7583;65,0345;28,3800;79,9200;65,0345;28,3800
72,0433;2,7533;79,8100;1,8135;63,9759;30,5800;79,8100;63,9759;30,5800
70,8813;2,7781;79,8800;1,9127;64,0793;30,1100;79,8800;64,0793;30,1100
72,5260;2,7007;79,9600;1,7930;65,1552;29,4200;79,9600;65,1552;29,4200
69,4587;2,7792;80,3400;1,7727;64,7655;29,5600;80,3400;64,7655;29,5600
70,5167;2,7796;80,0500;1,7992;64,6379;30,8100;80,0500;64,6379;30,8100
71,3100;2,7938;79,8500;1,8427;64,6310;31,6500;79,8500;64,6310;31,6500
71,3433;2,7601;80,0200;1,7833;64,9241;29,6200;80,0200;64,9241;29,6200
71,9540;2,7230;80,0600;1,7531;64,8103;29,7900;80,0600;64,8103;29,7900
62,1440;2,9900;71,0900;2,1247;55,9310;20,1100;71,0900;55,9310;20,1100
58,9873;3,0763;73,3100;2,0621;58,3931;21,1900;73,3100;58,3931;21,1900
56,5020;3,1408;71,9600;2,0834;54,8793;19,1900;71,9600;54,8793;19,1900
58,8407;3,0902;71,0900;2,1018;55,0103;19,8500;71,0900;55,0103;19,8500
58,5093;3,0635;72,7200;2,1570;57,0655;22,7100;72,7200;57,0655;22,7100
58,3693;3,0822;72,0900;2,0818;56,9103;18,9000;72,0900;56,9103;18,9000
59,2760;3,0944;72,8300;2,0170;59,1207;21,6400;72,8300;59,1207;21,6400
58,5980;3,1056;72,4600;2,1528;58,0966;22,7800;72,4600;58,0966;22,7800
56,3647;3,1501;72,9000;2,0813;58,6655;23,7200;72,9000;58,6655;23,7200
58,2880;3,1074;72,7400;2,0526;56,9862;20,5600;72,7400;56,9862;20,5600
60,4300;3,0244;73,3000;2,0681;54,7655;20,2600;73,3000;54,7655;20,2600
60,4580;3,0334;73,4900;1,9977;60,4414;21,4600;73,4900;60,4414;21,4600
59,2400;3,0733;73,9400;2,0192;56,8621;22,3600;73,9400;56,8621;22,3600
61,2900;3,0231;74,1100;2,0978;61,0724;22,0300;74,1100;61,0724;22,0300
61,6647;3,0029;74,7200;2,0674;60,8552;21,6000;74,7200;60,8552;21,6000
61,5987;3,0144;74,7800;2,0865;60,0414;23,3300;74,7800;60,0414;23,3300
61,0293;2,9987;74,9300;2,0101;58,3379;22,9800;74,9300;58,3379;22,9800
58,9567;3,0841;74,9500;2,0203;58,7897;23,7700;74,9500;58,7897;23,7700
60,4980;3,0536;73,9000;2,0593;60,2276;23,9300;73,9000;60,2276;23,9300
62,1053;3,0005;74,6100;2,0038;59,2621;21,9000;74,6100;59,2621;21,9000
61,8773;2,9728;74,2800;2,0824;60,3414;24,5900;74,2800;60,3414;24,5900
62,4987;2,9480;74,9300;1,9638;59,9931;23,0100;74,9300;59,9931;23,0100
61,6740;3,0147;75,2900;2,0431;58,9414;25,2300;75,2900;58,9414;25,2300
63,6233;2,9261;75,6900;1,9299;60,2000;22,5900;75,6900;60,2000;22,5900
62,1193;2,9967;74,9900;2,0527;58,7172;25,5600;74,9900;58,7172;25,5600
64,0987;2,9532;75,0400;2,0936;59,7310;22,4700;75,0400;59,7310;22,4700
62,4840;2,9929;75,9500;2,1056;60,7586;25,6500;75,9500;60,7586;25,6500
64,4880;2,9247;76,4400;1,9544;62,3310;24,7700;76,4400;62,3310;24,7700
64,7593;2,9468;75,6500;2,0018;60,1069;25,6400;75,6500;60,1069;25,6400
63,6653;2,9720;75,5200;2,1845;59,7103;26,7000;75,5200;59,7103;26,7000
65,1820;2,8990;75,3400;1,9805;61,4138;24,0800;75,3400;61,4138;24,0800
62,5800;2,9727;76,4600;1,9398;60,7621;25,9400;76,4600;60,7621;25,9400
63,5507;2,9702;75,5300;2,0493;61,0690;26,2000;75,5300;61,0690;26,2000
64,0040;2,9842;76,2700;2,0021;61,7241;27,0100;76,2700;61,7241;27,0100
64,2193;2,9467;76,4100;1,9368;61,8552;26,8700;76,4100;61,8552;26,8700
65,2247;2,9113;76,2300;1,9173;60,7034;24,9900;76,2300;60,7034;24,9900
67,1320;2,8513;76,1400;1,9593;61,8345;26,3500;76,1400;61,8345;26,3500
65,4173;2,8973;76,5700;1,9261;61,8103;26,9400;76,5700;61,8103;26,9400
66,7047;2,8715;75,8800;2,0485;61,2207;25,3200;75,8800;61,2207;25,3200
65,3027;2,9048;76,6100;2,0680;61,4069;27,7800;76,6100;61,4069;27,7800
67,3073;2,8361;77,4000;1,9327;62,6241;26,3500;77,4000;62,6241;26,3500
67,6007;2,8597;76,4000;1,9572;61,3931;28,2900;76,4000;61,3931;28,2900
66,4440;2,8854;76,3700;2,2028;60,3069;27,9800;76,3700;60,3069;27,9800
68,0247;2,8114;75,8000;1,9070;62,2966;26,4400;75,8000;62,2966;26,4400
65,1793;2,8862;77,0900;1,9052;61,4552;27,7500;77,0900;61,4552;27,7500
66,1627;2,8839;75,9900;2,0154;62,2793;29,2500;75,9900;62,2793;29,2500
66,7700;2,8979;76,6100;1,9694;62,2276;29,4500;76,6100;62,2276;29,4500
66,8940;2,8609;76,0100;1,9068;61,5103;29,3100;76,0100;61,5103;29,3100
67,8193;2,8245;76,8800;1,8709;61,9069;27,3600;76,8800;61,9069;27,3600
68,7387;2,8086;76,1900;2,0207;61,7310;26,9900;76,1900;61,7310;26,9900
67,3673;2,8367;76,7800;2,0387;62,4345;29,5600;76,7800;62,4345;29,5600
69,4633;2,7656;78,0400;1,9144;62,9793;27,9000;78,0400;62,9793;27,9000
69,8053;2,7889;76,7500;1,9083;62,0310;29,8600;76,7500;62,0310;29,8600
68,6860;2,8139;77,1400;2,1595;61,7207;28,5900;77,1400;61,7207;28,5900
70,3660;2,7376;76,4800;1,8772;63,0448;28,2600;76,4800;63,0448;28,2600
67,3933;2,8149;77,6500;1,8937;62,2138;28,9300;77,6500;62,2138;28,9300
68,3760;2,8119;76,6800;1,9531;62,1138;30,7200;76,6800;62,1138;30,7200
69,1613;2,8241;76,9600;1,9593;62,3276;30,8900;76,9600;62,3276;30,8900
69,1580;2,7884;77,0100;1,8571;62,6552;30,1000;77,0100;62,6552;30,1000
70,0427;2,7495;77,2800;1,8436;62,4034;27,9100;77,2800;62,4034;27,9100
70,5060;2,7502;77,8700;1,8602;63,6172;31,4100;77,8700;63,6172;31,4100
68,8147;2,7936;77,8600;1,8449;63,2034;32,1200;77,8600;63,2034;32,1200
65,4940;2,8925;77,8700;1,9270;63,0897;31,5800;77,8700;63,0897;31,5800
70,8427;2,7411;77,6800;1,9931;62,5172;30,2400;77,6800;62,5172;30,2400
69,6287;2,7677;78,0600;1,9885;63,8000;32,9500;78,0600;63,8000;32,9500
71,7200;2,6973;78,5700;1,8546;64,3966;28,7800;78,5700;64,3966;28,7800
72,2680;2,7163;77,7100;1,8380;63,7897;31,1900;77,7100;63,7897;31,1900
71,0647;2,7424;78,5800;2,0627;63,7759;31,6800;78,5800;63,7759;31,6800
72,7587;2,6648;77,5200;1,8330;64,2207;30,5600;77,5200;64,2207;30,5600
69,8287;2,7411;78,4100;1,8521;62,9379;31,0000;78,4100;62,9379;31,0000
