train_accuracy;train_loss;valid_accuracy;valid_loss;valid_accuracy_robust;valid_accuracy_swa;valid_accuracy_robust_swa
33,7700;1,9103;50,2400;1,7294;44,0931;30,3900;50,2400
55,1060;1,5054;60,1400;1,5217;48,5069;33,6200;60,1400
63,5480;1,3303;74,3100;1,1539;61,5379;42,2100;74,3100
68,6300;1,2280;68,9000;1,3723;58,6931;47,7700;68,9000
71,4420;1,1657;78,3500;1,0606;63,6897;78,3500;63,6897
73,3660;1,1201;79,4000;1,0128;63,2241;79,4000;63,2241
74,9080;1,0859;80,4700;0,9843;67,2793;80,4700;67,2793
76,9560;1,0405;83,2300;0,9132;69,2172;83,2300;69,2172
77,9580;1,0146;78,4900;1,0396;62,7138;78,4900;62,7138
78,8300;0,9944;85,2700;0,9189;71,8690;85,2700;71,8690
79,8000;0,9693;84,0500;0,8904;71,3793;84,0500;71,3793
80,3440;0,9618;86,3700;0,8660;72,1552;86,3700;72,1552
81,1780;0,9401;86,6500;0,8362;74,5966;86,6500;74,5966
81,9460;0,9227;87,3500;0,8448;73,4828;87,3500;73,4828
82,3840;0,9084;88,8400;0,8100;75,4862;88,8400;75,4862
83,2280;0,8923;89,3100;0,7936;75,4897;89,3100;75,4897
83,5600;0,8821;88,5800;0,7963;72,6690;88,5800;72,6690
84,4560;0,8645;89,8800;0,7676;76,7724;89,8800;76,7724
84,6580;0,8556;90,8100;0,7388;78,6448;90,8100;78,6448
85,3080;0,8444;91,1900;0,7408;79,1414;91,1900;79,1414
85,6680;0,8303;91,4000;0,7308;78,7759;91,4000;78,7759
86,4480;0,8180;91,7900;0,7129;81,0138;91,7900;81,0138
86,6240;0,8100;91,9700;0,7109;82,0828;91,9700;82,0828
87,1100;0,7977;92,2200;0,6981;81,7586;92,2200;81,7586
87,3620;0,7918;92,7100;0,6912;82,6724;92,7100;82,6724
88,1000;0,7781;93,0400;0,6868;82,5655;93,0400;82,5655
87,8980;0,7824;93,0700;0,6919;82,7724;93,0700;82,7724
88,4400;0,7701;93,4300;0,6757;83,1276;93,4300;83,1276
88,3120;0,7722;93,6600;0,6757;83,3862;93,6600;83,3862
88,8060;0,7631;93,4300;0,6799;83,4379;93,4300;83,4379
82,1340;0,9179;86,9900;0,8403;73,6931;86,9900;73,6931
81,8200;0,9182;86,4100;0,8442;71,7310;86,4100;71,7310
82,3360;0,9101;84,3300;0,8791;67,8690;84,3300;67,8690
82,5120;0,9038;87,4800;0,8202;73,4552;87,4800;73,4552
83,1680;0,8907;88,2700;0,8231;75,8069;88,2700;75,8069
83,3400;0,8843;89,0600;0,7968;76,6310;89,0600;76,6310
83,7760;0,8777;88,6500;0,7847;73,7069;88,6500;73,7069
83,8340;0,8726;89,5700;0,7768;75,7966;89,5700;75,7966
84,1180;0,8672;86,2400;0,8296;74,7517;86,2400;74,7517
84,3520;0,8614;89,1700;0,7776;78,1759;89,1700;78,1759
